question,option1,option2,option3,option4,answer,explanation,difficulty
"Que signifie l’acronyme OMCC ?","Otite Moyenne Chronique Congénitale","Otite Moyenne Chronique Cholestéatomateuse","Otite Maligne Chronique Cholestéatomateuse","Otite Moyenne Cérébrale Chronique","2","Le document indique : OTITE MOYENNE CHRONIQUE CHOLESTEATOMATEUSE (OMCC).","Easy"
"L’OMCC est qualifiée de dangereuse car :","Elle peut entraîner une surdité légère","Elle expose à des complications endocrâniennes sévères","Elle guérit spontanément","Elle est indolore","2","Le document précise : Dangereuse, complications sévères (endocrâniens).","Easy"
"Quelle est la prévalence de l’OMCC parmi les otites chroniques à tympan ouvert ?","1/10","1/5","1/3","1/2","3","Le document indique : Prévalence : 1/3 des otites chroniques à tympan ouvert.","Easy"
"Quel est le type de surdité le plus fréquent dans l’OMCC non compliquée ?","Surdité de perception","Surdité mixte","Surdité de transmission","Cophose","3","Le document précise : Hypoacousie : transmission.","Medium"
"L’otorrhée de l’OMCC est décrite comme :","Claire, abondante, inodore","Purulente, jaunâtre/verdâtre, fétide, intermittente et résistante aux traitements médicaux","Séreuse, non fétide","Sanglante, abondante","2","Le document indique : Otorrhée : purulente, jaunatre/verdatre, fétide, abondance variable, intermittente et résistante aux traitements médicaux.","Easy"
"L’otoscopie après aspiration montre dans l’OMCC :","Tympan normal","Perforation marginale + poche de rétraction, squames épidermiques blanchâtre","Perforation centrale","Tympan bombant","2","Le document précise : Otoscopie (après aspiration) : perforation marginale + poche de rétraction, squames épidermiques blanchâtre.","Easy"
"Quel examen d’imagerie est indispensable pour le bilan lésionnel de l’OMCC ?","Radiographie standard","Scanner du rocher (coupe inframillimétrique)","IRM cérébrale sans injection","Échographie doppler","2","Le document indique : TDM du rocher : bilan lésionnel, guide la chirurgie, lyse des osselets (scanner du rocher en coupe infra-millimétrique).","Easy"
"L’acoumétrie dans l’OMCC montre :","Une surdité de perception","Une surdité mixte","Une surdité de transmission","Une audition normale","3","Le document précise : Acoumétrie : surdité de transmission.","Medium"
"Quel est le germe infectieux le plus fréquemment impliqué dans l’OMCC ?","Staphylococcus aureus et Pseudomonas aeruginosa","Streptococcus pneumoniae","Haemophilus influenzae seul","Moraxella catarrhalis","1","Le document cite : Les germes : Staphylococcus aureus, Pseudomonas aeruginosa, Haemophilus influenzae, Moraxella, Proteus mirabilis.","Easy"
"Quel est le seul traitement véritablement efficace de l’OMCC ?","Antibiothérapie prolongée","Chirurgie","Corticothérapie","Antifongiques","2","Le document indique : Chirurgie : seul moyen efficace, indiquée devant toute OMCC.","Easy"
"L’OMCC est considérée comme :","Une urgence diagnostique et thérapeutique","Une pathologie bénigne","Une maladie congénitale systématique","Une otite externe","1","Le document précise : Urgence : diagnostique et thérapeutique.","Easy"
"Le cholestéatome est défini par :","Une tumeur maligne de l’oreille moyenne","Un épithélium malpighien kératinisé doué de potentialités extensive, invasive et lytique","Un kyste sébacé bénin","Un dépôt de cholestérol","2","Le document indique : OMCC : Présence au sein des cavités de l’oreille moyenne d’un épithélium malpighien kératinisé (peau) doué de potentialités extensive, invasive et lytique.","Easy"
"Quelle complication de l’OMCC est citée comme atteinte du nerf facial ?","Mastoïdite","Paralysie faciale périphérique","Labyrinthite","Méningite","2","Le document cite : Paralysie faciale périphérique dans les complications.","Easy"
"La fistule labyrinthique est une complication de l’OMCC.",True,"Le document cite : Fistule labyrinthique dans les complications.","Easy"
"L’IRM du rocher est indiquée pour :","Le diagnostic initial","L’exploration des cholestéatomes résiduels ou récidivants","Le bilan préopératoire standard","L’évaluation de l’audition","2","Le document indique : IRM du rocher : cf labyrinthique, choléstéatomes résiduels ou récidivant.","Medium"
"La technique chirurgicale ouverte entraîne :","Moins de récidive mais banalise l’audition","Plus de récidive mais meilleure audition","Une meilleure esthétique","Une récupération auditive totale","1","Le document précise : Technique ouverte : moins de récidive mais banalise l’audition.","Medium"
"La technique chirurgicale fermée présente :","Moins de récidive","Plus de récidive mais plus esthétique","Une audition nulle","Une absence de risque","2","Le document indique : Technique fermée : plus esthétique mais risque de récidive importante.","Medium"
"La méningite est une complication endocrânienne de l’OMCC.",True,"Le document cite : Méningite dans les complications.","Easy"
"Le cholestéatome bilatéral touche surtout :","Les enfants","Les adultes","Les nouveau-nés","Les personnes âgées","2","Le document indique : Cholestéatome bilatéral : adulte+++, acquis.","Medium"
"Le cholestéatome peut être post-traumatique par :","Incarcération de peau dans l’oreille moyenne","Infection récidivante","Dysfonctionnement tubaire","Métaplasie spontanée","1","Le document précise : Cholestéatome post-traumatique (peau à l’extérieur incarcéré dans la cavité de l’oreille moyenne).","Medium"
"La trisomie 21 est un facteur de risque de cholestéatome :","À tympan ouvert","À tympan fermé","De l’adulte","Du méat acoustique","2","Le document indique : Cholestéatome à tympan fermé : FDR : trisomie 21, fente vélaire, malformation cranio-faciale.","Medium"
"Le cholestéatome congénital se caractérise par :","Un tympan intact, absence d’inflammation","Une otorrhée fétide","Une paralysie faciale","Une fistule labyrinthique","1","Le document précise : Cholestéatome congénital : rare, pas d’inflammation, tympan intact.","Medium"
"La thrombophlébite du sinus latéral est une complication de l’OMCC.",True,"Le document cite : Thrombophlébite du sinus latéral.","Easy"
"L’abcès cérébral est une complication endocrânienne de l’OMCC.",True,"Le document cite : Abcès cérébral.","Easy"
"L’otite moyenne chronique simple se différencie de l’OMCC par :","Une otorrhée persistante","Une perforation tympanique sans poche de rétraction ni squames","Une surdité mixte","Une paralysie faciale","2","Le document indique : Otite moyenne chronique simple : sans perforation, sans otorrhée, sans échec des traitements médicaux.","Medium"
"L’examen ORL complet dans l’OMCC recherche :","Les signes de complications","Une rhinopharyngite","Une otite externe","Une sinusite","1","Le document mentionne : Examen ORL complet : cf signes de complications.","Medium"
"Quelle est la particularité du cholestéatome épitympanique atticale ?","Siège en haut et en arrière du tympan","Siège au niveau du méat","Siège bilatéral","Siège au niveau de la trompe","1","Le document cite : Cholestéatome épitympanique atticale (en ht et post).","Medium"
"La pathogénie de l’OMCC est :","Bien établie","Reste à élucider","Uniquement post-traumatique","Toujours congénitale","2","Le document indique : Pathogénie : reste à élucider.","Easy"
"Le cholestéatome peut être pris en charge chirurgicalement par :","Tympanoplastie en technique ouverte ou fermée","Antibiothérapie seule","Paracentèse","Pose d’aérateur transtympanique","1","Le document cite : Chirurgies : évidement pétro-mastoïdien ou tympanoplastie en technique ouverte ou technique fermée.","Medium"
"L’otorragie et l’acouphène sont des signes possibles de l’OMCC.",True,"Le document mentionne : Otorragie, acouphène.","Easy"
"La lyse ossiculaire est visible au scanner du rocher.",True,"Le document indique : TDM du rocher : lyse des osselets.","Medium"
"L’OMCC peut entraîner une surdité mixte à l’audiométrie.",True,"Le document précise : Audiométrie tonale : ST, SM (surdité mixte car atteinte OM et OI), cophose.","Medium"
