"term","definition","contextual_explanation"
"Psoriasis","Maladie systémique inflammatoire chronique à expression principalement cutanée et articulaire.","Dermatose érythémato-squameuse chronique évoluant par poussée, déclenchée par facteurs de risque (alcool, stress). Activation de LTCD4 type Th17. Prévalence 1,5-2%."
"Psoriasis vulgaire","Forme typique de psoriasis chez l’adulte.","Lésions érythémato-squameuses arrondies, légèrement en relief, squames nacrées blanchâtres, bien limitées. Signe de la bougie et de la rosée sanglante au grattage. Prurit dans 50% des cas."
"Signe de la bougie","Blanchissement très net de la lésion psoriasique après grattage.","Signe clinique du psoriasis vulgaire."
"Signe de la rosée sanglante","Fines gouttelettes hémorragiques apparaissant après grattage d’une lésion psoriasique.","Correspond à la mise à nu des papules dermatologiques."
"Phénomène de Koebner","Apparition de lésions psoriasiques sur des zones de traumatisme cutané.","Présent dans le psoriasis (non spécifique)."
"Psoriasis en gouttes","Forme de psoriasis avec lésions de petite taille (0,5-2 cm).","Fréquente chez l’enfant après infection rhinopharyngée ou vaccination."
"Psoriasis nummulaire","Forme de psoriasis en pièce de monnaie.","Variante dimensionnelle."
"Psoriasis en plaque / en nappe","Forme extensive de psoriasis avec grandes lésions.","Topographie : zones exposées aux contacts extérieurs (zones de Bastion), faces d’extension des articulations."
"Zones de Bastion","Zones cutanées exposées aux microtraumatismes externes.","Siège préférentiel des lésions psoriasiques."
"PASI (Psoriasis Area and Severity Index)","Score de mesure de la gravité du psoriasis.","Trois paramètres : érythème, induration, desquamation. Chaque paramètre noté de 0 à 6."
"Hyperkératose","Épaississement de la couche cornée.","Signe histologique du psoriasis : lamelles de kératinocytes épaissies."
"Parakératose","Présence de noyaux dans les kératinocytes de la couche cornée.","Signe histologique du psoriasis (cellules ayant gardé leur noyau)."
"Hyperacanthose","Épaississement du corps muqueux de Malpighi avec allongement des crêtes épidermiques.","Signe histologique du psoriasis."
"Psoriasis du cuir chevelu","Localisation fréquente du psoriasis.","Lésions arrondies confluentes en carapaces, n’englue pas les cheveux, non alopéciante. Couronne érythémateuse séborrhéique frontale."
"Psoriasis de l’ongle","Atteinte unguéale fréquente.","Dé à coudre (dépression ponctuée cupuliforme), onycholyse sous-unguéale, pachyonychie, destruction de l’ongle."
"Psoriasis palmo-plantaire","Localisation bilatérale des paumes et plantes.","Squames jaunâtres débordant sur les doigts/orteils, clous psoriasiques (élevures lenticulaires dures), kératodermie psoriasique diffuse (carapace kératosique)."
"Psoriasis inversé","Psoriasis des plis.","Lésion en plaque rouge inf., brillante, lisse, bords nets. Sièges : plis interfessier, inguinal, génital, ombilic, sous-mammaire, CAE, creux poplité, axillaire."
"Psoriasis de l’enfant","Forme pédiatrique.","Psoriasis de la langue (dès 3 mois), psoriasis aigu en gouttes (post-infection ou post-vaccination)."
"Psoriasis du PVVIH","Forme chez le patient VIH+.","Lésions grasses, plaques rouges vives, grandes squames, tendance à l’érythrodermie psoriasique."
"Erythrodermie psoriasique","Forme grave : érythème >90% de la surface corporelle.","Deux types : sèche (bon pronostic) et humide œdémateuse (mauvais pronostic, altération état général, fièvre, surinfection)."
"Psoriasis pustuleux","Forme grave début brutal.","Placards rouges inférieurs couverts de pustules aseptiques, fièvre, AEG, troubles métaboliques. Hospitalisation."
"Rhumatisme psoriasique","Arthropathie associée au psoriasis.","Arthralgies inflammatoires, atteinte des petites articulations, oligo/monoarthrite, polyarthrite psoriasique symétrique déformante. Radiographie : destruction anarchique articulaire."
"Pityriasis rosé de Gibert","Dermatose bénigne.","Diagnostic différentiel : lésions rosées finement squameuses en médaillons, tronc et racine des membres."
"Toxidermie psoriasiforme","Éruption médicamenteuse ressemblant au psoriasis.","Diagnostic différentiel : transitoire, cède à l’arrêt du médicament."
"Syphilides secondaires psoriasiformes","Manifestations cutanées de la syphilis secondaire.","Diagnostic différentiel : papules infiltrées cuivrées, squames annulaires, sérologie syphilitique positive."
"Kératolytiques","Traitement local éliminant les squames.","Utilisé dans le psoriasis non compliqué."
"Dermocorticoïdes","Corticoïdes topiques.","Traitement local du psoriasis."
"Dérivés de la vitamine D3","Calcipotriol, etc.","Traitement local du psoriasis."
"Méthotrexate","Immunosuppresseur.","Traitement général du psoriasis étendu, récurrent, ou du rhumatisme psoriasique."
"Acitrétine","Rétinoïde.","Traitement général du psoriasis."
"Ciclosporine","Immunosuppresseur.","Traitement général du psoriasis."
"Anti-TNF alpha","Biotherapie (infliximab, adalimumab, étanercept).","Traitement du rhumatisme psoriasique."
