"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quels sont les deux grands types d’abcès du foie mentionnés dans le document ?","Abcès à CMV et abcès à champignons","Abcès pyogéniques et abcès amibiens","Abcès traumatiques et abcès biliaires","Abcès à E. coli et abcès à Klebsiella","2","Le document distingue clairement : ""Deux types d’abcès : 1. Abcès à germes pyogèniques 2. Abcès amibiase (provient de l’amibiase intestinale : e.h.h)""","Easy"
"Selon le document, quel est le pourcentage estimé d’amibiase hépatique parmi les patients infestés par l’amibe ?","1 à 2%","3 à 10%","15 à 20%","25 à 30%","2","Le document indique : ""L’amibiase hépatique est estimée à 3 à 10% des patients infestés par l’amibe""","Easy"
"Quel est l’examen d’imagerie le plus sensible (95‑100%) pour diagnostiquer un abcès du foie selon le document ?","Échographie","Scanner abdominal","IRM","Scintigraphie au Technétium","2","Le document précise : ""Scanner abdominale : c’est la plus sensible (95% à 100%)"" alors que l’échographie a une sensibilité de 85‑95%.","Easy"
"Quel est le traitement de choix d’un abcès amibien non compliqué (sans rupture ni surinfection) d’après le document ?","Drainage chirurgical + aminosides","Métronidazole par voie orale","Chloroquine seule","Antibiothérapie par pénicilline","2","Le document dit : ""S’il n’y a pas de rupture ni d’infection secondaire : les amoebicides sont le traitement de choix [...] Le meilleur reste le métronidazole ou un apparenté par voie orale""","Easy"
"Quelle est la mortalité des abcès pyogéniques non traités selon le document ?","50‑60%","75‑85%","95‑100%","100% dans tous les cas","3","Le document affirme : ""Si non traités, ils sont mortels dans 95 à 100% des cas""","Easy"
"Quelle est la présentation typique du pus dans un abcès amibien ?","Pus blanchâtre","Pus verdâtre","Pus chocolaté","Pus jaune épais","3","Le document mentionne pour l’abcès amibien : ""Pus chocolaté""","Easy"
"Quel est le pic d’âge de survenue des abcès du foie d’après le document ?","Enfants de moins de 10 ans","20‑30 ans","40‑60 ans","Plus de 70 ans","3","Le document indique : ""L’abcès du foie affecte [...] pic entre 40 et 60 ans""","Easy"
"Quel germe anaérobie est spécifiquement cité dans le document comme pouvant être associé à Fusobacterium ?","Bacteroides","Streptocoque","Entérocoque","Klebsiella","1","Le document écrit : ""Possible : association Anaérobie-Fusobacterium"" et plus haut il liste ""Anaérobies : Bacteroides, streptocoque"". La question cible l’association, donc Bacteroides est l’anaérobie concerné.","Easy"
"Pourquoi la différenciation précoce entre abcès pyogénique et abcès amibien est‑elle difficile selon le document ?","Parce que les traitements sont identiques","Parce que les signes, symptômes et aspects radiologiques sont similaires","Parce que l’amibiase ne donne jamais de fièvre","Parce que l’échographie ne montre rien","2","Le document liste : ""Similarité des signes, Similarité des symptômes, Similarité des aspects radiologiques""","Medium"
"Quel mécanisme d’envahissement du parenchyme hépatique passe par l’artère hépatique ?","Une infection biliaire","Une septicémie généralisée","Un traumatisme direct","Une extension sous‑diaphragmatique","2","Le document précise : ""De l’artère hépatique lors d’une septicémie généralisée""","Medium"
"Quelle est la conséquence d’une rupture d’abcès pyogénique, en plus de la septicémie ?","Une hémorragie digestive","Une péritonite biliaire","Une rupture peut survenir selon sa grandeur et sa localisation, sans autre précision","Une fistule cutanée","3","Le document mentionne : ""Par septicémie, rupture ou les deux"" et ""Rupture possible selon sa grandeur et sa localisation"". La réponse correcte est la reprise littérale.","Medium"
"Quel est le schéma thérapeutique de base proposé pour les abcès pyogéniques avant ajustement par l’antibiogramme ?","Céphalosporine seule","Aminoglycoside + anti‑anaérobie + pénicilline","Métronidazole + chloroquine","Vancomycine + gentamycine","2","Le document dit : ""Le schéma thérapeutique = aminoglycoside (gentamycine, amikacine, ...) + antibiotique contre les germes anaérobies + pénicilline""","Medium"
"Quel délai d’antibiothérapie doit être respecté avant le drainage d’un abcès pyogénique ?","Aucun délai, drainage immédiat","6 à 12 heures","1 à 2 jours","3 à 5 jours","3","Le document indique : ""Respecter un délai de 1 à 2 jours d’antibiothérapie avant le drainage""","Medium"
"Quels sont les deux éléments principaux de la physiopathologie de l’abcès du foie ?","La présence de germes et la vulnérabilité du foie","L’obstruction biliaire et l’ischémie","Le traumatisme et l’immunodépression","L’amibiase et la bactériémie","1","Le document écrit : ""La physiopathologie de l’abcès du foie met en jeu deux éléments principaux : 1. La présence des germes en cause 2. La vulnérabilité du foie""","Medium"
"Selon le document, quel est le rôle de l’échographie dans la prise en charge des abcès hépatiques ?","Elle est moins sensible que la scintigraphie","Elle permet une biopsie échoguidée","Elle ne détecte que les abcès amibiens","Elle est contre‑indiquée en urgence","2","Le document précise : ""Echographie : [...] Permet une biopsie échoguidée""","Medium"
"Quelles sont les trois voies d’envahissement du foie citées dans le document (hors extension directe et traumatisme) ?","Système porte, voies biliaires, artère hépatique","Veine cave, artère mésentérique, canal thoracique","Système lymphatique, péritoine, omentum","Artère splénique, veine rénale, uretère","1","Le document liste : ""L’envahissement du parenchyme hépatique se fait à partir : Du système porte, Des voies biliaires, De l’artère hépatique lors d’une septicémie généralisée""","Medium"
"Quel médicament de recours est cité en cas d’abcès amibien, en dehors du métronidazole et de la chloroquine ?","Amikacine","Émétine","Gentamycine","Pénicilline","2","Le document mentionne : ""Les autres médicaments de recours sont : émétine, dehydroémétine et la chloroquine""","Difficult"
"En combinant les informations du document, pourquoi le traitement d’un abcès amibien non compliqué est‑il a priori non chirurgical ?","Parce que les amibes ne forment jamais de collection","Parce que les amoebicides sont efficaces par voie orale et que la mortalité est faible sans surinfection","Parce que la chirurgie est toujours mortelle","Parce que le pus chocolaté se résorbe spontanément","2","Le document dit : ""Le traitement d’un abcès amibien non-compliqué est a priori non-chirurgical"" et plus loin ""les amoebicides sont le traitement de choix"" et ""La mortalité est faible si on suit les recommandations et s’il n’y a pas de surinfection"". La réponse combine ces éléments.","Difficult"
"Quelle affirmation concernant l’abcès pyogénique du foie est exacte d’après le document ?","Le lobe gauche est plus touché que le droit","Il peut être solitaire ou multiple et mesurer de 1 mm à plusieurs cm","Il est toujours d’origine biliaire","Il ne nécessite jamais de drainage","2","Le document indique pour l’abcès pyogénique : ""Peut être solitaire ou multiple"" et ""Taille : 1mm à plusieurs cm"".","Medium"
"Si un patient présente un abcès amibien avec surinfection, que faut‑il ajouter au métronidazole selon la logique du document ?","Un traitement chirurgical exclusif","Une antibiothérapie contre les germes pyogéniques (car surinfection bactérienne)","De la chloroquine seule","Une augmentation des doses de métronidazole","2","Bien que le document ne le dise pas explicitement, il précise que la mortalité est faible ""s’il n’y a pas de surinfection"". En cas de surinfection, on peut déduire qu’un traitement antimicrobien dirigé contre les germes pyogéniques est nécessaire, mais la réponse doit rester basée sur le document. Le document dit aussi que les abcès pyogéniques nécessitent une antibiothérapie. Donc logique.","Difficult"
