"term","definition","contextual_explanation"
"kwashiorkor","Forme de malnutrition aiguë sévère, survenant typiquement entre 1 et 3 ans, associant œdèmes nutritionnels, troubles trophiques cutanés et capillaires, apathie, anorexie, et complications métaboliques et infectieuses.","Dans le document, il est distingué du marasme, mais les formes mixtes existent. Terrain fragile car immunodéprimé."
"œdèmes nutritionnels","Œdèmes bilatéraux liés à la malnutrition, classés en 1+ (pied), 2+ (tous les membres inférieurs), 3+ (autres parties du corps).","Critère diagnostique majeur du kwashiorkor."
"muguet","Candidose buccale se présentant sous forme de taches blanchâtres sur la muqueuse buccale.","Signe digestif du kwashiorkor."
"stomatite","Inflammation sévère des gencives et de la muqueuse buccale.","Signe digestif."
"cheveux roux cassants","Modification de la pigmentation et de la texture des cheveux, typique du kwashiorkor.","Ils s’arrachent facilement."
"PB","Périmètre brachial (mesure du bras).","Critère de classification de la malnutrition : <115 mm avec œdèmes = MAS ; 115-125 mm sans œdèmes = malnutrition modérée."
"indice P/T","Rapport poids/taille.","P/T < -3 z-score = malnutrition aiguë sévère."
"test de l’appétit","Évaluation de la capacité de l’enfant à s’alimenter.","Fait partie du bilan initial (PCIME)."
"PCIME","Prise en charge intégrée des maladies de l’enfant.","Stratégie incluant test de l’appétit et recherche de complications médicales."
"hypothermie","Température corporelle <35,5°C.","Complication du kwashiorkor, signe d’hypoglycémie ou d’infection (choc septique)."
"CRENAM","Centre de Récupération et d’Education Nutritionnelle Ambulatoire.","Pour la malnutrition aiguë modérée."
"CRENAS","Centre de Récupération et d’Education Nutritionnelle pour malnutrition aiguë sévère sans complications.","Traitement en trois phases (I, transition, II)."
"CRENI","Centre de Récupération et d’Education Nutritionnelle Intensif.","Pour la malnutrition aiguë sévère avec complications."
"ATPE","Aliment Thérapeutique Prêt à l’Emploi.","Plumpy-nut* est un exemple."
"Plumpy-nut","Pâte nutritionnelle prête à l’emploi.","Sachet de 92 g apportant 500 kcal. Utilisé en phase II et pour la mère."
"F75","Lait thérapeutique de phase aiguë.","Osmolarité basse. 100 ml = 75 kcal. Apport : 130 ml/kg/24h (100 kcal/kg/j) en 8 repas."
"F100","Lait thérapeutique de phase de transition.","1 sachet + 2 L d’eau → 100 ml/kg/j = 130 kcal/kg/j en 8 repas. Gain de poids attendu : 6 g/kg/j."
"phase aiguë (phase I)","Première phase de renutrition du kwashiorkor.","Utilisation exclusive de F75. Interdiction de tout autre aliment."
"phase de transition","Phase intermédiaire entre phase I et phase II.","Utilisation de F100. L’enfant ne doit pas être resservi."
"phase II (phase de réhabilitation)","Phase de rattrapage nutritionnel.","Plumpy nut* (170 kcal/kg/j) + repas familial."
"diarrhée de renutrition","Diarrhée survenant lors de la renutrition, pouvant entraîner une perte de poids.","Critère de retour à la phase aiguë."
"amoxicilline","Antibiotique de première intention chez le kwashiorkor sans signe d’infection.","Posologie : 100 mg/kg/j en 3 prises pendant la phase 1 + 4 jours."
"érythromycine","Macrolide, alternative en cas d’allergie à l’amoxicilline.","Posologie : 50 mg/kg/j en 2 prises."
"résomal","Solution de réhydratation orale spécifique pour les enfants malnutris.","À privilégier par voie orale ou SNG pour la déshydratation, plutôt que la voie IV."
"re-lactation","Technique visant à rétablir la lactation maternelle.","Pour les nourrissons de mères malnutries, associée à une supplémentation de la mère (2500 kcal/j)."
"CGR","Concentré de globules rouges.","À transfuser dans le kwashiorkor (contrairement au marasme où on utilise du sang total)."
"furosémide","Diurétique de l’anse.","Utilisé à 1 mg/kg avant ou après transfusion, et dans la défaillance cardiaque."
"G10","Solution glucosée à 10 %.","Bolus de 5 ml/kg si hypoglycémie avec inconscience."
"C3G","Céphalosporine de troisième génération.","Utilisée avec gentamicine et éventuellement cloxacilline dans le choc septique."
"gentamicine","Aminoside.","Associée aux C3G dans le choc septique."
"cloxacilline","Pénicilline M, active sur les staphylocoques.","Ajoutée si suspicion d’infection à staphylocoque."
