"front","back","cognitive_level"
"Quelle est la définition de la ménopause ?","Disparition définitive du cycle menstruel secondaire à l’arrêt de l’activité ovarienne par épuisement du capital folliculaire ovarien (réserve ovarienne / stock folliculaire).","Recall"
"À quel âge survient la ménopause en moyenne et quand est-elle confirmée ?","Elle survient en moyenne à 50 ans (extrêmes 45-55 ans). Elle est confirmée après un an (12 mois) d’aménorrhée.","Recall"
"Qu’est-ce que la péri-ménopause ?","Période de perturbation du cycle précédant la ménopause, durant environ une dizaine d’années avant la ménopause confirmée.","Recall"
"Quelle est la physiopathologie de la péri-ménopause ?","Épuisement progressif du capital folliculaire ovarien → baisse de sensibilité ovarienne aux FSH-LH → augmentation des gonadostimulines (FSH surtout) → diminution de progestérone (insuffisance lutéale) → hyperœstrogénie relative → diminution progressive de l’œstradiol (E2) → troubles de l’ovulation (cycles dysovulatoires ou anovulatoires).","Understanding"
"Quels sont les trois grands types de manifestations cliniques de la péri-ménopause ?","1) Troubles du cycle menstruel (irréguliers, spanioménorrhée, pollakiménorrhée). 2) Métrorragies et/ou ménorragies (par hyperplasie endométriale). 3) Syndrome prémenstruel (prise poids, mastodynies, pesanteur abdominale, troubles psychiques).","Recall"
"Comment traite-t-on l’hyperœstrogénie relative de la péri-ménopause responsable de ménorragies/métrorragies ?","Deux options : 1) Progestatifs (nomégestrol, LUTENYL*) 10 jours/mois (du 15ème au 25ème jour du cycle) – activité anti-œstrogénique atrophiante sur l’endomètre. 2) DIU au lévonorgestrel (MIRENA*).","Recall"
"Quelle est la physiologie de la ménopause ?","Arrêt définitif du fonctionnement ovarien (épuisement de la réserve folliculaire) → aménorrhée et anovulation → effondrement de l’œstradiol (E2) → carence œstrogénique définitive. Persistance de la synthèse des androgènes (corticosurrénale +++, ovaires). Sécrétion d’œstrone (E1) par aromatisation périphérique des androgènes au niveau des tissus graisseux.","Recall"
"Quels sont les trois critères cliniques du diagnostic de ménopause ?","1) Âge vers 50 ans. 2) Aménorrhée secondaire depuis 12 mois, test aux progestatifs négatif. 3) Syndrome climatérique (bouffées de chaleur, sueurs nocturnes, sécheresse vaginale).","Recall"
"Qu’est-ce que le syndrome climatérique ?","Traduction initiale de la carence œstrogénique (inconstant, d’intensité variable) associant : bouffées de chaleur (sensation de chaleur intense, brutale, transitoire, avec rougeur face/thorax, sueurs profuses, surtout nocturnes) et troubles neuropsychiques (troubles humeur, irritabilité, dépression, anxiété, asthénie, insomnie).","Recall"
"Quels sont les critères paracliniques confirmant la ménopause (dosages hormonaux) ?","Œstradiolémie (E2) < 50 pg/ml (effondré) ; FSH plasmatique > 20 UI/L (élevée). Progestéronémie indosable.","Recall"
"Quelle est la place des dosages hormonaux dans le diagnostic de la ménopause ?","Le diagnostic est avant tout clinique. Les dosages hormonaux doivent être d’indication exceptionnelle. On demande en pratique la FSH plasmatique et l’œstradiolémie (tableau d’hypogonadisme hypogonadotrope).","Recall"
"Quelles sont les modifications de la vulve et du vagin après la ménopause ?","Grandes et petites lèvres s’amincissent, se dépigmentent, deviennent moins saillantes (repli des petites lèvres peut disparaître). Orifice vulvaire et lumière vaginale se rétrécissent. Muqueuse sèche, fragile, saignant facilement. Culs-de-sac vaginaux s’estompent. Flore protectrice diminue → sensibilité accrue aux infections.","Recall"
"Quelles sont les modifications du col de l’utérus après la ménopause ?","Atrophie : diminution de taille, lèvres se rapprochent, orifice tend à se fermer voire disparaître. La jonction pavimento-cylindrique recule à l’intérieur du canal, inaccessible à la colposcopie, rendant difficile la pratique du frottis cervico-utérin (FCU).","Recall"
"Citez cinq conséquences cliniques de la ménopause autres que le syndrome climatérique.","1) Troubles urinaires (dysurie, incontinence, impériosité). 2) Poils/cheveux : clairsemement dans zones œstrogéno-dépendantes, pilosité androgénique (lèvres, joues). 3) Peau : amincissement. 4) Prise de poids (augmentation IMC). 5) Douleurs articulaires et ligamentaires.","Recall"
"Quel est le risque osseux majeur de la ménopause et à quel délai survient-il ?","L’ostéoporose post-ménopausique. Elle se manifeste 7 à 10 ans après l’arrêt des règles. Risque accru de fractures : rachis, poignet, col du fémur. Diagnostic par ostéodensitométrie : ostéoporose densitométrique = T-score < -2,5 DS.","Recall"
"Quel est l’autre risque majeur de la ménopause (cardiovasculaire) ?","Athérosclérose coronarienne.","Recall"
"Qu’est-ce qu’une bouffée de chaleur ?","Sensation de chaleur intense, brutale et transitoire, accompagnée de rougeur de la face et du tronc, sueurs profuses, surtout nocturnes, participant à l’insomnie. Signe de carence œstrogénique cédant à une œstrogénothérapie modérée.","Recall"
"À quoi est due la sécheresse vaginale de la ménopause et quelle en est la conséquence fonctionnelle ?","Due à la carence œstrogénique (atrophie vaginale). Conséquence : dyspareunie (douleur lors des rapports sexuels).","Recall"
"Le test aux progestatifs est positif ou négatif chez une femme ménopausée ?","Négatif (absence de saignement après administration de progestatifs).","Recall"
"Quelle est l’évolution de la FSH et de l’œstradiol (E2) à la ménopause ?","FSH : élevée (> 20 UI/L). Œstradiol (E2) : effondré (< 50 pg/ml).","Recall"
"Quelle hormone est encore produite après la ménopause et par quel mécanisme ?","L’œstrone (E1), produite par aromatisation périphérique des androgènes au niveau des tissus graisseux.","Recall"
"Pourquoi la flore vaginale protectrice diminue-t-elle à la ménopause ?","Par atrophie vaginale et carence œstrogénique modifiant l’écosystème vaginal → sensibilité accrue aux infections.","Recall"
"Quels signes du syndrome climatérique participent à l’insomnie ?","Les sueurs profuses nocturnes.","Recall"
"Quelle est la définition de l’ostéoporose densitométrique ?","T-score < -2,5 DS à l’ostéodensitométrie.","Recall"
"Quels sont les troubles de l’humeur retrouvés dans le syndrome climatérique ?","Irritabilité, état dépressif, anxiété, tristesse.","Recall"
"Qu’est-ce que l’insuffisance lutéale dans la péri-ménopause ?","Altération de la qualité du corps jaune entraînant une diminution de la sécrétion de progestérone.","Recall"
"Pourquoi y a-t-il une hyperœstrogénie relative dans la péri-ménopause ?","Parce que la sécrétion de progestérone diminue (insuffisance lutéale) alors que les œstrogènes sont encore présents, créant un déséquilibre en faveur des œstrogènes.","Understanding"
"Quel est l’effet des progestatifs sur l’endomètre dans le traitement de la péri-ménopause ?","Activité anti-œstrogénique → action atrophiante sur l’endomètre.","Recall"
"La bouffée de chaleur cède-t-elle à un traitement ?","Oui, elle cède à une œstrogénothérapie modérée (signe de carence œstrogénique).","Recall"
"Quel est le dosage de FSH considéré comme évocateur de ménopause ?","FSH plasmatique > 20 UI/L.","Recall"
