"front","back","cognitive_level"
"Quelle est la définition de la douleur pelvienne chronique cyclique (DPCC) ?","Douleur pelvienne chronique rythmée par le cycle menstruel. Problème fréquent en gynécologie.","Recall"
"Quelle est la prévalence de la douleur pelvienne chronique cyclique chez les femmes de 15 à 75 ans ?","38 pour 1000 femmes entre 15 et 75 ans.","Recall"
"Quel est le retentissement habituel de la DPCC ?","Retentissement comportemental, professionnel et social – elle est souvent invalidante.","Recall"
"Quels sont les trois groupes d’étiologies des douleurs pelviennes cycliques ?","1) Syndrome intermenstruel. 2) Syndrome prémenstruel. 3) Dysménorrhées (algoménorrhées).","Recall"
"Quand survient le syndrome intermenstruel et quelle est sa durée ?","Survient vers J14 (au milieu du cycle). Durée : courte, environ 1 jour.","Recall"
"Quels sont les signes cliniques du syndrome intermenstruel ?","Pesanteur pelvienne diffuse, parfois métrorragie intermenstruelle, gonflement abdomino-pelvien, signes d’imprégnation œstrogénique (douleur mammaire associée).","Recall"
"Quels examens complémentaires sont nécessaires devant un syndrome intermenstruel ?","Examens complémentaires inutiles. Cependant, il faut éliminer les urgences (grossesse, etc.) avec les examens obligatoires.","Recall"
"Quel est le traitement du syndrome intermenstruel ?","Prise en charge symptomatique par antalgique ou antispasmodique, après avoir éliminé toute urgence.","Recall"
"Quand survient le syndrome prémenstruel et jusqu’à quand persiste-t-il ?","Survient dans la seconde phase du cycle (avant les règles) et disparaît avec l’apparition des règles.","Recall"
"Citez six signes associés au syndrome prémenstruel.","1) Mastodynies. 2) Congestion pelvienne. 3) Irritabilité et anxiété. 4) Céphalées. 5) Migraines cataméniales. 6) Œdèmes.","Recall"
"Quel est l’aspect de l’examen gynécologique dans le syndrome prémenstruel ?","Examen gynécologique normal.","Recall"
"Quelles sont les options thérapeutiques du syndrome prémenstruel ?","Prise en charge symptomatique (antalgique, antispasmodique, anti-inflammatoire) ou progestatifs.","Recall"
"Qu’est-ce qu’une dysménorrhée ou algoménorrhée ?","Phénomènes douloureux contemporains des règles : douleur pelvienne, troubles digestifs, céphalées, œdèmes, douleur au niveau des lombes.","Recall"
"Quels sont les deux types de dysménorrhées ?","1) Dysménorrhée primaire ou essentielle (pas de cause organique). 2) Dysménorrhée secondaire (cause organique).","Recall"
"Citez trois facteurs étiologiques de la dysménorrhée primaire.","1) Hypercontractilité du myomètre. 2) Troubles hormonaux. 3) Facteurs psychologiques (stress, anxiété).","Recall"
"Quel est l’aspect de l’examen gynécologique dans la dysménorrhée primaire ?","Examen gynécologique normal ou malformation génitale (imperforation hyménale, diaphragme vaginal – douleur mensuelle sans apparition des règles).","Recall"
"Quelles sont les trois options thérapeutiques de la dysménorrhée primaire ?","Abstention, AINS (anti-inflammatoires non stéroïdiens), ou œstroprogestatifs.","Recall"
"Qu’est-ce que l’endométriose ?","Présence de tissu endométrial en dehors de la cavité utérine. Ce tissu peut se disséminer dans la cavité péritonéale, provoquant une inflammation chronique au niveau de la vessie et de l’intestin.","Recall"
"Quels sont les signes cliniques de l’endométriose ?","Douleurs chroniques à recrudescence prémenstruelle, associée ou non à une dyspareunie profonde, dyschésie, troubles urinaires, infertilité.","Recall"
"Quel examen est diagnostique de l’endométriose ?","La coelioscopie (diagnostique ++++).","Recall"
"Qu’est-ce que l’adénomyose utérine ?","Une autre forme d’endométriose : l’endomètre pénètre dans le myomètre.","Recall"
"Citez quatre causes de dysménorrhée secondaire (organique).","1) Endométriose. 2) Adénomyose utérine. 3) Séquelles d’infections génitales hautes (surtout Chlamydia). 4) Malformations utéro-vaginales. 5) Sténose du col (congénitale ou acquise).","Recall"
"Quelle infection est particulièrement responsable de séquelles génitales hautes entraînant une dysménorrhée secondaire ?","L’infection à Chlamydia.","Recall"
"Devant une douleur pelvienne cyclique avec malformation génitale, quelle est la présentation clinique possible ?","Imperforation hyménale ou diaphragme vaginal : douleur mensuelle sans apparition des règles (aménorrhée primaire douloureuse cyclique).","Recall"
"Quelle est la conduite à tenir devant une douleur pelvienne cyclique ?","1) Interrogatoire bien conduit (caractère de la douleur par rapport au cycle, antécédents). 2) Examen clinique minutieux.","Recall"
"À quel moment du cycle survient la dysménorrhée ?","Pendant les règles (contemporaine aux règles).","Recall"
"Quelle est la différence entre syndrome prémenstruel et dysménorrhée ?","Syndrome prémenstruel : avant les règles, disparaît avec l’apparition des règles. Dysménorrhée : pendant les règles.","Analysis"
"Quelle est la différence entre dysménorrhée primaire et secondaire ?","Primaire : pas de cause organique (essentielle). Secondaire : cause organique sous-jacente (endométriose, adénomyose, séquelles d’infection, malformation, sténose du col).","Analysis"
"Quel examen d’imagerie est indiqué en cas de suspicion d’endométriose profonde ?","IRM.","Recall"
"Quels sont les trois examens paracliniques systématiques devant une douleur pelvienne aiguë avec métrorragies ?","Dosage de l’hCG (éliminer grossesse), NFS (hyperleucocytose, anémie), CRP.","Recall"
"À quoi sert l’échographie pelvienne dans la DPCC ?","Rechercher les étiologies. Étudie : utérus (fibrome +/- nécrosé, malformation), ovaires (kyste, endométriome), reins, uretères, vessie.","Recall"
"Quel est l’intérêt de la coelioscopie dans la DPCC ?","Très utile – à la fois diagnostique et opératoire.","Recall"
