"front","back","cognitive_level"
"Quel est l’agent pathogène de la lèpre ?","Mycobacterium leprae, une mycobactérie de la famille des BAAR.","Recall"
"Quelles sont les trois cibles principales de la lèpre ?","La peau, les muqueuses et les nerfs.","Recall"
"Selon la classification OMS, quels sont les trois paramètres définissant la lèpre pauci bacillaire ?","Nombre de lésions cutanées inférieur à 5, nombre de nerfs atteints = 1 seul, bacilloscopie négative.","Recall"
"Selon la classification OMS, quels sont les trois paramètres définissant la lèpre multi bacillaire ?","Nombre de lésions cutanées supérieur à 5, nombre de nerfs atteints supérieur à 1, bacilloscopie positive.","Recall"
"Quelles sont les trois formes cliniques de la classification de Ridley Joplin (de la plus grave à la moins grave) ?","Forme lépromateuse (plus grave), forme borderline (intermédiaire), forme tuberculoïde (moins grave).","Recall"
"Quelles sont les sous-formes de la lèpre borderline selon Ridley Joplin ?","Tendance tuberculoïde (tuberculoïde borderline), tendance borderline (borderline borderline), tendance lépromateuse (borderline lépromateuse).","Recall"
"Quels sont les signes cutanés de la forme lépromateuse ?","Macules blanches ou cuivrées, lépromes (nodules ou papulo-nodulaires de 0,5 cm), lésions maculeuses annulaires (érythème au milieu, nodules en périphérie), confluence de nodules (jusqu’à 20 lésions) symétrique bilatérale, faciès léonin (bout du nez et oreilles).","Recall"
"Quelles sont les atteintes neurologiques de la lèpre ?","Hypertrophie nerveuse (tuméfaction), douleur nerveuse à type de décharge électrique à la palpation, fourmillements, paresthésies, anesthésie, mal perforant (ulcération chronique indolore), troubles moteurs (paralysie, amyotrophie palmaire et thénarienne, main en griffe ou main de singe), steppage au pied.","Recall"
"Quelles sont les caractéristiques de la forme tuberculoïde ?","Moins de 5 lésions, de grande taille, asymétriques (dos, fesses), hypoesthésiques. Peut guérir spontanément ou évoluer vers une forme borderline tuberculoïde.","Recall"
"Qu’est-ce que la lèpre nerveuse pure ?","Aucune lésion cutanée, seulement une hypotrophie thénarienne, une hypertrophie nerveuse. Confirmation par PCR.","Recall"
"Qu’est-ce qu’une réaction lépreuse ?","Complication immunologique survenant après la mort des bactéries (super antigène induisant une réaction inflammatoire). Apparaît spontanément pendant ou après le traitement.","Recall"
"Quels sont les signes de la réaction lépreuse de type 1 (réaction de réversion) ?","Poussée inflammatoire brutale des lésions : érythème avec œdème desquamatif, névrite hypertrophique douloureuse touchant plusieurs nerfs (risque sensitivo-moteur total définitif). Arthrite, tendinite, ténosynovite.","Recall"
"Quels sont les signes de la réaction lépreuse de type 2 (érythème noueux lépreux) ?","Déclenchée par une autre infection ou l’administration du traitement. Altération générale brutale (myasthénie), nodules hypodermiques rouges chauds douloureux (1-3 cm), névrite douloureuse symétrique bilatérale, paresthésies (rarement déficit moteur). Polyadénopathie, arthralgies, kératite, orchite, glomérulonéphrite, amylose secondaire (protéinurie → IR). Hospitalisation obligatoire.","Recall"
"Quel est l’examen bactériologique de la lèpre ?","Prélèvement des mucus nasaux (frottis nasal) ou biopsie cutanée, coloration de Ziehl-Neelsen pour compter l’index bactériologique (IB de 1 à 6) et index morphologique.","Recall"
"Quelle est la cellule pathognomonique de la lèpre à l’anatomopathologie ?","La cellule de Virchow (son absence n’exclut pas la lèpre).","Recall"
"Quelle est l’utilité de la PCR dans la lèpre ?","Détection de l’ADN de Mycobacterium leprae (positif dans 90% des formes lépromateuses, 20% des tuberculoïdes), diagnostic précoce, étude de résistance, confirmation de la lèpre nerveuse pure.","Recall"
"Quels sont les trois diagnostics différentiels des lésions hypochromiques de la lèpre ?","Eczématide achromiante (enfant atopique, visage, non prurigineuse, sensible), dermatite séborrhéique (lésion hypochromique squameuse prurigineuse), vitiligo (lésion sensible), cicatrice hypochromique.","Recall"
"Quels sont les diagnostics différentiels des lésions papulo-nodulaires de la lèpre ?","Acné, sarcoïdose multi-lésionnelle, maladie de Kaposi, hématodermie (leucémie), syphilis secondaire, pian, onchocercose, histoplasmose cutanée, sporotrichose, leishmaniose.","Recall"
"Quel est le réservoir de Mycobacterium leprae ?","L’homme malade (élimination par muqueuse nasale et peau). Spécifiquement humaine. Source essentielle : lèpre multi bacillaire. Transmission directe, voie respiratoire prépondérante.","Recall"
"Quel est le traitement de la lèpre multi bacillaire selon l’OMS ?","Trithérapie systématique : Rifampicine (10 mg/kg/j) + Sulfone (DDS, 1,5 mg/kg/j) + Clofazimine (1 mg/kg/j) pendant 12 mois.","Recall"
"Quel est le traitement de la lèpre pauci bacillaire ?","Trithérapie systématique (RMP/DDS/CLO) pendant 6 mois.","Recall"
"Comment traite-t-on une réaction lépreuse ?","Continuer le traitement anti-lépreux, ajouter de la prednisolone (corticoïde) 1 mg/kg/j, et de l’acide acétylsalicylique.","Recall"
"Quels sont les risques pour le bébé d’une mère enceinte atteinte de lèpre ?","Faible poids à la naissance, retard de croissance in utero, prématurité. La grossesse peut aggraver la lèpre et déclencher une réaction lépreuse. On peut traiter la femme enceinte.","Recall"
"Quelle est la particularité de la lèpre chez l’enfant ?","Indique une transmission persistante dans la communauté (10% de contamination continue). Forme intermédiaire (borderline). Traiter les autres enfants de la famille par une prise unique de streptomycine.","Recall"
"Quelle est la relation entre lèpre et VIH ?","Forme borderline. Syndrome de restauration immunitaire sous antirétroviraux (ARV) peut déclencher une infection lépreuse.","Recall"
"Un patient présente des macules hypochromiques asymétriques de grande taille, moins de 5, avec hypoesthésie. Quel est le diagnostic ?","Forme tuberculoïde de la lèpre.","Analysis"
"Un patient sous traitement pour lèpre lépromateuse développe brutalement des nodules rouges douloureux sous-cutanés, une fièvre, une polyadénopathie. Quelle complication ?","Réaction lépreuse de type 2 (érythème noueux lépreux).","Analysis"
