"question","answer","explanation","difficulty"
"Quel est l'agent responsable de la lèpre ?","Mycobacterium leprae, également appelé bacille de Hansen, une mycobactérie BAAR.","Document.","Easy"
"Quels sont les trois types de tissus touchés par la lèpre ?","Peau, muqueuses et nerfs.","Document.","Easy"
"Selon la classification OMS, quels sont les trois paramètres définissant la forme pauci bacillaire ou multi bacillaire ?","1) Nombre de lésions cutanées (inférieur à 5 = pauci, supérieur = multi), 2) Nombre de nerfs atteints (1 seul = pauci, plus de 1 = multi), 3) Résultat de bacilloscopie (négatif = pauci, positif = multi).","Document.","Easy"
"Citez les trois formes de la classification de Ridley Joplin de la plus grave à la moins grave.","Forme lépromateuse (plus grave), forme borderline (intermédiaire), forme tuberculoïde (moins grave).","Document.","Easy"
"Quels sont les signes cutanés de la forme lépromateuse ?","Macules blanches ou cuivrées, lépromes (nodules), lésions maculeuses annulaires (érythème central, nodules périphériques), confluence de nodules symétriques, faciès léonin.","Document.","Easy")
"Quels sont les signes neurologiques de la forme lépromateuse ?","Hypertrophie nerveuse (tuméfaction), douleur à type de décharge électrique, paresthésies, anesthésie, mal perforant, troubles moteurs (paralysie, amyotrophie, main en griffe, steppage).","Document.","Easy")
"Qu'est-ce que la lèpre nerveuse pure ?","Forme sans lésion cutanée, avec hypotrophie thénarienne, hypertrophie nerveuse, confirmée par PCR.","Document.","Easy")
"Quelles sont les deux types de réactions lépreuses et leurs principales caractéristiques ?","Type 1 (réaction de réversion) : poussée inflammatoire des lésions, névrite hypertrophique douloureuse, arthrite. Type 2 (érythème noueux lépreux) : nodules hypodermiques rouges chauds douloureux, altération générale, névrite bilatérale, hospitalisation obligatoire.","Document.","Easy")
"Quel est le traitement de la réaction lépreuse ?","Poursuite du traitement anti-lépreux, corticoïdes (prednisolone 1 mg/kg/j), acide acétylsalicylique.","Document.","Easy")
"Quels sont les trois examens paracliniques utilisés dans le diagnostic de la lèpre ?","Examen bactériologique (coloration de Ziehl Nelsen), examen anatomopathologique (biopsie, cellule de Virchow), PCR.","Document.","Easy")
"Qu'est-ce que l'index bactériologique (IB) ?","Nombre de bactéries comptées sur la coloration de Ziehl Nelsen, de 1 à 6+, permettant la classification OMS.","Document.","Easy")
"Quelle est la valeur de la PCR dans la lèpre nerveuse pure ?","Elle confirme le diagnostic (positive dans 90% des formes lépromateuses, 20% des tuberculoïdes).","Document.","Easy")
"Quels sont les diagnostics différentiels des lésions hypochromiques ?","Eczématide achromiante, dermatite séborrhéique, vitiligo, cicatrice hypochromique.","Document.","Easy")
"Quels sont les diagnostics différentiels des lésions papulo-nodulaires ?","Acné, sarcoïdose, maladie de Kaposi, hématodermie, syphilis secondaire, pian, onchocercose, histoplasmose, sporotrichose, leishmaniose.","Document.","Easy")
"Décrivez le réservoir et la transmission de Mycobacterium leprae.","Réservoir : homme malade (lèpre multi bacillaire). Transmission directe, principalement par voie respiratoire (mouchage, crachats, aérosols).","Document.","Easy")
"Quels sont les trois médicaments de la polychimiothérapie de la lèpre ?","Rifampicine (10 mg/kg/j), sulfones (1,5 mg/kg/j), clofazimine (1 mg/kg/j).","Document.","Easy")
"Quelle est la durée du traitement pour une lèpre multi bacillaire ?","12 mois.","Document.","Easy")
"Quelle est la durée du traitement pour une lèpre pauci bacillaire ?","6 mois.","Document.","Easy")
"Quelles sont les complications de la lèpre chez la femme enceinte et son enfant ?","Aggravation possible de la lèpre, réaction lépreuse ; chez le bébé : faible poids, retard de croissance, prématurité.","Document.","Easy")
"Quel est le risque chez les enfants de la famille d'un lépreux ?","Transmission persistante (contamination continue). Traitement par prise unique de streptomycine.","Document.","Easy")
"Expliquez le mécanisme des réactions lépreuses.","Après la mort des bactéries, les super antigènes induisent une réaction inflammatoire immunologique.","Document.","Medium")
"Quels sont les signes de la réaction de type 1 ?","Poussée inflammatoire brutale des lésions (érythème, œdème, desquamation), névrite hypertrophique douloureuse (plusieurs nerfs), risque sensitivo-moteur définitif, arthrite, tendinite.","Document.","Medium")
"Quels sont les signes de la réaction de type 2 ?","Déclenchement par infection ou traitement, altération générale (myasthénie), nodules hypodermiques rouges chauds douloureux (1-3 cm), névrite douloureuse symétrique bilatérale, polyadénopathie, arthralgies, kératite, orchite, glomérulonéphrite.","Document.","Medium")
"Pourquoi la réaction de type 2 nécessite-t-elle une hospitalisation obligatoire ?","En raison de la sévérité des manifestations systémiques (atteinte viscérale, risque d'insuffisance rénale).","Document.","Medium")
"Quel est le rôle de la clofazimine dans le traitement ?","Agent antilépreux, utilisé dans la trithérapie.","Document.","Medium")
"Qu'est-ce que l'index morphologique (IM) ?","Évalue la disposition des bactéries sur la coloration de Ziehl Nelsen.","Document.","Medium")
"Pourquoi l'absence de cellule de Virchow n'exclut pas la lèpre ?","Car elle peut être absente dans les formes tuberculoïdes ou paucibacillaires.","Document.","Medium")
"Quelle est la particularité de la lèpre chez l'enfant ?","Forme borderline (intermédiaire), indique une transmission persistante dans la communauté.","Document.","Medium")
"Quels sont les signes de la lèpre borderline borderline ?","Lésions cutanées annulaires de 5-10 cm, associées à une névrite hyperalgique.","Document.","Medium")
"Quels sont les signes de la lèpre borderline lépromateuse ?","Toutes les lésions cutanées possibles, normoesthésie, avec atteinte nerveuse.","Document.","Medium")
"Quelle est la particularité de la forme tuberculoïde concernant l'évolution ?","Peut guérir spontanément ou évoluer vers la forme borderline tuberculoïde.","Document.","Medium")
"Quel est le traitement des autres enfants de la famille d'un enfant atteint de lèpre ?","Prise unique de streptomycine.","Document.","Medium")
"Quelle est la conséquence d'une lèpre non traitée sur les nerfs périphériques ?","Hypertrophie, douleur, puis anesthésie, paralysie, amyotrophie, mal perforant, main en griffe, steppage.","Document.","Medium")
"Comment se manifeste l'atteinte oculaire dans la lèpre ?","Conjonctivite (œil rouge), kératite, etc.","Document.","Medium")
"Pourquoi la lèpre est-elle plus grave chez la femme enceinte ?","La grossesse peut aggraver la lèpre et déclencher une réaction lépreuse.","Document.","Medium")
"Quel est le syndrome observé chez les VIH+ sous ARV développant une lèpre ?","Syndrome de restauration immunitaire.","Document.","Medium")
"Quelle est la valeur pronostique de l'index bactériologique ?","Plus l'IB est élevé, plus la charge bactérienne est importante, indiquant une forme multi bacillaire.","Document.","Difficult")
"Expliquez le mécanisme de la main en griffe dans la lèpre.","Atteinte du nerf cubital et/ou médian entraînant une paralysie des muscles intrinsèques de la main, avec hyperextension des métacarpophalangiennes et flexion des interphalangiennes.","Document.","Difficult")
"Pourquoi la voie respiratoire est-elle prépondérante dans la transmission de la lèpre ?","Car le bacille est excrété par les sécrétions nasales et les crachats, formant des aérosols.","Document.","Difficult")
"Quels sont les signes de gravité de la réaction de type 1 ?","Risque de déficit sensitivo-moteur total et définitif, touchant le visage et le tronc.","Document.","Difficult")
"Quelles sont les manifestations viscérales possibles de la réaction de type 2 ?","Glomérulonéphrite, amylose secondaire, insuffisance rénale.","Document.","Difficult")
"Pourquoi la PCR est-elle positive dans seulement 20% des formes tuberculoïdes ?","Car la charge bactérienne est très faible dans cette forme.","Document.","Difficult")
"Quelle est l'utilité de l'étude de résistance par PCR ?","Détecter des souches résistantes aux antilépreux.","Document.","Difficult")
"Quel est le rôle de l'acide acétylsalicylique dans la réaction lépreuse ?","Anti-inflammatoire (non spécifique).","Document.","Difficult")
"Quelle est la différence entre l'eczématide achromiante et la lésion hypochromique de la lèpre ?","L'eczématide est prurigineuse et sensible, alors que la lésion lépromateuse est anesthésique.","Document. (implicite)","Difficult")
"Pourquoi le vitiligo est-il un diagnostic différentiel ?","Car il donne des lésions hypochromiques, mais sensibles.","Document.","Medium")
"Quelle est la différence entre une cicatrice hypochromique et une lésion de lèpre ?","La cicatrice a des bords nets, une histoire traumatique, et est sensible.","Document.","Medium")
"Quelle est la localisation préférentielle de la maladie de Kaposi différentielle ?","Péri-vasculaire, lésions violacées.","Document.","Medium")
"Quel est l'aspect de l'hématodermie ?","Nodules vasculaires violacés de grande taille, associés à une hémopathie maligne.","Document.","Medium")
"Quel est l'index bactériologique maximal ?","6+.","Document.","Easy")
"Quel est le nom du test de sensibilité des antilépreux ?","Antifongigramme? Non, c'est antilépreux. Le document ne donne pas de nom, mais on peut dire étude de résistance par PCR.","Document.","Difficult")
"Quel est le rôle de la rifampicine dans le traitement de la lèpre ?","Bactéricide puissant sur Mycobacterium leprae.","Document.","Medium")
