"term","definition","contextual_explanation"
"Lèpre","Infection bactérienne chronique due à Mycobacterium leprae (BAAR), touchant la peau, les muqueuses et les nerfs.","Pathologie à différentes formes cliniques selon l’état immunitaire. Transmissible. Complications : réactions lépreuses et handicaps par mutilation."
"Mycobacterium leprae","Bacille de Hansen, mycobactérie acido-alcoolo-résistante (BAAR), intracellulaire, non mobile, de 1 à 8 µm, à croissance lente.","Agent pathogène de la lèpre. Réservoir humain. Élimination par muqueuse nasale et peau. Transmission directe par voie respiratoire."
"BAAR","Bacille acido-alcoolo-résistant.","Caractéristique de Mycobacterium leprae et autres mycobactéries."
"Lèpre pauci bacillaire","Forme de lèpre selon l’OMS : <5 lésions cutanées, 1 seul nerf atteint, bacilloscopie négative.","Classification simplifiée pour le traitement. Traitement : trithérapie 6 mois."
"Lèpre multi bacillaire","Forme de lèpre selon l’OMS : ≥5 lésions cutanées, >1 nerf atteint, bacilloscopie positive.","Traitement : trithérapie 12 mois."
"Classification de Ridley Joplin","Classification immunologique de la lèpre : lépromateuse (grave), borderline (intermédiaire), tuberculoïde (moins grave).","Sous-formes borderline : tuberculoïde borderline, borderline borderline, borderline lépromateuse."
"Forme lépromateuse (LL)","Forme grave de lèpre avec atteinte cutanée extensive (macules, lépromes, lésions annulaires, nodules confluents, faciès léonin) et atteinte neurologique sévère.","Associée à une faible immunité cellulaire."
"Léprome","Nodule ou papulo-nodule de 0,5 cm, caractéristique de la lèpre lépromateuse.","Peut confluer avec d’autres nodules (jusqu’à 20 lésions) symétriques bilatérales."
"Faciès léonin","Aspect du visage dans la lèpre lépromateuse avancée, avec infiltration des bouts du nez et des oreilles.","Secondaire à la confluence de nodules."
"Forme tuberculoïde (TT)","Forme moins grave de lèpre : <5 lésions, grandes, asymétriques (dos, fesses), hypoesthésiques. Peut guérir spontanément.","Correspond à une bonne immunité cellulaire."
"Forme borderline (BB)","Forme intermédiaire de lèpre.","Lésions annulaires de 5-10 cm, associées à une névrite hyperalgique."
"Lèpre nerveuse pure","Forme sans lésion cutanée, avec hypotrophie thénarienne et hypertrophie nerveuse.","Confirmation par PCR."
"Réaction lépreuse","Complication immunologique après mort des bactéries (super antigène), survenant spontanément pendant ou après traitement.","Deux types : réaction de type 1 (réversion) et type 2 (érythème noueux lépreux)."
"Réaction de type 1 (réversion)","Poussée inflammatoire brutale des lésions : érythème, œdème desquamatif, névrite hypertrophique douloureuse multi-nerfs (risque sensitivo-moteur total). Arthrite, tendinite, ténosynovite.","Survient dans les formes BL, BB, BT."
"Réaction de type 2 (érythème noueux lépreux)","Déclenchée par infection intercurrente ou traitement. Altération générale, nodules hypodermiques rouges chauds douloureux (1-3 cm), névrite symétrique bilatérale, paresthésies. Polyadénopathie, arthralgies, kératite, orchite, glomérulonéphrite, amylose secondaire (protéinurie → IR). Hospitalisation obligatoire.","Principalement dans la forme LL."
"Mal perforant","Ulcération chronique plantaire indolore due à l’anesthésie, ne cicatrisant pas.","Complication neurologique de la lèpre avancée."
"Main en griffe / main de singe","Déformation de la main par atteinte des muscles palmaires et thénariens (paralysie, amyotrophie).","Séquelle neurologique de la lèpre."
"Steppage","Démarche particulière due à une paralysie des releveurs du pied.","Complication neurologique de la lèpre."
"Index bactériologique (IB)","Comptage des bactéries sur coloration de Ziehl-Neelsen (de 1+ à 6+).","Permet la classification OMS et le suivi."
"Index morphologique (IM)","Évaluation de la vitalité des bactéries.","Permet de suivre l’efficacité du traitement."
"Cellule de Virchow","Cellule pathognomonique de la lèpre à l’anatomopathologie.","Son absence n’exclut pas la lèpre. Observée dans les biopsies cutanées."
"Eczématide achromiante","Lésion hypochromique du visage de l’enfant, bien limitée, non prurigineuse, sensible, chez le sujet atopique.","Diagnostic différentiel des lésions hypochromiques de la lèpre."
"Vitiligo","Dépigmentation cutanée acquise, lésions sensibles.","Diagnostic différentiel des lésions hypochromiques."
"Sarcoïdose","Maladie granulomateuse multisystémique.","Diagnostic différentiel des lésions papulo-nodulaires de la lèpre."
"Hématodermie","Infiltration cutanée par des cellules hématopoïétiques malignes (leucémies, lymphomes).","Diagnostic différentiel : nodules violacés de grande taille."
"Rifampicine (RMP)","Antibiotique de la famille des rifamycines, 10 mg/kg/j.","Un des trois médicaments de la polychimiothérapie de la lèpre."
"Sulfones (DDS)","Dapsone, 1,5 mg/kg/j.","Médicament anti-lépreux, utilisé en trithérapie."
"Clofazimine","Agent antimycobactérien, 1 mg/kg/j.","Troisième composant de la trithérapie."
"Prednisolone","Corticoïde oral, 1 mg/kg/j.","Traitement des réactions lépreuses (associé à la poursuite des anti-lépreux)."
"Syndrome de restauration immunitaire","Réaction inflammatoire paradoxale après introduction des antirétroviraux chez le VIH+.","Peut révéler ou aggraver une lèpre chez les patients coinfectés."
"Amylose secondaire","Dépôt de substance amyloïde dans les organes (rein, etc.).","Complication de la réaction lépreuse de type 2 chronique, pouvant évoluer vers l’insuffisance rénale."
"YMP (yeux, mains, pieds)","Degré d’invalidité dans la lèpre, évaluant les séquelles aux yeux, mains et pieds.","Utilisé pour le suivi des handicaps."
