"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la fréquence des ulcères duodénaux ?","2%","3-5%","7%","10%","3","Le document : '7% pour les ulcères duodénaux'","Easy"
"Quel facteur de risque est le plus souvent associé à la prise d’AINS ?","Infection par Helicobacter pylori","Syndrome de Zollinger Ellison","Hyperparathyroïdie","Prise d’AINS (anamnèse +++)","4","Le document : 'Prise d’AINS (anamnèse +++)'","Easy"
"Quel pourcentage des ulcères gastro-duodénaux se compliquent de perforation ?","5%","10%","15%","20%","2","Le document : 'Elle complique 10% des UGD'","Easy"
"Quelle est la localisation la plus fréquente de la perforation ulcéreuse ?","Ulcère gastrique","Ulcère duodénal (D1: bulbe)","Ulcère jéjunal","Ulcère œsophagien","2","Le document : 'Plus fréquente dans l’ulcère duodénal (D1: bulbe)'","Easy"
"Quel est le type de péritonite initiale lors d’une perforation ulcéreuse ?","Péritonite bactérienne","Péritonite chimique","Péritonite fibrineuse","Péritonite purulente","2","Le document : 'Péritonite “chimique” : car le suc gastrique acide est déversé dans la cavité péritonéale'","Easy"
"Quel est le signe fonctionnel caractéristique de la perforation ulcéreuse ?","Douleur progressive","Douleur en coup de poignard dans l’épigastre","Brûlures épigastriques","Douleur hypochondre droit","2","Le document : 'Douleur de début brutal en “coup de poignard” dans l’épigastre'","Easy"
"Quel signe physique est typique de la péritonite par perforation ?","Défense","Contracture de l’épigastre généralisée","Masse épigastrique","Ictère","2","Le document : 'CONTRACTURE de l’épigastre rapidement généralisé à tout l’abdomen'","Easy"
"Quel examen d’imagerie montre un pneumopéritoine dans 80% des cas ?","Échographie","ASP debout","TDM","IRM","2","Le document : 'ASP en urgence : de préférence Debout. PNEUMOPERITOINE (80%)'","Easy"
"Quel est le traitement chirurgical de la perforation d’un ulcère duodénal ?","Excision et suture","Suture avec épiplooplastie","Gastrectomie","Vagotomie seule","2","Le document : 'Suture avec épiplooplastie pour UD'","Easy"
"Quel est le traitement médical non chirurgical de la perforation ulcéreuse appelé ?","Méthode de Péan","Méthode de Taylor","Méthode de Finsterer","Méthode de Billroth","2","Le document : 'CAS PARTICULIER : traitement médical seul : METHODE DE TAYLOR'","Easy"
"Quelle est la fréquence de la sténose comme complication des UGD ?","1-2%","5%","10%","15%","1","Le document : 'Elle complique 1 à 2 % des UGD'","Easy"
