"term","definition","contextual_explanation"
"ulcère gastro-duodénal (UGD)","Ulcère de l’estomac ou du duodénum.","Pathologie fréquente (3-5% de fréquence, 2% gastrique, 7% duodénal). Les complications chirurgicales sont perforation, sténose, hémorragie, cancer gastrique."
"Helicobacter pylori","Bactérie gastrique.","Facteur de risque des UGD, cible du traitement d’éradication."
"AINS","Anti-inflammatoires non stéroïdiens.","Facteur de risque (anamnèse +++)."
"syndrome de Zollinger Ellison","Gastrinome (tumeur endocrine sécrétant de la gastrine).","Facteur de risque d’UGD."
"hyperparathyroïdie","Hyperfonctionnement des parathyroïdes.","L’hypercalcémie augmente la sécrétion acide de l’estomac, facteur de risque."
"pancréatite chronique","Inflammation chronique du pancréas.","Facteur de risque."
"cirrhose","Maladie chronique du foie.","Facteur de risque."
"perforation ulcéreuse","Ouverture de l’ulcère à travers la paroi digestive.","Complication de 10% des UGD, plus fréquente dans l’ulcère duodénal (D1)."
"péritonite chimique","Inflammation péritonéale due à l’irrigation par le suc gastrique acide.","Mécanisme de la péritonite par perforation (péritonite en péritoine libre)."
"douleur en coup de poignard","Douleur brutale et intense.","Signe fonctionnel de la perforation, siège épigastrique irradiant à tout l’abdomen."
"contracture abdominale","Raideur involontaire de la paroi abdominale.","Signe physique de péritonite : généralisée, abdomen immobile."
"matité pré-hépatique","Sonorité mate normale à la percussion au‑dessus du foie.","Disparaît en cas de pneumopéritoine (air sous le diaphragme)."
"cri du Douglas","Douleur vive au niveau du cul‑de‑sac de Douglas au toucher rectal ou vaginal.","Signe de péritonite pelvienne."
"pneumopéritoine","Présence d’air dans la cavité péritonéale.","Visible sur l’ASP debout dans 80% des perforations."
"ulcère perforé bouché","Perforation obturée par l’épiploon ou un organe voisin.","Évolution possible vers une perforation en 2 temps ou un abcès sous-phrénique."
"épiplooplastie","Couverture de la suture d’un ulcère perforé par un fragment d’épiploon.","Geste chirurgical pour ulcère duodénal perforé."
"méthode de Taylor","Traitement médical conservateur de la perforation ulcéreuse.","Indications précises : patient vu tôt, certitude diagnostique, absence de choc, symptômes récents."
"Lovenox","Énoxaparine, anticoagulant.","Utilisé en prophylaxie thrombo-embolique dans la méthode de Taylor."
"abcès sous-phrénique","Collection purulente sous le diaphragme.","Complication possible de la perforation bouchée ou de la méthode de Taylor."
"sténose gastrique","Rétrécissement de l’estomac.","Complication rare (1-2% des UGD), plus fréquente en cas d’ulcère duodénal."
"sténose pylorique","Rétrécissement du pylore.","Forme de sténose."
"sténose bulbaire","Rétrécissement du bulbe duodénal.","Forme de sténose."
"clapotis à jeun","Bruit de liquide dans l’estomac à jeun.","Signe de sténose gastrique (distension)."
"TOGD","Transit œso-gastroduodénal.","Examen radiologique : montre la sténose, hyperkinésie antrale, stase de baryte."
"vomissements post-prandiaux tardifs","Vomissements survenant après le repas, sans bile.","Signe de sténose pylorique."
"alcalose métabolique","Augmentation du pH sanguin.","Secondaire aux vomissements répétés (perte d’acide chlorhydrique)."
"vagotomie tronculaire","Section des deux troncs du nerf vague.","Traitement chirurgical de la maladie ulcéreuse, réduit la sécrétion acide."
"antrectomie","Ablation de l’antre gastrique.","Associée à la vagotomie pour traiter l’ulcère."
"pyloroplastie","Élargissement du pylore par incision.","Alternative à l’antrectomie pour les ulcères duodénaux."
"Billroth I (Péan)","Anastomose gastro-duodénale après gastrectomie.","Type de rétablissement de continuité."
"Billroth II (Finsterer)","Anastomose gastro-jéjunale après gastrectomie.","Autre type."
"dilatation au ballonnet","Dilatation endoscopique d’une sténose.","Traitement endoscopique, indiqué chez les personnes âgées ou non opérables."
"prothèse (stent)","Tube métallique expansif.","Pose endoscopique pour sténose."
"hémorragie digestive haute (HDH)","Saignement d’origine œsophagienne, gastrique ou duodénale.","50% des HDH sont d’origine ulcéreuse."
"hématémèse","Vomissement de sang rouge ou en marc de café.","Signe d’hémorragie haute."
"méléna","Émission de selles noires, nauséabondes.","Signe d’hémorragie digestive haute."
"choc hypovolémique","Collapsus par diminution du volume sanguin.","Pâleur, tachycardie, hypotension, polypnée."
"fibroscopie oeso-gastro-duodénale","Endoscopie haute.","Réalisée dès stabilisation hémodynamique : confirme le diagnostic, localise, permet hémostase."
"adrénaline","Vasoconstricteur.","Injecté localement par endoscopie pour hémostase."
"clip hémostatique","Petite pince métallique.","Posée par endoscopie sur le vaisseau saignant."
"duodénotomie","Incision du duodénum.","Voie d’abord pour suturer un ulcère duodénal hémorragique."
"gastrectomie des 2/3","Ablation des deux tiers de l’estomac.","Traitement chirurgical de l’ulcère gastrique hémorragique."
