"term","definition","contextual_explanation"
"Diarrhée aiguë","Selon l''OMS : émission d''au moins 3 selles molles ou liquides par jour, ou >300g/j, de durée <14 jours.","Très fréquente, sa gravité tient à la déshydratation et à la perte d''électrolytes."
"Mécanisme sécrétoire","Mécanisme physiopathologique où des toxines bactériennes provoquent une fuite d''eau et d''électrolytes dans la lumière intestinale, donnant une diarrhée liquidienne.","Un des deux mécanismes de la diarrhée aiguë."
"Mécanisme invasif","Mécanisme où un agent infectieux provoque une inflammation et des lésions de la muqueuse intestinale, entraînant une diarrhée invasive.","Second mécanisme de la diarrhée aiguë."
"Déshydratation extracellulaire","Forme de déshydratation caractérisée par un signe du pli cutané persistant.","Un des signes de gravité de la diarrhée aiguë."
"Déshydratation intracellulaire","Forme de déshydratation avec soif, fièvre et sécheresse des muqueuses.","Signe de gravité de la diarrhée aiguë."
"Choc hypovolémique","État de choc consécutif à une perte massive d''eau et d''électrolytes.","Complication grave de la diarrhée aiguë."
"Choc septique","État de choc lié à une infection sévère.","Complication possible au cours d''une diarrhée aiguë invasive."
"Coproculture","Examen bactériologique des selles fraîchement émises, recherchant les germes pathogènes.","Partie du bilan étiologique de la diarrhée aiguë."
"KAOP","Examen parasitologique des selles (Kato, Auramine, Oeufs, Parasites).","Recherche de parasites dans les selles."
"Vidal-Felix","Sérologie recherchant des anticorps anti-Salmonella typhi et paratyphi.","Examen sérologique mentionné dans le bilan étiologique."
"Yersiniose","Infection due à Yersinia enterocolitica, pouvant donner une diarrhée.","Sérologie à demander dans le bilan étiologique."
"Rectoscopie","Examen endoscopique du rectum, indiqué chez les patients VIH+ pour recherche de lésions.","Examen complémentaire non systématique."
"Escherichia coli entérotoxinogène","Bactérie responsable de la « turista » (diarrhée du voyageur). Incubation 24-48h, apyrétique.","Cause bactérienne fréquente de diarrhée aiguë."
"Turista","Diarrhée du voyageur survenant chez des personnes de pays développés se rendant en zone tropicale, due à E. coli entérotoxinogène.","Nom usuel de cette diarrhée."
"Choléra","Infection due à Vibrio cholerae, donnant une diarrhée abondante en « eau de riz ». Incubation 2-7 jours, décès par déshydratation massive.","Cause bactérienne grave de diarrhée aiguë."
"Eau de riz","Aspect caractéristique des selles du choléra : liquide blanchâtre contenant des flocons, rappelant l''eau de riz.","Signe clinique évocateur."
"Staphylocoque","Staphylococcus aureus responsable d''une toxi-infection alimentaire à incubation très courte (1 heure), apyrétique.","Contamination par aliments préparés par une personne porteuse d''un furoncle."
"Salmonelles mineures","Salmonella non typhiques, incubation 8-48 heures, diarrhée dysentériforme.","Contamination par viandes préparées ou laitages."
"Clostridium perfringens","Bactérie responsable de toxi-infection alimentaire collective, incubation 8-12h, fièvre possible.","Contamination par viandes en sauces chauffées cuites la veille."
"Rotavirus","Virus très fréquent responsable de diarrhée aiguë, associée à un syndrome pseudo-grippal.","Cause virale de diarrhée aiguë, aspect épidémique."
"Entérovirus","Groupe de virus (dont échovirus, coxsackie) pouvant donner une diarrhée.","Cause virale de diarrhée aiguë."
"Adénovirus","Virus pouvant être responsable de diarrhée aiguë.","Cause virale de diarrhée aiguë."
"Cryptococcose","Infection fongique due à Cryptococcus neoformans, pouvant donner une diarrhée chez l''immunodéprimé.","Cause parasitaire (fongique) de diarrhée aiguë chez les personnes immunodéprimées."
"Iatrogène","Diarrhée induite par un médicament.","Causes : colchicine, laxatifs, biguanides (metformine)."
"Biguanides","Classe d''antidiabétiques oraux (dont metformine) pouvant causer une diarrhée.","Cause iatrogène de diarrhée aiguë."
"Syndrome hépato-rénal","Complication grave d''une cirrhose, survenant lors de déshydratation non corrigée, pouvant entraîner la mort.","Risque particulier chez le patient cirrhotique ayant une diarrhée aiguë."
