"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon l'OMS, quelle est la définition de la diarrhée aiguë ?","Émission d'au moins 2 selles molles par jour pendant plus de 14 jours","Émission d'au moins 3 selles molles ou liquides par jour ou >300g/j, durée <14 jours","Émission de selles liquides plus de 5 fois par jour","Toute selle liquide quelle que soit la fréquence","2","Le document cite la définition OMS : 'émission d’au moins 3 selles molles ou liquides par jour ; ou > 300g/j, de durée < 14 jours'.","Easy"
"Quels sont les deux mécanismes physiopathologiques de la diarrhée aiguë selon le document ?","Sécrétoire et osmotique","Sécrétoire et invasif","Invasif et osmotique","Motrice et sécrétoire","2","Document : '2 mécanismes : Sécrétoire... Invasif'.","Easy"
"Quelle est la principale complication grave de la diarrhée aiguë ?","Dénutrition","Déshydratation et perte d'électrolytes","Anémie","Insuffisance hépatique","2","Document : 'Gravité : déshydratation et perte d’électrolytes'.","Easy"
"Quel est l'agent bactérien responsable de la 'turista' (diarrhée du voyageur) ?","Salmonella typhi","Escherichia coli entérotoxinogène","Staphylococcus aureus","Clostridium perfringens","2","Document : 'Escherichia coli entérotoxinogène (turista = diarrhée du voyageur)'.","Easy"
"Quelle est la période d'incubation du choléra ?","1 à 2 heures","2 à 7 jours","8 à 48 heures","24 à 48 heures","2","Document : 'Incubation 2-7 j' pour le choléra.","Easy"
"Quel est l'aspect caractéristique des selles du choléra ?","Selles glairo-sanglantes","Selles en eau de riz","Selles en mousse","Selles graisseuses","2","Document : 'Diarrhée abondante en "eau de riz"'.","Easy"
"Quel est le principal agent viral responsable de diarrhée aiguë cité dans le document ?","SARS-CoV-2","Rotavirus","Adénovirus","Entérovirus","2","Document : 'Rotavirus +++' (le plus fréquent).","Easy"
"Quelle est la durée maximale de la diarrhée aiguë selon l'OMS ?","7 jours","14 jours","21 jours","28 jours","2","Document : 'durée < 14 jours'.","Easy"
"Quel examen est demandé pour identifier le germe en cause en cas de suspicion épidémique ?","NFS","Coproculture","Ionogramme sanguin","Rectoscopie","2","Document : 'Notion d’épidémie : afin d’identifier le germe en cause' (par coproculture).","Easy"
"Quel est le signe de déshydratation extracellulaire ?","Soif","Fièvre","Signe du pli","Sècheresse des muqueuses","3","Document : 'Déshydratation extracellulaire : signe du pli'.","Easy"
"Quel est le signe de déshydratation intracellulaire ?","Signe du pli","Hypotension","Soif, fièvre, sècheresse des muqueuses","Oligurie","3","Document : 'Déshydratation intracellulaire : soif, fièvre, sècheresse des muqueuses'.","Easy"
"Quelle est l'incubation du Staphylocoque dans les toxi-infections alimentaires ?","1 heure","8-12 heures","24-48 heures","2-7 jours","1","Document : 'Incubation très courte : symptômes en 1 h'.","Easy"
"Expliquez la différence entre le mécanisme sécrétoire et le mécanisme invasif de la diarrhée.","Sécrétoire : toxines bactériennes → fuite d'eau et électrolytes (diarrhée liquidienne). Invasif : agent infectieux → inflammation et lésion muqueuse.","Document.","Medium"
"Quelles sont les trois circonstances justifiant des examens paracliniques dans une diarrhée aiguë ?","Signes de gravité (déshydratation, choc), mauvaise tolérance, diarrhée >72h sous traitement, notion d'épidémie.","Document.","Medium"
"Quels sont les trois examens du bilan de retentissement d'une diarrhée aiguë ?","Ionogramme sanguin, bilan rénal (créatininémie, urée), bilan inflammatoire (NFS, CRP).","Document.","Medium"
"Quels sont les trois germes bactériens responsables de diarrhée aiguë cités avec leur incubation ?","E. coli (24-48h), Choléra (2-7j), Staphylocoque (1h), Salmonella (8-48h), Clostridium (8-12h).","Document.","Medium"
"Quelle est la particularité de la diarrhée à Staphylocoque concernant la fièvre ?","Le plus souvent apyrétique (sans fièvre).","Document.","Medium"
"Quels sont les deux types d'état de choc pouvant compliquer une diarrhée aiguë ?","Hypovolémique et septique.","Document.","Medium"
"Quels sont les trois terrains à risque de gravité lors d'une diarrhée aiguë ?","Personnes âgées, tares (cirrhotiques), diarrhée >1 semaine.","Document.","Medium"
"Quels sont les trois examens du bilan étiologique d'une diarrhée aiguë ?","Coproculture, examen parasitologique des selles (KAOP), sérologies (Vidal-Felix, yersiniose), rectoscopie (PVVIH).","Document.","Medium"
"Quel est le mécanisme de la diarrhée aiguë sécrétoire ?","Toxines bactériennes provoquent une fuite d'eau et d'électrolytes dans la lumière intestinale sans lésion muqueuse.","Document.","Medium"
"Quel est le mécanisme de la diarrhée aiguë invasive ?","Agent infectieux provoque une inflammation et des lésions de la muqueuse intestinale.","Document.","Medium"
"Quelle est la principale cause de diarrhée aiguë chez l'adulte selon le document ?","Infectieuse, surtout bactérienne.","Conclusion.","Medium"
"Quels sont les deux types de déshydratation décrits ?","Extracellulaire (signe du pli) et intracellulaire (soif, fièvre, sécheresse muqueuses).","Document.","Medium"
"Quels sont les deux types d'anomalies électrolytiques citées dans le bilan de retentissement ?","Hypokaliémie, hyponatrémie, hypernatrémie.","Document.","Medium"
"Quel est l'agent parasitaire cité chez les immunodéprimés ?","Cryptococcose.","Document.","Medium"
"Quels sont trois médicaments iatrogènes responsables de diarrhée ?","Colchicine, laxatifs, biguanides (metformine).","Document.","Medium"
"Un patient revient d'un voyage en zone tropicale et présente une diarrhée aqueuse abondante sans fièvre, 36 heures après son retour. Quel germe suspectez-vous ?","Escherichia coli entérotoxinogène (turista).","Document : incubation 24-48h, apyrétique, eau souillée.","Difficult"
"Un patient présente une diarrhée profuse en 'eau de riz' avec signes de déshydratation sévère. Quel est le diagnostic probable et quel est le risque majeur ?","Choléra, risque de décès par déshydratation massive avec état de choc.","Document.","Difficult"
