"term","definition","contextual_explanation"
"Achalasie","Trouble moteur primaire de l''œsophage caractérisé par absence de péristaltisme, absence de relaxation du sphincter inférieur de l''œsophage (SIO) et hypertonie du SIO.","Dans le document, l''achalasie est définie comme un trouble moteur primaire de l''œsophage avec ces trois critères."
"SIO (sphincter inférieur de l''œsophage)","Anneau musculaire à la jonction œso‑gastrique qui se relâche normalement lors de la déglutition.","Dans l''achalasie, on note une hypertonie de repos du SIO et une absence de relaxation en réponse à la déglutition."
"Plexus myentérique (d''Auerbach)","Plexus nerveux situé entre les couches musculaires de la paroi digestive, contenant des cellules ganglionnaires inhibitrices et excitatrices.","Le document indique une dégénérescence inflammatoire des cellules ganglionnaires inhibitrices de ce plexus, responsable de la physiopathologie de l''achalasie."
"Péristaltisme œsophagien","Ondes de contraction propulsant le bol alimentaire le long de l''œsophage.","Dans l''achalasie, on observe une perte du péristaltisme des cellules musculaires lisses du corps de l''œsophage."
"Dysphagie paradoxale","Difficulté à avaler touchant préférentiellement les liquides par rapport aux solides, signe fonctionnel évocateur d''un trouble moteur.","Le document précise que la dysphagie de l''achalasie est souvent paradoxale (fonctionnelle) : liquide > solide dans 93‑99% des cas."
"Mégaoesophage","Dilatation importante de l''œsophage, visible après plusieurs années d''évolution de l''achalasie.","L''endoscopie digestive haute montre un œsophage dilaté avec présence de résidus alimentaires, appelé mégaoesophage."
"TOGD (transit œsogastrique)","Examen radiologique consistant à faire ingérer un produit de contraste baryté pour visualiser la morphologie et la motricité de l''œsophage et de l''estomac.","Le TOGD montre dans l''achalasie un aspect en bec d''oiseau au niveau de la jonction œso‑gastrique et une dilatation de l''œsophage en amont."
"Bec d''oiseau","Signe radiologique en forme de bec à la jonction œso‑gastrique, pathognomonique de l''achalasie.","Le transit baryté œsogastrique révèle un aspect en bec d''oiseau au niveau de la jonction œso‑gastrique."
"Manométrie œsophagienne de haute résolution","Examen de référence mesurant les pressions œsophagiennes à l''aide de capteurs multiples, permettant d''analyser la motricité.","Elle est l''examen de référence pour l''achalasie, montrant pression de repos du SIO élevée (>45 mmHg), pression de relaxation intégrée (>15 mmHg) et apéristaltisme."
"PLI (pression de relaxation intégrée)","Mesure manométrique de la pression au niveau du SIO pendant 4 secondes suivant la déglutition.","Dans l''achalasie, la PLI est > 15 mmHg, signant une relaxation anormale du SIO."
"Classification de Chicago","Système de classification des troubles moteurs œsophagiens basé sur la manométrie de haute résolution.","Pour l''achalasie, la classification de Chicago distingue type 1 (100% contractions absentes), type 2 (>20% déglutitions avec pressurisation panœsophagienne) et type 3 (≥20% fragments de contractions prématurées ou spasmes)."
"Pseudo‑achalasie","Achalasie secondaire à un processus néoplasique de la jonction œso‑gastrique, pouvant mimer l''achalasie idiopathique.","Le document mentionne la pseudo‑achalasie comme diagnostic différentiel, à rechercher par fibroscopie avec bonne rétrovision."
"Ressaut","Sensation de franchissement brutal et élastique d''un obstacle lors du passage de l''endoscope au niveau du cardia.","L''endoscopie digestive haute montre un franchissement difficile et avec ressaut du cardia dans l''achalasie."
"Hyperpression intra‑œsophagienne","Élévation anormale de la pression à l''intérieur de l''œsophage, mesurée en manométrie.","Un des signes manométriques de l''achalasie : hyperpression intra‑œsophagienne."
