"question","answer","explanation","difficulty"
"Définissez la fièvre prolongée selon les deux acceptions données dans le document.","Le document donne deux définitions : 1) Température élevée durant 15 jours à 3 semaines sans cause évidente. 2) Fièvre supérieure à 38°C pendant plus de 5 jours consécutifs chez le nourrisson, ou 10 à 15 jours chez l’enfant plus âgé.","Réponse directe issue de la section Définition.","Easy"
"Citez trois signes de gravité associés à la fièvre prolongée (signes cliniques).","Trois signes parmi : troubles hémodynamiques, troubles de la conscience, frissons, syndrome hémorragique (CIVD), amaigrissement.","Liste dans ''Signes associés''.","Easy"
"Nommez quatre examens de première intention dans le bilan d’une fièvre prolongée.","Exemples : NFS et plaquettes, CRP et VS, transaminases hépatiques (ASAT, ALAT), ECBU, cliché thoracique, IDR à la tuberculine et BK, TDR palu, GE FM.","Liste exhaustive dans ''Examens paracliniques – Première intention''.","Easy"
"Quelles sont les trois grandes catégories d’étiologies infectieuses des fièvres prolongées selon le document ?","Bactéries, virus, parasites.","Le document structure les étiologies infectieuses en BACTÉRIES, VIRUS, PARASITES.","Easy"
"Donnez deux exemples de maladies inflammatoires chroniques non infectieuses responsables de fièvre prolongée.","Arthrite juvénile, Lupus, périartérite noueuse, maladie de Crohn, colite ulcéro-hémorragique (deux au choix).","Liste dans ''Maladies inflammatoires chroniques''.","Easy"
"Quel est le risque spécifique de la maladie de Kawasaki et pourquoi un suivi cardiaque à vie est-il nécessaire ?","Le risque est l’atteinte coronarienne pouvant entraîner un infarctus du myocarde (IDM) même à l’âge adulte. Un suivi cardiaque à vie est nécessaire car le risque persiste toujours.","Le document : ''Risque à tout moment, même à l'âge adulte : atteinte coronarienne. Suivi cardiaque tout au long de sa vie car risque toujours présent de faire un IDM''.","Easy"
"Expliquez la différence entre fièvres à répétition et fièvres récurrentes telle que décrite dans le document.","Les fièvres à répétition sont dues à des infections virales avec un intervalle de plusieurs jours entre les épisodes. Les fièvres récurrentes ont une durée habituelle supérieure à 3 jours et sont séparées par des périodes asymptomatiques d’apyrexie.","Comparaison issue des définitions dans ''Différentiels''.","Medium"
"Pourquoi un enfant drépanocytaire est-il considéré comme immunodéprimé et à risque de fièvre prolongée ?","Les drépanocytaires subissent des ischémies spléniques répétées qui rendent la rate non fonctionnelle. La rate jouant un rôle dans l’immunité, son absence de fonction entraîne un état d’immunodépression favorisant les infections prolongées.","Le document : ''drépa : ischémie splénique à répétition : rate non fonctionnelle : immunodéprimé''.","Medium"
"Quels sont les critères diagnostiques de la maladie de Kawasaki (nombre et liste) selon l’American Heart Association ?","Fièvre >5 jours + au moins quatre des cinq critères suivants : 1) Hyperhémie conjonctivale sans écoulement purulent, 2) Atteinte muqueuse (rougeur oropharynx, langue framboisée, chéilite), 3) Œdèmes érythémateux des extrémités, 4) Éruption polymorphe, 5) Adénopathies cervicales non purulentes >1,5 cm.","Liste complète issue du paragraphe sur la maladie de KAWASAKI.","Medium"
"Lors de l’interrogatoire d’un patient avec fièvre prolongée, quels éléments liés aux voyages et à l’environnement doivent être recherchés ?","Voyage à l’étranger (palustre, zone méditerranéenne), contact avec un animal (griffes du chat, chien pour leishmaniose, leptospirose), contact avec rongeurs (tularémie), promenades en forêt (tiques, maladie de Lyme), ingestion de fromages frais (brucellose).","Liste issue de ''Antécédents'' dans l’interrogatoire.","Medium"
