"term","definition","contextual_explanation"
"fièvre prolongée","Fièvre d’origine indéterminée : T° élevée 15 jours à 3 semaines sans cause évidente, ou fièvre >38°C >5 jours chez nourrisson / 10-15 jours chez enfant plus âgé.","Dans le document, le diagnostic est compliqué et nécessite des examens paracliniques poussés."
"thermopathomimie","Fièvre simulée, sans anomalie clinique ni syndrome inflammatoire, chez un enfant en bon état général.","Diagnostic différentiel de la fièvre prolongée."
"fièvres récurrentes","Fièvres d’une durée habituelle >3 jours, séparées par des périodes asymptomatiques d’apyrexie.","Distinguées des fièvres à répétition (infections virales avec intervalle de plusieurs jours)."
"drépanocytose","Maladie génétique de l’hémoglobine entraînant une ischémie splénique à répétition.","Dans le document, elle est citée comme cause de déficit immunitaire (rate non fonctionnelle => immunodéprimé)."
"CIVD","Coagulation intravasculaire disséminée – syndrome hémorragique.","Signe de gravité associé à la fièvre prolongée."
"IDR à la tuberculine","Intradermoréaction à la tuberculine – test de dépistage de la tuberculose.","Examen de première intention avec BK (tubages)."
"BK","Bacille de Koch – recherche de tuberculose par tubages gastriques.","Associé à l’IDR."
"TDR palu","Test de diagnostic rapide du paludisme.","Première intention avec goutte épaisse et frottis mince (GE FM)."
"GE FM","Goutte épaisse et frottis mince – recherche du paludisme.","Examen de première intention."
"Bartonella henselae","Bactérie responsable de la maladie des griffes du chat.","Sérologie orientée en deuxième intention."
"EBV","Virus d’Epstein-Barr – responsable de la mononucléose infectieuse.","Sérologie recherchée en deuxième intention."
"CMV","Cytomégalovirus – infection virale.","Sérologie en deuxième intention."
"sérologie de Widal","Recherche d’anticorps anti-Salmonella typhi (fièvre typhoïde).","Deuxième intention."
"sérologie de Wright","Recherche de brucellose.","Deuxième intention."
"myélogramme","Examen cytologique de la moelle osseuse.","Indiqué si anomalies de l’hémogramme."
"scintigraphie au Tc 99 M","Scintigraphie au technétium-99m – imagerie fonctionnelle.","Permet la localisation d’un foyer infectieux."
"catécholamines urinaires","Métabolites urinaires des catécholamines (adrénaline, noradrénaline).","Marqueur du neuroblastome (tumeur des ganglions nerveux)."
"neuroblastome","Tumeur maligne des ganglions nerveux, pouvant siéger dans la moelle ou la tête.","Recherché par catécholamines urinaires en cas de fièvre prolongée."
"diabète insipide","Trouble de la concentration urinaire par déficit en hormone antidiurétique.","Évoqué devant des anomalies des ionogrammes et osmolarités sanguines et urinaires."
"fond d’œil","Examen du fond de l’œil après dilatation pupillaire.","Permet de rechercher des uvéites (examen à la lampe à fentes)."
"maladie de Kawasaki","Vascularite aiguë fébrile de l’enfant, urgence médicale.","Définie par fièvre >5 jours + 4 critères parmi 5. Risque d’atteinte coronarienne à vie."
"hyperhémie conjonctivale","Rougeur de la conjonctive sans écoulement purulent.","Critère de Kawasaki."
"langue framboisée","Aspect rouge, dépapillée et bosselée de la langue.","Critère d’atteinte muqueuse dans la maladie de Kawasaki."
"chéilite","Inflammation des lèvres : fissurées, intumescentes, sèches.","Critère de Kawasaki."
"arthrite juvénile idiopathique","Rhumatisme inflammatoire chronique de l’enfant.","Cause non infectieuse de fièvre prolongée (maladie inflammatoire chronique)."
"périartérite noueuse","Vascularite nécrosante des petites et moyennes artères.","Cause non infectieuse."
"maladie de Crohn","Maladie inflammatoire chronique de l’intestin.","Cause non infectieuse de fièvre prolongée."
"colite ulcéro-hémorragique","Maladie inflammatoire chronique du côlon.","Cause non infectieuse."
"leucémies","Cancers des cellules hématopoïétiques.","Néoplasie responsable de fièvre prolongée."
"maladie de Hodgkin","Lymphome malin avec cellules de Reed-Sternberg.","Néoplasie responsable de fièvre prolongée."
"fièvre médicamenteuse","Fièvre prolongée due à un médicament.","Peut être causée par antihistaminiques, barbituriques, bêta-lactamines, phénytoïne, quinidine, sulfamides (fréquents) ; ou allopurinol, azathioprine, cimétidine, isoniazide, rifampicine, vancomycine (plus rares)."
"fièvre périodique","Syndrome auto-inflammatoire avec accès fébriles récurrents.","Autre cause non infectieuse."
"maladie sérique","Réaction d’hypersensibilité aux anticorps.","Autre cause."
"fièvre prolongée bénigne du petit enfant","Entité où la fièvre prolongée reste sans diagnostic mais l’enfant va bien.","À évoquer après élimination des causes graves, en réexaminant régulièrement."
