"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu’est-ce qu’une hernie hiatale ?","Une protrusion d’un viscère abdominal dans le thorax à travers le hiatus œsophagien","Une dilatation de l’œsophage","Une inflammation du cardia","Une tumeur du diaphragme","1","Le document : 'Hernies hiatales = protrusions intrathoraciques d’un viscère intra-abdominal à travers le hiatus oesophagien'","Easy"
"Quels sont les deux grands types de hernie hiatale ?","Glissement et roulement","Congénitale et acquise","Réductible et irréductible","Aiguë et chronique","1","Le document : 'Deux grands types : HH par glissement ; HH par roulement'","Easy"
"Quel type de hernie hiatale est le plus fréquent ?","Hernie par roulement","Hernie par glissement","Hernie mixte","Hernie étranglée","2","Le document : 'HH par glissement : les plus fréquents'","Easy"
"Quelle complication est fréquente dans la hernie par glissement ?","Étranglement","Reflux gastro-œsophagien (RGO)","Saignement","Anémie","2","Le document : 'HH par glissement : se compliquent de RGO'","Easy"
"Quelle complication est fréquente dans la hernie par roulement ?","RGO","Étranglement ou saignement","Dysphagie","Pyrosis","2","Le document : 'HH par roulement : s’étranglent ou saignent'","Easy"
"Quel est le facteur anatomique de continence cardiale qui agit comme un cravatage de l’œsophage ?","Valve muqueuse de Gubarov","Angle de His","Action du pilier droit du diaphragme","Ligament phréno-œsophagien","3","Le document : 'Action du pilier droit du diaphragme : joue un rôle de cravatage de l’œsophage'","Easy"
"Quel est le rôle du sphincter inférieur de l’œsophage (SIO) ?","Empêcher la remontée des aliments","Permettre le passage des aliments","Augmenter la pression abdominale","Faciliter la digestion","1","Le document : 'Système à haute pression... Augmentation de la pression basale à 20 mmHg par rapport au reste de l’oesophage' (fonction anti-reflux)","Easy"
"Dans la hernie hiatale par glissement, que se passe-t-il au niveau du cardia ?","Le cardia reste en place","Le cardia monte dans le thorax","Le cardia descend dans l’abdomen","Le cardia est absent","2","Le document : 'HH par glissement = glissement ascendant du cardia anatomique vers le médiastin. Le cardia est alors en position intra-thoracique'","Easy"
"Quel pourcentage des hernies par glissement sont asymptomatiques ?","25%","50%","75%","90%","2","Le document : 'Hernie hiatale par glissement : Fréquemment asymptomatique (50% des cas)'","Easy"
"Quel symptôme n’est PAS typique de la hernie par glissement ?","Pyrosis","Régurgitation acide","Douleur post-prandiale de siège variable","Dysphagie","3","Le document : les symptômes de la hernie par glissement sont ceux du RGO ; la douleur post-prandiale variable est décrite pour la hernie par roulement.","Easy"
"Quel examen radiologique peut montrer un niveau hydro-aérique intra-thoracique dans le médiastin postérieur ?","Radiographie pulmonaire","TOGD","Scanner","IRM","1","Le document : 'Radiographie pulmonaire : Niveau hydro-aérique intra-thoracique, dans le médiastin postérieur'","Medium"
"Quelle est la caractéristique de la hernie par roulement à la TOGD ?","Cardia en place avec portion gastrique intrathoracique","Cardia ascensionné","Poche herniée arrondie","Béance du cardia","1","Le document : 'HH par roulement : Cardia en place ; Il existe une portion plus ou moins importante du corps gastrique en position intra-thoracique'","Medium"
"Quel signe endoscopique est observé dans la hernie par glissement ?","Orifice dans la grosse tubérosité","Ascension du cardia muqueux, diminution de la distance cardia-arcade dentaire, béance anormale du cardia","Présence de varices","Muqueuse inflammatoire","2","Le document : 'Fibroscopie : Ascension du cardia muqueux ; Diminution de la distance cardia-arcade dentaire ; Béance anormale du cardia'","Medium"
"Quelle complication peut survenir après de nombreuses années d’évolution d’une hernie par roulement ?","Dysphagie","Anémie par gastrite oedémateuse et hémorragique","Volvulus","Perforation","2","Le document : 'HH compliquée : Après de nombreuses années d’évolution : Se manifeste par une anémie ; Gastrite oedémateuse et hémorragique au niveau de la poche herniaire'","Medium"
"Quelle est l’indication thérapeutique pour une hernie par glissement asymptomatique non compliquée de RGO ?","Chirurgie","Traitement médical","Simple surveillance","Régime strict","3","Le document : 'Les HH par glissement non compliquées de RGO et asymptomatiques ne nécessitent qu’une simple surveillance'","Medium"
