"front","back","cognitive_level"
"Qu’est‑ce qu’une hernie hiatale ?","Protrusion intrathoracique d’un viscère intra‑abdominal à travers le hiatus œsophagien.","Recall"
"Quels sont les deux grands types de hernie hiatale ?","Hernie par glissement (HHG) et hernie par roulement (HHR).","Recall"
"Quelle est la complication principale de la hernie hiatale par glissement ?","Le reflux gastro‑œsophagien (RGO).","Recall"
"Quelles sont les complications de la hernie hiatale par roulement ?","L’étranglement et le saignement (pas de RGO).","Recall"
"Où se trouve normalement la jonction œso‑gastrique (cardia) ?","Au niveau du cardia, dans l’abdomen.","Recall"
"Qu’est‑ce qu’une hernie hiatale mixte ?","La jonction œso‑gastrique est intrathoracique et une partie de l’estomac également.","Recall"
"Citez quatre facteurs anatomiques de continence cardiale.","Action du pilier droit du diaphragme (cravatage), valve muqueuse de Gubarov (clapet), angle de His, ligament phréno‑œsophagien.","Recall"
"Quel est le facteur intrinsèque de continence cardiale ?","Le sphincter inférieur de l’œsophage (SIO).","Recall"
"Quelle est la pression basale normale du SIO par rapport au reste de l’œsophage ?","20 mmHg de plus.","Recall"
"Quels sont les contrôles nerveux et hormonal du SIO ?","Nerf vague (contrôle nerveux) et contrôle hormonal.","Recall"
"Décrivez la hernie hiatale par glissement.","Glissement ascendant du cardia anatomique vers le médiastin ; le cardia devient intrathoracique ; diminution de la distance arcades dentaires‑cardia.","Recall"
"Décrivez la hernie hiatale par roulement.","Protrusion intrathoracique de la grosse tubérosité ; le cardia reste en place ; la grosse tubérosité monte en roulant sur le hiatus.","Recall"
"Quelle est la fréquence des hernies hiatales par glissement asymptomatiques ?","50% des cas.","Recall"
"Quelle symptomatologie retrouve‑t‑on dans la hernie par glissement symptomatique ?","Symptômes du RGO : pyrosis, régurgitation acide, dysphagie, signes respiratoires (toux, asthme).","Recall"
"Quels sont les symptômes de la hernie par roulement non compliquée ?","Douleurs post‑prandiales (épigastrique, sous‑costale gauche ou thoracique), aggravées par décubitus dorsal ou antéflexion, pouvant évoquer un angor, parfois dyspnée. Pas de reflux.","Recall"
"Quelles sont les complications tardives de la hernie par roulement ?","Anémie par gastrite œdémateuse et hémorragique au niveau de la poche herniaire.","Recall"
"Quel signe radiologique peut être vu sur une radiographie pulmonaire en cas de hernie par roulement ?","Niveau hydro‑aérique intra‑thoracique dans le médiastin postérieur.","Recall"
"Quel examen radiologique permet de diagnostiquer une hernie hiatale par glissement ?","Le transit œsogastroduodénal (TOGD) : poche herniée arrondie ou ovalaire.","Recall"
"Quels sont les signes endoscopiques (fibroscopie) d’une hernie par glissement ?","Ascension du cardia muqueux, diminution de la distance cardia‑arcade dentaire, béance anormale du cardia.","Recall"
"Quelles sont les quatre complications des hernies hiatales ?","RGO (HHG), anémie (HHR), ulcère gastrique au niveau du passage diaphragmatique, volvulus gastrique étranglé.","Recall"
"Quel est le traitement d’une hernie par glissement asymptomatique ?","Simple surveillance.","Recall"
"Quel est le traitement d’une hernie par glissement symptomatique (RGO) ?","Régime hygiéno‑diététique + antiémétique + antihistaminique H2 ou IPP.","Recall"
"Quelle est l’indication chirurgicale pour la hernie par roulement ?","Formelle, en raison de la gravité des complications (étranglement, saignement).","Recall"
"Quel geste chirurgical est réalisé pour une hernie par roulement par voie abdominale ?","Repositionnement de la poche herniée dans l’abdomen.","Recall"
"Quelle est la proportion des hernies hiatales par glissement parmi toutes les hernies hiatales ?","9/10 (90%).","Recall"
"Quel pourcentage des hernies par glissement se compliquent de RGO ?","50% d’entre elles.","Recall"
"La hernie par roulement se complique‑t‑elle de reflux gastro‑œsophagien ?","Non, jamais.","Recall"
