"term","definition","contextual_explanation"
"hernie hiatale","Protrusion intrathoracique d’un viscère intra‑abdominal à travers le hiatus œsophagien.","Deux types : par glissement (HHG) et par roulement (HHR)."
"hiatus œsophagien","Orifice du diaphragme par lequel passe l’œsophage.","Site de la hernie."
"HH par glissement","Glissement ascendant du cardia vers le médiastin.","La plus fréquente (9/10), se complique de RGO."
"HH par roulement","Protrusion intrathoracique de la grosse tubérosité, le cardia restant en place.","Moins fréquente, ne se complique pas de RGO mais peut s’étrangler ou saigner."
"RGO","Reflux gastro‑œsophagien.","Complication principale de la hernie par glissement."
"cardia","Jonction entre l’œsophage et l’estomac.","Normalement intra‑abdominal, remonte dans le thorax dans la HHG."
"grosse tubérosité","Partie fundique de l’estomac.","Hernie dans la HHR."
"continence cardiale","Mécanisme empêchant le reflux du contenu gastrique vers l’œsophage.","Assurée par des facteurs anatomiques et intrinsèques."
"pilier droit du diaphragme","Branche musculaire du diaphragme.","Joue un rôle de cravatage de l’œsophage."
"valve muqueuse de Gubarov","Clapet muqueux à l’entrée de l’estomac.","Facteur anatomique de continence."
"angle de His","Angle formé par l’œsophage et l’estomac.","Participe à la continence cardiale."
"ligament phréno‑œsophagien","Ligament fixant l’œsophage au diaphragme.","Facteur anatomique."
"sphincter inférieur de l’œsophage (SIO)","Système à haute pression de 4 cm autour du hiatus.","Facteur intrinsèque, pression basale de 20 mmHg de plus que le reste de l’œsophage."
"manométrie","Examen mesurant les pressions dans l’œsophage.","Repère le SIO."
"nerf vague","Xème nerf crânien.","Assure le contrôle nerveux du SIO."
"pyrosis","Brûlure rétrosternale.","Symptôme du RGO dans la HHG."
"régurgitation acide","Remontée acide dans la bouche.","Symptôme."
"dysphagie","Difficulté à déglutir.","Symptôme."
"niveau hydro‑aérique","Image radiologique de niveau liquide‑gaz.","Visible dans le médiastin postérieur sur la radiographie pulmonaire en cas de HHR."
"TOGD","Transit œsogastroduodénal.","Examen radiologique : montre poche herniée arrondie ou ovalaire (HHG) ou portion du corps gastrique intrathoracique (HHR)."
"fibroscopie","Endoscopie digestive haute.","Montre ascension du cardia, diminution distance cardia‑arcade dentaire, béance du cardia (HHG)."
"béance anormale du cardia","Ouverture persistante du cardia.","Signe endoscopique de HHG."
"volvulus gastrique étranglé","Torsion de l’estomac avec ischémie.","Complication grave de HHR."
"IPP","Inhibiteur de la pompe à protons.","Traitement médical du RGO (avec régime et antiémétique)."
"antihistaminique H2","Anti‑sécrétoire gastrique (ex : ranitidine).","Alternative aux IPP."
"antiémétique","Médicament contre les nausées et vomissements.","Partie du traitement du RGO."
