"question","option1","option2","option3","option4","answer","explanation","difficulty"
"L’atrésie des voies biliaires correspond principalement à quelle définition ?","Une infection aiguë du foie","Une obstruction oblitérante des voies biliaires survenant en période périnatale","Une dilatation congénitale des voies biliaires","Une malformation de la vésicule biliaire","2","Le document décrit l’AVB comme une cholangiopathie oblitérante caractérisée par une obstruction des voies biliaires survenant en période périnatale.","Easy"
"Quelle est la principale conséquence évolutive spontanée de l’atrésie des voies biliaires ?","Guérison spontanée","Evolution vers une cholestase puis une cirrhose irréversible","Transformation en hépatite aiguë","Régression spontanée de l’ictère","2","Le texte précise que l’évolution spontanée conduit à une cholestase et une cirrhose irréversible avec décès avant 3 ans.","Easy"
"Quelle est la principale cause de cholestase néonatale selon le document ?","Mucoviscidose","Atrésie des voies biliaires","Lithiase biliaire","Syndrome d’Alagille","2","Le document mentionne que l’AVB est la première cause de cholestase néonatale.","Easy"
"Quelle hypothèse étiologique est évoquée dans l’AVB ?","Traumatisme obstétrical","Infection virale pendant la grossesse","Malnutrition maternelle","Hypoxie néonatale","2","Les hypothèses citées incluent notamment une infection virale au cours de la grossesse.","Easy"
"Quelle proportion représente l’AVB isolée ?","10%","25%","50%","90%","4","Le texte indique que la forme isolée représente 90% des cas.","Easy"
"Quelle anomalie est souvent associée à la forme syndromique de l’AVB ?","Polysplénie","Anencéphalie","Hydrocéphalie","Hernie diaphragmatique","1","Le syndrome de polysplénie est mentionné comme une anomalie associée fréquente.","Medium"
"Dans la classification anatomique, quel type représente l’atrésie complète des voies biliaires intra et extra-hépatiques ?","Type 1","Type 2","Type 3","Type 4","4","Le document précise que le type 4 correspond à une atrésie complète des voies biliaires intra et extra-hépatiques.","Easy"
"Quelle triade clinique évoque fortement une AVB ?","Fièvre, diarrhée, vomissements","Ictère persistant, selles décolorées et hépatomégalie","Ascite, œdème, cyanose","Toux, dyspnée, fièvre","2","La triade clinique mentionnée comprend ictère persistant, selles décolorées et hépatomégalie.","Medium"
"Quel examen est considéré comme clé dans le diagnostic de l’AVB ?","IRM abdominale","Echographie abdominale","Scanner abdominal","Radiographie abdominale","2","Le document indique que l’échographie abdominale est l’examen clé.","Easy"
"Quelle anomalie échographique est fréquemment observée dans l’AVB ?","Dilatation biliaire importante","Absence de dilatation biliaire ou vésicule non visible","Présence constante d’ascite","Augmentation du volume splénique isolée","2","Le texte indique l’absence de dilatation des voies biliaires ou la non visualisation de la vésicule dans 80% des cas.","Medium"
"Quel examen permet d’éliminer le diagnostic d’AVB si tout l’arbre biliaire est visualisé ?","Scanner","Cholangiographie","Biopsie rénale","IRM","2","La cholangiographie visualisant tout l’arbre biliaire élimine l’AVB.","Medium"
"Quelle anomalie biologique caractérise la cholestase dans l’AVB ?","Hyperbilirubinémie conjuguée","Hypoglycémie","Hypernatrémie","Hypercalcémie","1","Le document cite une hyperbilirubinémie conjuguée associée à l’augmentation des phosphatases alcalines et de la GGT.","Medium"
"Pourquoi une hypovitaminose K peut-elle apparaître dans l’AVB ?","Absence de sécrétion d’insuline","Absence de bile empêchant l’absorption de vitamine K liposoluble","Excès d’absorption digestive","Déficit en facteur VIII","2","Le texte explique que l’absence de bile empêche l’absorption de la vitamine K liposoluble.","Medium"
"Quel est l’objectif principal du traitement chirurgical de l’AVB ?","Supprimer la vésicule biliaire","Restaurer un flux biliaire normal vers l’intestin","Réduire la taille du foie","Bloquer la production de bile","2","Le but thérapeutique mentionné est de restaurer un flux biliaire normal vers l’intestin.","Easy"
"Quelle intervention est réalisée dans l’AVB ?","Cholécystectomie","Kasai","Whipple","Appendicectomie","2","Le traitement chirurgical principal est l’intervention de Kasai.","Easy"
"Quel est le principe de l’intervention de Kasai ?","Transplantation du foie","Anastomose entre hile hépatique et anse jéjunale","Ligature de la veine porte","Exérèse du foie","2","Le texte décrit une hépato-porto-entérostomie reliant le hile hépatique à une anse jéjunale.","Medium"
"Pourquoi l’intervention de Kasai doit-elle être réalisée précocement ?","Pour éviter l’infection bactérienne","Car la cytolyse hépatique détruit progressivement le foie","Pour améliorer la digestion","Pour prévenir la déshydratation","2","Le document explique que la cytolyse hépatique progressive conduit à un mauvais résultat si l’intervention est tardive.","Difficult"
"Quelle complication peut apparaître après l’intervention de Kasai ?","Cholangite","Appendicite","Pancréatite aiguë","Péritonite tuberculeuse","1","Les cholangites ascendantes ou récidivantes sont citées comme complications.","Medium"
"Quelle est la première indication de transplantation hépatique chez l’enfant selon le texte ?","Cirrhose alcoolique","Atrésie des voies biliaires","Hépatite A","Traumatisme hépatique","2","Le document indique que l’AVB constitue la première indication de transplantation hépatique chez l’enfant.","Difficult"
"Quel facteur améliore le pronostic de l’AVB ?","Diagnostic et traitement précoces","Alimentation tardive","Absence de suivi","Intervention après 5 ans","1","Le texte souligne que le diagnostic et le traitement précoces améliorent le pronostic.","Medium"
"Quelle est la première cause de cholestase néonatale ?","Syndrome d''Alagille","Atrésie des voies biliaires","Mucoviscidose","Déficit en alpha-1-antitrypsine","2","Le document indique : ""Première cause de cholestase néonatale"" en parlant de l''atrésie des voies biliaires.","Easy"
"Quel est le pourcentage de survie à 5 ans avec le foie natif après atrésie des voies biliaires ?","27%","32%","90%","50%","2","Le document précise : ""Survie avec le foie natif : 32% à 5 ans, 27% à 10 ans"".","Easy"
"Quels sont les trois signes de la triade clinique de l''atrésie des voies biliaires ?","Ictère, selles décolorées, hépatomégalie","Ictère, splénomégalie, ascite","Fièvre, douleur abdominale, vomissements","Pâleur, œdèmes, hypotrophie","1","Le document liste : ""Ictère cutanéo-muqueux persistant au-delà de 2 semaines, Selles décolorées (mastic), urines foncées, Hépatomégalie"".","Easy"
"À partir de quel délai d''ictère persistant doit-on évoquer une atrésie des voies biliaires ?","1 semaine","2 semaines","3 semaines","1 mois","2","Le document mentionne : ""Ictère cutanéo-muqueux persistant au-delà de 2 semaines"".","Easy"
"Quel examen clé est recommandé après 12 heures de jeûne pour l''exploration d''une suspicion d''atrésie des voies biliaires ?","Cholangiographie","Biopsie hépatique","Échographie abdominale","IRM","3","Le document indique : ""Echographie abdominale : Examen clé, faite après 12h de jeun pour avoir un bon remplissage de la vésicule biliaire"".","Easy"
