question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est l'incidence des petits maux de la grossesse ?", "25-50%", "45-89%", "60-70%", "80-95%", "2", "Le document : 'Incidence de 45-89% des femmes enceintes'", "Easy"
"Quel est le pourcentage de femmes enceintes souffrant de nausées et vomissements ?", "10-20%", "30-40%", "45-55% (voire 89%)", "60-70%", "3", "Le document : '45 - 55% (voire même 89% dans certaines études)'", "Easy"
"À quelle période les nausées et vomissements débutent-ils ?", "2-3 SA", "4-6 SA", "8-10 SA", "12-14 SA", "2", "Le document : 'Début entre 4 - 6 SA'", "Easy"
"Quel est le maximum des nausées et vomissements ?", "6-8 SA", "8-12 SA", "12-15 SA", "15-20 SA", "2", "Le document : 'Maximum vers 8 - 12 SA'", "Easy"
"Vers quelle semaine les nausées et vomissements guérissent-ils habituellement ?", "10-12 SA", "12-14 SA", "15-17 SA", "18-20 SA", "3", "Le document : 'Guérison vers 15 - 17 SA (disparaît vers 4 mois de grossesse)'", "Easy"
"Quel est le traitement pharmacologique de première intention des nausées et vomissements ?", "Ondansétron", "Métoclopramide (Primperan*) 5-15mg/j ou Dompéridone (Motilium*)", "Corticoïdes", "Antihistaminiques", "2", "Le document : 'Traitement pharmacologique : Métoclopramide (Primperan*) 5-15mg/j, Dompéridone (Motilium*)'", "Easy"
"Quel traitement non pharmacologique est cité pour les nausées ?", "Vitamine C", "Gingembre en poudre 250mg x4/j", "Fer", "Calcium", "2", "Le document : 'Gingembre en poudre 250mg fois 4/j'", "Easy"
"Quelle est l'excrétion salivaire normale par jour ?", "0,5 - 1 L/j", "1 - 1,5 L/j", "1,5 - 2 L/j", "2 - 2,5 L/j", "2", "Le document : 'Excrétion salivaire de 1 - 1,5 L/j'", "Easy"
"Quel traitement est proposé pour le ptyalisme ?", "Antidépresseurs", "Atropine, psychothérapie, hypnothérapie", "Gingembre", "Vitamine B6", "2", "Le document : 'Traitement : ATROPINE, Psychothérapie et hypnothérapie'", "Easy"
"Quel est le traitement de la constipation opiniâtre pendant plusieurs jours ?", "Lactulose", "Macrogol", "Gel à base de Glycérol + Sorbitol", "Mucilage", "3", "Le document : 'Si constipation opiniâtre pendant plusieurs jours : Gel à base de Glycérol + Sorbitol'", "Easy"
"Quel est le traitement symptomatique du pyrosis (RGO) ?", "IPP ou anti-H2 pour formes rebelles", "Antiacides (hydroxyde d'alumine, alginates)", "Prokinétiques", "Antispasmodiques", "2", "Le document : 'Traitement symptomatique : Antiacides (hydroxyde d'alumine, alginates, ...) après le repas ; IPP ou anti-H2 (formes rebelles)'", "Medium"
"Quel est le traitement des crampes ?", "Calcium", "Riboflavine ou acide pantothénique associé au magnésium (400 mg/j 2-4 semaines)", "Potassium", "Vitamine D", "2", "Le document : 'Riboflavine ou l'acide pantothénique associé à une supplémentation en magnésium (400 mg/j 2 à 4 semaines)'", "Medium"
"Quel est le traitement des formes majeures de lombalgie ?", "Paracétamol", "Tétrazepam, antalgiques inutiles, Uridine (UTEPLEX) 3 amp/j", "AINS", "Repos strict", "2", "Le document : 'Formes majeures : Tétrazepam, antalgiques inutiles, Uridine (UTEPLEX) 3 amp/j en cure de 2 - 3 semaines (+++)'", "Medium"
"Quel est le traitement du relâchement douloureux des symphyses ?", "Calcium + Vitamine D3", "Repos + Antalgiques (+++)", "AINS longue durée", "Corticoïdes", "2", "Le document : 'Traitement médicamenteux : Ca++ + Vit D3 = décevant ; Repos + Antalgique (+++) ; AINS de courte durée (< 5j)'", "Medium"
"Quand guérit le relâchement douloureux des symphyses ?", "Immédiatement", "2 jours après accouchement", "1 semaine après", "1 mois après", "2", "Le document : 'Guérison spontanée 2 jours après accouchement'", "Easy"
"Quel est le traitement de la rhinite de grossesse ?", "Antihistaminiques", "Corticoïdes, vasoconstricteurs à éviter, Otrivine Goutte nasal 2-3 jours", "Antibiotiques", "Aucun", "2", "Le document : 'Traitements : Corticoïdes, Vasoconstricteurs à éviter autant que possible, Otrivine Goutte nasal 2-3 jours'", "Medium"
"À quel mois apparaissent les troubles vocaux ?", "5ème mois", "6ème mois", "7ème mois", "8ème mois", "3", "Le document : 'Troubles vocaux : Vers le 7ème mois'", "Easy"
"Quel est le traitement des troubles vocaux ?", "Corticoïdes", "Repos vocal relatif", "Antibiotiques", "Aucun", "2", "Le document : 'Traitement : repos vocal relatif'", "Easy"
"À quel mois apparaît la gingivite de grossesse ?", "3ème mois", "4ème mois", "5ème mois", "6ème mois", "3", "Le document : 'Gingivite (au 5ème mois)'", "Easy"
"Quel est le traitement de la gingivite de grossesse ?", "Antibiotiques", "Hygiène bucco-dentaire", "Bains de bouche antiseptiques", "Corticoïdes", "2", "Le document : 'Traitement : hygiène bucco-dentaire'", "Easy"
"Quel pourcentage de femmes présente des vergetures pendant la grossesse ?", "50%", "70%", "90%", "95%", "3", "Le document : 'Vergetures : 90 % des femmes'", "Easy"
"Quel est le mécanisme des vergetures ?", "Hypersécrétion de sébum", "Fracture des réseaux de fibres de collagènes", "Hyperpigmentation", "Rétention d'eau", "2", "Le document : 'Fracture des réseaux de fibres de collagènes'", "Medium"
"Quel est le traitement des vergetures selon le document ?", "Très efficace", "Peu efficace, bonne hygiène de la peau (+++)", "Chirurgical", "Hormonal", "2", "Le document : 'Traitements : Topique : lotion à base d'acide glycolique + acide ascorbique ; Peu efficaces -> bonne hygiène de la peau (+++)'", "Medium"
"Quelle hormone est responsable de la turgescence de la muqueuse nasale ?", "Œstrogène", "Progestérone", "HCG", "Prolactine", "2", "Le document : 'à cause de la progestérone'", "Medium"
"Quelle est la fréquence des crampes chez les femmes enceintes ?", "5-10%", "15-30%", "30-45%", "45-60%", "2", "Le document : '15 - 30 % des femmes enceintes'", "Easy"
"À quel trimestre les crampes sont-elles les plus fréquentes ?", "1er trimestre", "2ème trimestre", "3ème trimestre", "Tout au long", "3", "Le document : '3ème trimestre +++'", "Easy"
"Quel est le mécanisme de la lombalgie de grossesse ?", "Hyperlordose et contracture des muscles lombaires", "Sciatique", "Discopathie", "Fracture", "1", "Le document : 'Causé par l'hyperlordose, Contracture des muscles lombaires'", "Medium"
"Quel est le traitement non pharmacologique de la lombalgie ?", "Repos au lit", "Posture et gymnastique", "Massage seul", "Corset", "2", "Le document : 'Traitement : Posture, Gymnastique'", "Easy"
