"question","answer","explanation","difficulty"
"Définissez l’insuffisance surrénale.","Ensemble des affections où la sécrétion en hormones corticosurrénaliennes s’effondre en dessous des besoins de l’organisme.","Introduction.","Easy"
"Citez trois signes cliniques de l’insuffisance surrénale aiguë.","Douleurs abdominales diffuses, nausées/vomissements, adynamie, coma, confusion, déshydratation extracellulaire, baisse de TA, fièvre quasi-constante, algies diffuses. (Trois au choix).","Signes cliniques.","Easy"
"Quels sont les deux principaux troubles ioniques sanguins de l’insuffisance surrénale aiguë ?","Hyponatrémie et hyperkaliémie.","Document.","Easy"
"Comment confirme-t-on biologiquement une insuffisance surrénale primitive ?","Cortisolémie à 8h effondrée avec ACTH élevé.","Diagnostic.","Easy"
"Citez deux causes d’insuffisance surrénale aiguë chez le nouveau-né.","Hyperplasie congénitale des surrénales, hypoplasie congénitale liée à l’X, résistance à l’ACTH, hémorragie surrénale post-hypercorticisme maternel.","Étiologies – Nouveau-né.","Easy"
"Quel est le traitement de première intention de la déshydratation sévère dans l’insuffisance surrénale aiguë ?","Sérum physiologique 20 mg/kg en 30 minutes renouvelable (règle des 20/20/20).","Traitement.","Easy"
"Quelle est la dose d’hydrocortisone dans l’insuffisance surrénale aiguë ?","100 mg/kg/j en IV, répartie en 4 injections.","Document.","Easy"
"Expliquez le rôle de la zone fasciculée de la corticosurrénale selon le document.","Sécrétion de la plupart des hormones, sécrétion de minéralocorticoïdes (aldostérone) sous dépendance de la rénine.","Rappels anatomo-physiologique.","Medium"
"Quels sont les effets du cortisol (glucocorticoïde) ?","Stimulation de la néoglucogenèse (hyperglycémiant), catabolisme protidique, lipogenèse viscérale, inhibition de la sécrétion d’ADH, action stimulante sur SNC, effet anti-inflammatoire et antipyrétique, stimulation du tonus vasculaire.","Document.","Medium"
"Pourquoi l’hypoglycémie survient-elle dans l’insuffisance surrénale aiguë ?","Par déficit en cortisol qui normalement stimule la néoglucogenèse.","Document.","Medium"
"Quel est le traitement de l’hyperkaliémie >7 mmol/L ?","Gluconate de calcium 10% 0,5 ml/kg IV en 5 min, puis insuline 0,1 UI/kg/h + perfusion SGH 10% 5 ml/kg/h.","Document.","Medium"
"Quelle est la différence entre insuffisance surrénale primitive et secondaire sur le plan de l’ACTH ?","Primitive : ACTH élevé ; secondaire : ACTH bas.","Diagnostic.","Medium"
"Citez trois formes familiales d’insuffisance surrénale chez l’enfant.","Adrénoleucodystrophie liée à l’X, maladie 3A (Achalasie, Alacrymie, Addison), déficit en glucocorticoïde avec mélanodermie, pathologie auto-immune.","Étiologies – Enfant – Formes familiales.","Medium"
"Quelle est la conduite à tenir devant une fièvre chez un enfant insuffisant surrénalien chronique ?","Doublement de la dose d’hydrocortisone, puis retour progressif.","Traitement préventif.","Medium"
"Quels éléments doivent être surveillés cliniquement toutes les heures ?","Hydratation, pouls, pression artérielle, température, diurèse, conscience.","Surveillance.","Medium"
"Pourquoi l’arrêt brutal d’une corticothérapie au long cours peut-il provoquer une insuffisance surrénale aiguë ?","Par atrophie de l’axe hypothalamo-hypophyso-surrénalien, nécessitant une substitution adéquate.","Document : ''Arrêt progressif d'une corticothérapie au long cours et substitution adéquate''.","Difficult"
"Expliquez le mécanisme de la mélanodermie dans l’insuffisance surrénale primitive.","Par hyperstimulation des mélanocytes due à l’élévation de l’ACTH (qui a une activité mélanotrope).","Non explicitement détaillé mais déductible.","Difficult"
"Quelle est la particularité de la résistance à l’ACTH chez le nouveau-né ?","Pas de perte de sel, hypoglycémie, mélanodermie, aldostérone normale.","Document.","Difficult"
"Quel est le traitement préventif de l’insuffisance surrénale aiguë chez les patients chroniques ?","Arrêt progressif de la corticothérapie, éducation, doublement de la dose en cas de stress, port d’une carte de surrénalien.","Document.","Difficult"
"Pourquoi l’insuffisance surrénale aiguë peut-elle entraîner une insuffisance rénale fonctionnelle ?","Par déshydratation extracellulaire sévère et baisse de la perfusion rénale (élévation de l’urée).","Document : ''Élévation de l'urée sanguine (IR fonctionnelle)''.","Difficult"
"Quel est l’intérêt du test au synacthène ?","Distinguer insuffisance surrénale primitive et secondaire (réponse du cortisol).","Document.","Medium"
"Citez deux signes biologiques urinaires de l’insuffisance surrénale aiguë.","Natriurèse augmentée, kaliurèse diminuée.","Document.","Medium"
"Pourquoi la fièvre est-elle quasi-constante sans infection dans l’insuffisance surrénale aiguë ?","Par déficit en cortisol qui a un effet antipyrétique ; l’absence de cortisol entraîne une hyperthermie centrale.","Document.","Difficult"
"Quel est le traitement de l’hypoglycémie dans l’insuffisance surrénale aiguë ?","SGH 10% en flash (intraveineux rapide).","Document.","Easy"
"Quelle est l’importance de la surveillance paraclinique toutes les 4 à 6 heures ?","Ionogramme sanguin et urinaire, glycémie, créatininémie, NFS.","Document.","Medium"
"Quels sont les deux types d’insuffisance surrénale selon l’origine ?","Primitive (surrénalienne) et secondaire (corticotrope, par déficit en ACTH).","Document.","Medium"
"Quel est le pronostic de l’insuffisance surrénale aiguë non traitée ?","Engagement rapide du pronostic vital.","Conclusion.","Easy"
