"term","definition","contextual_explanation"
"Reflux gastro-œsophagien (RGO)","Passage involontaire du contenu gastrique dans l’œsophage à travers le cardia sans effort de vomissement.","Fréquent (1/4 des adultes), bénin mais peut avoir des conséquences sérieuses."
"Sphincter inférieur de l’œsophage (SIO)","Zone de haute pression manométrique à la jonction œso-gastrique, jouant le rôle majeur de barrière anti-reflux. Se relâche à la déglutition et se ferme au repos.","Son incompétence est le principal facteur du RGO."
"Angle de His","Angle aigu formé entre l’œsophage et l’estomac, participant à la fixation du cardia en intra-abdominal.","Élément anatomique de la barrière anti-reflux."
"Pyrosis","Brûlure épigastrique ascendante rétrosternale, post-prandiale, aggravée par l’antéflexion. Signe pathognomonique du RGO.","Principal symptôme de la triade."
"Régurgitations acides","Sensation de remontée dans la bouche d’un liquide chaud-acide au goût métallique, maximale le matin au réveil.","Deuxième symptôme de la triade."
"Syndrome postural","Aggravation du pyrosis et des régurgitations par l’antéflexion (signe du lacet) et le décubitus.","Troisième signe de la triade."
"Classification de Los Angeles","Classification endoscopique des œsophagites peptiques : grade A (<5 mm), grade B (>5 mm), grade C (entre deux plis non circonférentielle), grade D (circonférentielle).","Utilisée pour évaluer la sévérité des lésions."
"pH-métrie œsophagienne","Examen mesurant le pH dans l’œsophage sur 24h (filaire) ou sans fil. Détecte les reflux acides (pH<4) et peu acides (impédancemétrie).","Indiquée pour symptômes atypiques ou réfractaires."
"Endobrachyoesophage (EBO)","Remplacement de la muqueuse malpighienne du bas œsophage par une muqueuse cylindrique (type intestinal) sur 2-3 cm. Métaplasie secondaire à l’agression acide chronique.","Risque de dysplasie et d’adénocarcinome."
"Œsophagite peptique","Inflammation érosive de la muqueuse œsophagienne due au reflux acide.","Complication fréquente, classée de A à D (Los Angeles)."
"Sténose peptique","Rétrécissement fibreux de l’œsophage par cicatrisation d’une œsophagite chronique, entraînant une dysphagie organique.","Complication tardive."
"Ulcère œsophagien","Perte de substance profonde atteignant la musculeuse, survenant sur une œsophagite sévère.","Peut se compliquer d’hémorragie."
"Hernie hiatale","Anomalie de la région cardiale souvent associée au RGO, favorisant l’incompétence du SIO.","Recherchée à l’endoscopie."
"Manométrie œsophagienne","Examen mesurant les pressions du SIO et le péristaltisme œsophagien. N’a pas de place pour le diagnostic de RGO mais est utile avant chirurgie ou pour éliminer un trouble moteur.","Examen pré-thérapeutique."
"Scintigraphie œsophagienne","Ingestion de Technétium 99 pour évaluer le volume et la durée du reflux, ainsi que d’éventuelles inhalations.","Indiquée en cas de doute sur un RGO alcalin ou micro-inhalation."
"Signe du lacet","Aggravation du pyrosis par l’antéflexion (position de se baisser pour lacer ses chaussures).","Manifestation du syndrome postural."
"Dysphagie","Difficulté à avaler. Dans le RGO, elle est un signe d’alarme et peut révéler une sténose ou un cancer.","À rechercher systématiquement."
"Odynophagie","Douleur à la déglutition. Signe d’alarme dans le RGO.","Peut traduire une œsophagite sévère ou un ulcère."
"Adénocarcinome sur EBO","Cancer de l’œsophage se développant sur une muqueuse de Barrett (endobrachyoesophage).","Complication redoutable du RGO chronique."
"Symptômes atypiques extra-digestifs","Manifestations respiratoires (toux nocturne, asthme), ORL (dysphonie, otalgie) ou cardiaques (douleur pseudo-angineuse) pouvant être dues au RGO.","Doivent être des diagnostics d’élimination."
"Syndrome de Mallory-Weiss","Fissuration de la jonction œso-gastrique suite à un effort de vomissement, pouvant provoquer une hémorragie digestive.","Diagnostic différentiel de l’hémorragie digestive du RGO."
