question,option1,option2,option3,option4,answer,explanation,difficulty
"La paralysie faciale périphérique (PFP) est définie comme :","Une atteinte du motoneurone central","Une atteinte paralytique du nerf facial, globale, complète, intéressant le motoneurone périphérique","Une atteinte isolée du muscle orbiculaire","Une paralysie du nerf trijumeau","2","Le document indique : Périphérique : paralysie globale, complète, intéresse le motoneurone.","Easy"
"Le nerf facial assure combien de fonctions ?","Deux fonctions","Trois fonctions","Quatre fonctions (sensitif, sensoriel, sécrétoire, moteur)","Cinq fonctions","3","Le document précise : quatre fonctions du Nerf facial : sensitif, sensoriel, sécrétoire, moteur.","Easy"
"Quel est le signe de Charles Bell ?","Impossibilité de fermer les paupières avec fuite du globe oculaire en haut et en dehors","Asymétrie des rides frontales","Fuite buccale","Impossibilité de siffler","1","Le document indique : Signe de CHARLES BELL : impossibilité de fermer les paupières, globe oculaire fuit en haut et en dehors.","Easy"
"Le signe de Souques se caractérise par :","Des troubles du goût","Des sourcils du côté atteint paraissant plus longs que le côté sain","Une asymétrie du sourire","Une hyperacousie","2","Le document précise : Signe de SOUQUES (les sourcils du côté atteint paraissent plus longs que le côté sain).","Medium"
"Dans la paralysie faciale périphérique supra-géniculée, la sécrétion lacrymale est :","Normale","Atteinte","Augmentée","Absente","2","Le document indique dans le tableau topographique : supra-géniculé : sécrétion lacrymale atteinte.","Medium"
"Le réflexe stapédien est absent dans quelle(s) localisation(s) ?","Supra-géniculé, trans-géniculé et supra-stapédien","Infra-stapédien uniquement","Infra-cordal uniquement","Jamais absent","1","Le document précise : supra-géniculé (absent), trans-géniculé (absent), supra-stapédien (absent), infra-stapédien (présent), infra-cordal (présent).","Difficult"
"Le testing musculaire de Freyss évalue :","La fonction lacrymale","La force de 10 muscles du visage cotée de 0 à 3","Le réflexe stapédien","Le goût","2","Le document indique : Testing musculaire de FREYSS (0-3) : Dix muscles sont testés, de haut en bas.","Medium"
"Le grading de House et Brackmann comporte :","5 grades","6 grades (I à VI)","4 grades","10 grades","2","Le document mentionne : Grading de HOUSE et BRACKMANN (grade I à VI).","Medium"
"Le test de Schirmer évalue :","La sécrétion salivaire","La sécrétion lacrymale","Le réflexe stapédien","Le goût","2","Le document précise : Test de Schirmer : pour évaluer la sécrétion lacrymale.","Medium"
"Le syndrome de Melkersson-Rosenthal associe :","Paralysie faciale récidivante, œdème de la face/lèvres, langue plicaturée","Paralysie faciale bilatérale","Paralysie faciale avec syndrome de Guillain-Barré","Paralysie faciale avec otite moyenne","1","Le document indique : Syndrome de MELKERSSON-ROSENTHAL : PF récidivante ou à bascule, Œdème face ou lèvres, Langue plicaturée.","Medium"
"Le syndrome des larmes de crocodile est une complication de la PFP caractérisée par :","Des larmes excessive lors de la mastication","Une absence de larmes","Une sécheresse oculaire","Une kératite","1","Le document cite : Syndrome des larmes de crocodile comme complication.","Medium"
"Dans la paralysie faciale centrale, le territoire du VII supérieur est :","Atteint","Non atteint","Paralysé en totalité","Spastique","2","Le document indique : PF CENTRALE : Territoire du VII supérieur non atteint, pas de signe de Charles Bell.","Medium"
"Le traitement de la paralysie faciale a frigore repose sur :","La chirurgie d’urgence","La corticothérapie +/- antiviraux","Les antiviraux seuls","La kinésithérapie seule","2","Le document précise : A frigore : corticothérapie +/- antiviraux.","Easy"
"La toxine botulique est indiquée dans le traitement des séquelles, notamment :","La paralysie totale","Le spasme facial","La syncinésie","Le syndrome des larmes de crocodile","2","Le document indique : Séquelles : toxine botulique (surtout pour le spasme facial).","Medium"
"Quel muscle est testé par la consigne « gonflez les joues » ?","Le risorius","Le buccinateur","Le zygomatique","L’orbiculaire des lèvres","2","Le document précise : buccinateur : gonflez les joues.","Medium"
"La manœuvre de Pierre-Marie-Fox permet de :","Tester le réflexe stapédien","Stimuler le nerf facial au niveau de sa sortie derrière la mandibule chez le patient comateux","Évaluer la sécrétion lacrymale","Mesurer la force musculaire","2","Le document indique : Manoeuvre de PIERRE-MARIE-FOX : pour stimuler le nerf facial au niveau de sa sortie derrière la mandibule.","Medium"
"Le syndrome de Guillain-Barré peut se manifester par :","Une paralysie faciale unilatérale","Une paralysie faciale bilatérale","Une paralysie isolée du VII","Une paralysie du trijumeau","2","Le document cite : BILATERALE : Syndrome de Guillain Barré.","Medium"
"La maladie de Lyme est une cause de paralysie faciale :","Unilatérale","Bilatérale","Récidivante","Centrale","2","Le document cite : BILATERALE : maladie de Lyme.","Medium"
"La kératite d’exposition est une complication oculaire de la PFP due à :","Une infection bactérienne","Une impossibilité de fermer les paupières entraînant une sécheresse cornéenne","Une paralysie du nerf optique","Un glaucome","2","Le document cite : Complications oculaires (kératite d’exposition).","Medium"
"Le traitement chirurgical de la PFP traumatique peut consister en :","Une parotidectomie","Une décompression faciale ou une anastomose faciale","Une pose d’aérateur transtympanique","Une section du nerf","2","Le document indique : Traumatique : corticothérapie, chirurgie (décompression faciale ou anastomose faciale).","Medium"
