"front","back","cognitive_level"
"Qu’est-ce qu’une paralysie faciale périphérique (PFP) ?","Atteinte paralytique du nerf facial (atteinte des quatre fonctions : sensitive, sensorielle, sécrétoire et motrice) touchant le motoneurone périphérique, entraînant une paralysie globale et complète.","Recall"
"Quel est l’intérêt du traitement précoce dans la PFP ?","Le document précise : « Intérêt du traitement précoce » sans plus de détail, soulignant son importance dans le pronostic fonctionnel.","Recall"
"Quels sont les signes de paralysie faciale périphérique au repos ?","Rides frontales absentes, sillon naso-génien effacé, chute du sourcil, chute de la paupière, chute de la commissure labiale, avec attraction du nez et attraction de la bouche du côté sain.","Recall"
"Qu’est-ce que le signe de Charles Bell ?","Impossibilité de fermer les paupières avec fuite du globe oculaire vers le haut et en dehors.","Recall"
"Quels sont les signes fonctionnels de la PFP ?","Fuite buccale, impossibilité de siffler ou de souffler.","Recall"
"Qu’est-ce que le signe de Souques ?","Signe recherché dans les formes frustres : les sourcils du côté atteint paraissent plus longs que ceux du côté sain (car ils ne se ferment pas correctement).","Recall"
"Quels examens faut-il réaliser devant une PFP ?","Otoscopie (recherche d’otite moyenne), palpation du cou (recherche de tumeur parotidienne), examen ORL complet, examen neurologique (recherche d’atteinte d’autres paires crâniennes).","Recall"
"Quelles sont les trois structures de repère pour le diagnostic topographique du nerf facial ?","1) Ganglion géniculé (sécrétion lacrymale) ; 2) Muscle de l’étrier (réflexe stapédien) ; 3) Corde du tympan (goût).","Recall"
"Complétez le tableau topographique : atteinte supra-géniculée – sécrétion lacrymale ? – réflexe stapédien ? – goût ?","Sécrétion lacrymale : atteinte ; réflexe stapédien : absent ; goût : troubles.","Recall"
"Complétez le tableau topographique : atteinte infra-stapédienne – sécrétion lacrymale ? – réflexe stapédien ? – goût ?","Sécrétion lacrymale : normale ; réflexe stapédien : présent ; goût : troubles.","Recall"
"Complétez le tableau topographique : atteinte infra-cordale – sécrétion lacrymale ? – réflexe stapédien ? – goût ?","Sécrétion lacrymale : normale ; réflexe stapédien : présent ; goût : normal.","Recall"
"Quel test évalue la sécrétion lacrymale dans la PFP ?","Test de Schirmer : pose de deux bandelettes pour évaluer la différence de sécrétion lacrymale entre les deux côtés.","Recall"
"Comment évalue-t-on le réflexe stapédien dans la PFP ?","Par impédancemétrie.","Recall"
"Qu’est-ce que le testing musculaire de Freyss ?","Test de 10 muscles faciaux cotés de 0 à 3. Un score ≤ 5/30 définit une PFP sévère. Muscles testés : frontal, sourcilier, orbiculaire des paupières, pyramidal, dilatateur des narines, orbiculaire des lèvres, risorius, zygomatique, buccinateur, carré du menton.","Recall"
"Quels sont les grades de l’échelle de House et Brackmann ?","Grade I à VI (normale à paralysie totale).","Recall"
