"term","definition","contextual_explanation"
"Reflux gastro-œsophagien (RGO)","Passage involontaire et sans effort du contenu gastrique vers l'œsophage.","Habituel chez les nourrissons pendant les premiers mois de vie. 1ère cause de rejet lacté."
"RGO physiologique","RGO bénin avec rejets non sanglants/non bilieux, appétit normal, croissance normale, RGO isolé.","Guérit spontanément dans 80% des cas avant 1 an. Traitement par mesures hygiéno-diététiques."
"RGO pathologique","RGO compliqué par au moins un signe : œsophagite, malaise, manifestations ORL ou pulmonaires.","Nécessite explorations et traitement spécifique."
"Sphincter inférieur de l'œsophage (SIO)","Structure musculaire empêchant le reflux gastrique.","Son inefficacité (hypotonie, relaxations inappropriées) est un mécanisme clé du RGO."
"Relaxations inappropriées transitoires du SIO","Relâchements du sphincter non liés à la déglutition.","Mécanisme du RGO."
"Malposition cardiotubérositaire","Anomalie anatomique de la jonction œsogastrique.","Facteur favorisant le RGO."
"Régurgitations","Rejet passif de petites quantités de lait.","Chez le nourrisson <5 mois non assis, per ou postprandiales, favorisées par les changements de position."
"Œsophagite","Inflammation de l'œsophage par brûlure acide.","Se manifeste par hématémèse, brûlure rétro-sternale, pyrosis, dysphagie ou odynophagie."
"Hématémèse","Vomissement de sang.","Signe d'œsophagite (tache de sang sur le bavoir)."
"Pyrosis","Sensation de remontée acide brûlante au niveau de la gorge.","Signe d'œsophagite."
"Dysphagie","Difficulté à avaler.","Signe d'œsophagite."
"Odynophagie","Douleur à la déglutition.","Signe d'œsophagite."
"Retard staturo-pondéral","Ralentissement de la croissance pondérale et staturale.","Exceptionnel dans le RGO, doit faire rechercher un syndrome de malabsorption."
"Toux à prédominance nocturne","Toux survenant surtout la nuit.","Signe extra-digestif pulmonaire du RGO (position couchée favorise le reflux)."
"Bronchite ou pneumopathie à répétition du lobe moyen","Infections respiratoires récurrentes touchant le lobe moyen.","Complication pulmonaire du RGO."
"Malaise du nourrisson","Perte de contact, pâleur, cyanose brutale, hypotonie, bradycardie.","Survient au moment de la tétée ou du RGO. Signe de RGO pathologique."
"Encéphalopathe","Enfant atteint d'une atteinte cérébrale chronique.","Terrain à risque de RGO compliqué."
"Bronchopathe chronique","Maladie pulmonaire chronique (ex: anomalie congénitale des cils).","Terrain à risque de RGO compliqué (incapacité d'évacuer les sécrétions)."
"Fibroscopie œsogastrique","Endoscopie digestive haute.","Indiquée si suspicion d'œsophagite ou hématémèse."
"pH-métrie de 24 heures","Mesure du pH œsophagien sur 24h.","Indiquée dans les formes extra-digestives (malaise, ORL)."
"Transit oeso-gastro-duodénal (TOGD)","Radiographie après ingestion de produit de contraste.","Indiqué pour les formes compliquées et en bilan préopératoire."
"Position proclive","Position inclinée, tête surélevée.","Recommandée pour éviter le RGO (jamais plat)."
"Caroube","Épaississant naturel.","Substance qui, au contact d'un liquide, devient épaisse comme de la colle ; utilisée pour épaissir le lait."
"Lait AR","Lait antirégurgitation, épaissi.","Utilisable uniquement sur ordonnance."
"Gumilk","Épaississant en poudre pour le lait maternel.","Ajouté dans le lait maternel pour traiter le RGO."
"Fractionnement alimentaire","Réduction du volume de chaque biberon avec augmentation de la fréquence.","Mesure hygiéno-diététique du RGO."
"Inhibiteur de la pompe à protons (IPP)","Médicament diminuant la sécrétion acide gastrique.","Utilisé en cas d'œsophagite et/ou nourrisson de plus de 1 an."
"Oméprazole","IPP de référence.","Posologie : 1 mg/kg/j (gélule de 20 mg)."
"Fundoplicature de Nissen","Intervention chirurgicale créant une valve antireflux.","Indication exceptionnelle : RGO compliqué, invalidant, rebelle, ou terrain particulier (encéphalopathie, atrésie de l'œsophage, hernie diaphragmatique, bronchopathie chronique)."
"Hernie hiatale","Passage d'une partie de l'estomac dans le thorax par le hiatus œsophagien.","Cause anatomique de RGO, peut nécessiter une fundoplicature."
"Atrésie de l'œsophage","Malformation congénitale avec interruption de l'œsophage.","Terrain particulier justifiant une fundoplicature en cas de RGO non contrôlé."
