"question","answer","explanation","difficulty"
"Quelle est la définition du reflux gastro-oesophagien (RGO) chez le nourrisson ?","Passage involontaire et sans effort du contenu gastrique vers l'œsophage.","Document: 'Le RGO est le passage involontaire et sans effort du contenu gastrique vers l'œsophage.'","Easy"
"Citez les deux types de RGO.","RGO physiologique et RGO pathologique.","Document: '2 types de RGO : RGO physiologique ; RGO pathologique'","Easy"
"Quels sont les trois mécanismes physiopathologiques du RGO mentionnés ?","1. Inefficacité du sphincter inférieur de l'œsophage (relaxations/hypotonies) ; 2. Inadéquation du contenu gastrique par quantité de lait >120 ml/kg/j ; 3. Anomalie anatomique (malposition cardiotubérositaire).","Document: 'PHYSIOPATHOLOGIE : MÉCANISMES'","Easy"
"Citez quatre signes digestifs du RGO.","Rejets ou régurgitations (per ou postprandiaux), hématémèse, brûlure rétro-sternale, pyrosis, dysphagie, odynophagie, retard staturo-pondéral (au choix quatre).","Document: 'Signes digestifs'","Easy"
"Citez deux signes pulmonaires extra-digestifs du RGO.","Toux à prédominance nocturne, bronchite ou pneumopathie à répétition du lobe moyen, asthme.","Document: 'Pulmonaire'","Easy"
"Citez deux signes ORL extra-digestifs du RGO.","Dyspnée laryngée (stridor), dysphonie.","Document: 'Signes ORL récurrents'","Easy"
"Quels sont les critères du RGO physiologique ?","Rejets non sanglants et non bilieux, appétit normal, croissance normale, RGO isolé.","Document: 'RGO physiologique : Tous les critères suivants'","Easy"
"Quels sont les critères du RGO pathologique ?","Un ou plusieurs : œsophagite, malaise, manifestations ORL, manifestations pulmonaires.","Document: 'RGO pathologique : 1 ou Plusieurs des critères suivants'","Easy"
"Quelle exploration fonctionnelle est indiquée en cas de suspicion d'œsophagite ?","Fibroscopie œsogastrique.","Document: 'Fibroscopie œsogastrique : Suspicion d'œsophagite ou hématémèse'","Easy"
"Quelle exploration est indiquée dans les formes extra-digestives (malaise, ORL) ?","pH-métrie de 24 heures.","Document: 'pH-métrie de 24 heures : Indiquée dans les formes extra-digestives : malaise, ORL'","Easy"
"Quel est le pourcentage de guérison spontanée du RGO avant 1 an et pourquoi ?","80%. Car à 6 mois la diversification alimentaire apporte des aliments plus lourds, et vers 1 an le sphincter inférieur de l'œsophage devient plus tonique.","Document: 'Guérit spontanément dans 80% des cas avant 1 an ; vers 6 mois : diversification... Quand l'enfant avoisine les 1 an, le SIO est plus tonique'","Medium"
"Citez six mesures hygiéno-diététiques pour le RGO.","1. Réduire les changements de position ; 2. Attendre que l'enfant rotte en position verticale ; 3. Position proclive ; 4. Rassurer les parents ; 5. Épaississement du lait (caroube, amidon, Gumilk) ; 6. Réduction du volume du biberon (fractionnement) ; 7. Rot en position proclive.","Document: 'Mesures hygiéno-diététiques'","Medium"
"Quel est le traitement médicamenteux du RGO avec œsophagite chez le nourrisson de plus d'un an ?","Inhibiteur de la pompe à protons (IPP), oméprazole à 1 mg/kg/jour.","Document: 'Inhibiteur de la pompe à protons (IPP) en cas d'œsophagite et/ou nourrisson plus de 1 an ; Oméprazole ... 1mg/kg/jour'","Medium"
"Quelle est l'indication de la fundoplicature de Nissen ?","RGO compliqué, invalidant, rebelle au traitement médical, ou RGO non contrôlé chez un terrain particulier (encéphalopathie, atrésie de l'œsophage, hernie diaphragmatique, bronchopathie chronique).","Document: 'Indication exceptionnelle ; RGO compliqué, invalidant, rebelle au traitement médical ; RGO non contrôlé chez un terrain particulier'","Medium"
"Un nourrisson de 3 mois a des régurgitations quotidiennes, mais prend du poids normalement, est souriant. Quel diagnostic et quelle attitude ?","RGO physiologique. Attitude : mesures hygiéno-diététiques seules (position proclive, épaississement du lait, fractionnement).","Document: 'RGO physiologique : croissance normale ; mesures hygiéno-diététiques suffisantes'","Medium"
