"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon le document, quels sont les deux critères définissant la constipation ?","Moins de 2 selles par semaine et selles dures","Moins de 3 selles par semaine et sensation d'exonération incomplète ou expulsion difficile","Moins de 1 selle par semaine et douleur abdominale","Selles liquides plus de 3 fois par jour","2","Le document définit la constipation par : 'Moins de 3 selles par semaine' et 'Sensation d'exonérations incomplètes / Expulsion difficile'.","Easy"
"Quelle est la principale étiologie à craindre devant une constipation ?","Constipation fonctionnelle","Cancer colorectal","Hypothyroïdie","Maladie de Parkinson","2","Le document mentionne 'Hantise : cancer' dans la conclusion et 'Organiques : colo-rectales (cancer ?)' dans la gravité.","Easy"
"Quel est le mécanisme de la dyschésie ?","Trouble de la progression du bol fécal","Trouble de l'évacuation sigmoïdo-rectale","Anomalie du contenu du bol fécal","Hypotonie colique","2","Le document définit : 'Trouble de l'évacuation sigmoïdo-rectale (dyschésie) : Sensation d'exonération incomplète'.","Easy"
"Quelle est la côte d'alerte de pression rectale pour l'envie d'aller à la selle ?","20-30 mmHg","30-40 mmHg","40-50 mmHg","50-60 mmHg","3","Document : '40-50mmHg : côte d’alerte (envie d’aller à la selle)'.","Easy"
"Quel est le temps de première coloration des selles après ingestion de rouge carmin ?","6-12 heures","12-18 heures","18-24 heures","24-48 heures","3","Document : 'Premières selles rouges : 18 - 24 h'.","Easy"
"Quel est le poids des selles considéré comme constipé selon le relevé des selles ?","< 20 g/j","< 35 g/j","< 50 g/j","< 100 g/j","2","Document : 'Constipation : < 35 g/j'.","Easy"
"Quel examen explore la défécation en cas de suspicion de dyschésie ?","Coloscopie","Manométrie recto-anale","Défécographie","Test au carmin","2","Document : 'Manométrie recto-anale : Explore la défécation (suspicion de dyschésie)'.","Easy"
"Quel est le signe endoscopique d'un abus de laxatifs irritants (anthraquinones) ?","Polypes","Mélanose (coloration noirâtre de la muqueuse)","Ulcérations","Sténose","2","Document : 'Mélanoses : coloration noirâtre de la muqueuse recto-colique (abus de laxatif irritant)'.","Easy"
"Quelle est la durée de contraction volontaire du sphincter externe qui entraîne une hypotonie recto-sigmoïdienne ?","10 secondes","15 secondes","25 secondes","30 secondes","3","Document : 'Contraction volontaire du sphincter externe pendant 25 sec : Conséquence : Hypotonie recto-sigmoïdienne...'","Easy"
"Qu'appelle-t-on anisme ?","Relâchement excessif des sphincters","Absence de relâchement du sphincter interne et externe au moment des poussées","Hypertonie du sphincter interne uniquement","Spasme du releveur de l'anus","2","Document : 'Anisme : Absence de relâchement du SI et SE au moment des poussées'.","Easy"
"Quel est le premier examen complémentaire à réaliser en cas de suspicion de lésions anales ou rectales ?","Coloscopie","Anuscopie ou rectoscopie","Lavement baryté","Défécographie","2","Document : 'Anuscopie ou une rectoscopie : Lésions anales, rectales'.","Easy"
