"term","definition","contextual_explanation"
"Constipation","Moins de 3 selles par semaine, avec sensation d’exonérations incomplètes (tsy afa-po) ou expulsion difficile.","Le document définit la constipation comme fréquente, avec des étiologies nombreuses (organiques à craindre : cancer ; fonctionnelles +++)."
"Scybales","Excréments durs et arrondis résultant d’une déshydratation et fragmentation du bol fécal.","Liées à une anomalie du contenu (bol fécal) dans les troubles de la progression."
"Dyschésie","Trouble de l’évacuation sigmoïdo-rectale donnant une sensation d’exonération incomplète.","Mécanisme physiopathologique de la constipation."
"Hyperspasmodicité segmentaire","Motricité colique exagérée mais anarchique, l’une des anomalies du contenant.","Cause de trouble de la progression du bol fécal."
"Inertie colique","Diminution de la motricité colique (hypotonie ou inertie), anomalie du contenant.","Cause de constipation par ralentissement du transit."
"Réflexe ano-sigmoïdien inhibiteur (RAI)","Mécanisme diminuant le besoin d’exonérer par contraction volontaire du sphincter externe pendant 25 secondes, entraînant hypotonie recto-sigmoïdienne, baisse de pression intra-rectale et baisse du besoin d’exonérer.","Permet la continence volontaire."
"Anisme","Absence de relâchement du sphincter interne et externe au moment des poussées défécatoires.","Trouble de l’évacuation."
"Toucher rectal (TR)","Examen clinique important, à réaliser de préférence après défécation, recherchant des matières résiduelles (dyschésie), le tonus sphinctérien et une masse intra-rectale.","Outil diagnostique clé dans la constipation."
"Mélanose colique","Coloration noirâtre de la muqueuse recto-colique observée à l’anuscopie ou rectoscopie, témoin d’un abus de laxatifs irritants (anthraquinones).","Signe d’une prise au long cours de laxatifs irritants."
"Test au carmin","Méthode de mesure du temps de transit colique : ingestion de 2 comprimés de rouge carmin ; premières selles rouges à 18-24h, dernières à 24-72h.","Exploration du transit colique."
"Marqueurs radio-opaques","Méthode alternative au test au carmin pour mesurer le temps de transit colique.","Examen complémentaire non systématique."
"Manométrie recto-anale","Examen explorant la défécation, mesurant les pressions ano-rectales, indiqué en cas de suspicion de dyschésie.","Explore les troubles de l’évacuation."
"Défécographie","Radiographie recto-anale de profil réalisée pendant la défécation d’un produit opaque, recherchant des troubles statiques et dynamiques.","Indiquée dans les troubles de l’évacuation."
"Signes d’alarme (constipation)","Critères imposant une coloscopie totale : apparition récente, sujet >40 ans, rectorragie, anémie, AEG.","Permet de ne pas méconnaître une cause organique, notamment un cancer."
"Causes occasionnelles","Constipation survenant dans des situations transitoires : post-opératoire, alitement, fièvre, grossesse.","Étiologies non préoccupantes."
"Iatrogène","Constipation due à des médicaments : opiacés, anticholinergiques, phénophtaléine, anthraquinones.","Cause secondaire fréquente."
"Constipation primitive","Constipation fonctionnelle liée à une alimentation pauvre en fibres, ration hydrique insuffisante, vie sédentaire, éducation, vie scolaire.","Étiologie la plus fréquente, bénigne."
"Hantise (constipation)","Crainte principale du clinicien : le cancer colorectal.","Raison pour laquelle les signes d’alarme imposent une coloscopie."
"Anuscopie","Examen endoscopique de l’anus et du bas rectum, permet de visualiser lésions anales, hémorroïdes, fissures, mélanoses.","Premier examen complémentaire non systématique."
"Rectoscopie","Endoscopie du rectum, complémentaire de l’anuscopie.","Recherche de lésions rectales."
"Lavement baryté","Examen radiologique du côlon avec produit de contraste baryté, alternative à la coloscopie.","Indiqué surtout si coloscopie impossible ou pour complément."
"EMG colique","Enregistrement des rythmes électriques du côlon et du sphincter interne, indiqué en suspicion d’inertie colique d’origine neurologique.","Examen spécialisé."
