"term","definition","contextual_explanation"
"Dysenterie","Syndrome dysentérique traduisant une inflammation du côlon et du rectum, avec présence de sang et de glaire dans les selles.","Pathologie fréquente en milieu tropical, peut révéler une néoplasie."
"Syndrome dysentérique","Tableau clinique associant épreinte, ténesme et selles glaireuses et sanguinolentes.","Forme typique de la dysenterie."
"Épreinte","Douleur abdominale paroxystique du cadre colique, exacerbée en fosse iliaque droite vers le sphincter anal, avec envie impérieuse de déféquer, soulagée par l’émission des selles.","Un des trois signes de la triade dysentérique."
"Ténesme","Sensation douloureuse de tension du sphincter anal, avec sensation de corps étranger rectal et faux besoin incessant (émission minime de sang ou de glaire).","Deuxième signe de la triade."
"Selles glaireuses et sanguinolentes","Selles contenant du mucus et du sang, parfois mucopurulentes, afécales, odeur fade non fétide, 5 à 15 par jour ou plus.","Troisième signe de la triade."
"Shigellose","Infection bactérienne due à Shigella, responsable d’un syndrome dysentérique fébrile d’incubation courte, début brusque.","Principale cause bactérienne fébrile."
"Salmonelloses mineures","Infections à Salmonella Enteritidis ou S. typhi murium, donnant un syndrome dysentérique fébrile. Diagnostic par hémoculture, coproculture (1ère semaine), sérodiagnostic (2ème semaine).","Cause bactérienne."
"Yersiniose","Infection à Yersinia enterocolitica, transmise par produits laitiers ou viandes, donnant syndrome dysentérique, arthralgie, érythème noueux. Diagnostic : coproculture, sérologie.","Cause bactérienne."
"Campylobacter jejuni","Bactérie fréquemment responsable de toxi-infection alimentaire collective (TIAC) avec syndrome dysentérique.","Cause bactérienne."
"Dysenterie amibienne","Infection par Entamoeba histolytica, fréquente à Madagascar, début progressif, syndrome dysentérique apyrétique, état général conservé. Diagnostic : rectoscopie (lésions en coup d’ongles, abcès en bouton de chemise), selles fraîches (amibes hématophages), sérologie positive.","Principale cause parasitaire non fébrile."
"Amibes hématophages","Amibes ayant ingéré des globules rouges, observées sur les selles fraîches dans la dysenterie amibienne.","Signe diagnostique clé."
"Rectoscopie","Examen endoscopique du rectum permettant de visualiser les lésions de rectite amibienne (tâches purpuriques, exulcérations en coup d’ongles, abcès en bouton de chemise) et de faire des prélèvements.","Outil diagnostique important."
"Exulcérations en coup d’ongles","Lésions caractéristiques de la rectite amibienne, avec enduit blanchâtre.","Aspect endoscopique."
"Abcès en bouton de chemise","Lésion abcédée de la paroi rectale dans l’amibiase.","Aspect endoscopique."
"Amoebome colique","Pseudo-tumeur colique due à l’amibiase, confirmée par coloscopie, biopsie et anatomie pathologique (absence de cellules tumorales).","Complication de la dysenterie amibienne."
"Dysenterie bilharzienne","Due à Schistosoma mansoni, intercalatum ou japonicum. Syndrome dysentérique mineur, inconstant. Diagnostic : séjour en zone d’endémie, bains en eau douce, éosinophilie >500/ml, œufs dans selles, sérologie positive, coloscopie avec biopsie montrant granulome centré par un œuf.","Cause parasitaire non fébrile."
"Colite pseudo-membraneuse","Infection à Clostridium difficile survenant après antibiothérapie à large spectre (pénicillines, macrolides, lincomycine, quinolones), environ 3 jours après. Clinique : AEG, diarrhée abondante sanglante avec fausses membranes. Endoscopie : plaques jaunâtres adhérentes. Diagnostic : recherche de toxines de Clostridium difficile dans les selles.","Cause post-antibiotique."
"Colite hémorragique à l’ampicilline","Colite survenant entre le 2ème et 7ème jour après prescription d’ampicilline, avec diarrhée sanglante. Coloscopie : suffusions hémorragiques (la muqueuse pleure le sang).","Cause post-antibiotique."
"Suffusions hémorragiques","Épanchements de sang sous la muqueuse, aspect caractéristique de la colite à l’ampicilline.","Signe endoscopique."
"Cancers colorectaux","Néoplasies du côlon ou du rectum pouvant se révéler par un syndrome dysentérique, surtout chez le sujet >40 ans, avec résistance au traitement.","Cause tumorale à éliminer."
"Colites primitives","Maladies inflammatoires chroniques de l’intestin : maladie de Crohn et rectocolite ulcéro-hémorragique (RCH).","Causes non infectieuses."
"Colites ischémiques","Inflammation colique par défaut d’irrigation, survenant chez le sujet âgé.","Cause non infectieuse."
"Poussée de colopathie fonctionnelle","Exacerbation du syndrome de l’intestin irritable pouvant rarement donner un syndrome dysentérique.","Diagnostic différentiel."
