"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition du syndrome dysentérique selon le document ?","Diarrhée aqueuse abondante","Inflammation du côlon et du rectum avec présence de sang et de glaire","Diarrhée motrice sans sang","Malabsorption des graisses","2","Le document : 'Un syndrome dysentérique traduit une inflammation du côlon et du rectum d’où la présence de sang et de glaire'.","Easy"
"Quels sont les trois éléments de la triade du syndrome dysentérique ?","Nausées, vomissements, fièvre","Epreinte, ténesme, selles glaireuses et sanguinolentes","Douleur abdominale, diarrhée, amaigrissement","Fièvre, frissons, sueurs","2","Document : 'Formes typiques : triade : 1. Epreinte, 2. Ténesme, 3. Selles glaireuses et sanguinolentes'.","Easy"
"Qu'est-ce que l'épreinte ?","Sensation de tension du sphincter anal","Douleur abdominale paroxystique du cadre colique avec envie impérieuse de déféquer, soulagée par l'émission des selles","Selles glaireuses","Faux besoin incessant","2","Document : description détaillée de l'épreinte.","Easy"
"Qu'est-ce que le ténesme ?","Douleur abdominale","Sensation douloureuse de tension du sphincter anal avec sensation de corps étranger et faux besoin incessant","Selles sanglantes","Fièvre","2","Document : 'Ténesme : Sensation douloureuse de tension du sphincter anal... sensation de corps étranger rectal... sensation de faux besoin incessant'.","Easy"
"Quelle est la principale cause de syndrome dysentérique fébrile selon le document ?","Amibiase","Shigellose","Bilharziose","Cancer","2","Document : 'Syndrome dysentérique fébrile : Bactérienne : shigelloses +++'.","Easy"
"Dans quel contexte évoque-t-on une dysenterie amibienne ?","Syndrome dysentérique fébrile","Syndrome dysentérique non fébrile avec état général conservé","Diarrhée aqueuse","Diarrhée post-antibiotique","2","Document : 'Syndrome dysentérique apyrétique, Etat général bien conservé'.","Easy"
"Quel examen permet de visualiser des exulcérations en 'coup d'ongles' dans la dysenterie amibienne ?","Coloscopie","Rectoscopie","Lavement baryté","Scanner","2","Document : 'Rectoscopie : Lésions de rectite amibienne : Exulcérations en “coup d’ongles”'.","Easy"
"Quel est l'aspect endoscopique des colites pseudo-membraneuses à Clostridium difficile ?","Ultras d'ongles","Plaques jaunâtres adhérentes","Suffusions hémorragiques","Polypes","2","Document : 'Endoscopie : Plaques jaunâtres adhérentes'.","Easy"
"Quelle est la complication classique de la dysenterie amibienne ?","Bilharziose hépatique","Abcès hépatique","Cancer du côlon","Péritonite","2","Document : 'Abcès hépatique : amibiase hépatique'.","Easy"
"Quelle est la cause de dysenterie non fébrile à évoquer en priorité chez un patient de plus de 40 ans résistant au traitement ?","Amibiase","Bilharziose","Cancer colo-rectal","MICI","3","Document : 'Cancer : côlon et rectum (sujet > 40 ans et résistance à un traitement bien mené)'.","Easy"
"Quel germe est responsable des colites pseudo-membraneuses post-antibiotiques ?","E. coli","Clostridium difficile","Salmonella","Shigella","2","Document : 'Colites pseudo-membraneuses : Clostridium difficile'.","Easy"
"Quel est le délai d'apparition des colites pseudo-membraneuses après antibiothérapie ?","24 heures","3 jours","7 jours","15 jours","2","Document : '3 jours après ATP large spectre'.","Easy"
"Quel est le principal agent de la dysenterie bilharzienne ?","Schistosoma haematobium","Schistosoma mansoni, intercalatum, japonicum","Schistosoma mekongi","Schistosoma haematobium","2","Document : 'Schistosoma mansoni - intercalatum - japonicum'.","Easy"
"Quelle est la triade du syndrome dysentérique selon la conclusion ?","Douleur, fièvre, diarrhée","Epreinte, ténesme, selles glairo-sanguinolentes","Nausées, vomissements, ténesme","Selles liquides, glaires, fièvre","2","Conclusion : 'Triade : épreinte, ténesme ; selles glairo-sanguinolentes'.","Easy"
"Expliquez la différence entre l'épreinte et le ténesme.","L'épreinte est une douleur abdominale paroxystique avec envie impérieuse soulagée par la défécation ; le ténesme est une sensation douloureuse de tension anale avec faux besoin.","Document.","Medium"
"Quels sont les deux types d'atteinte colique post-antibiotique cités ?","Colite pseudo-membraneuse à C. difficile et colite hémorragique à l'ampicilline","Colite à shigelle et colite à salmonelle","Colite ischémique et colite radique","Colite à E. coli et colite à Campylobacter","1","Document.","Medium"
"Quelles sont les lésions rectoscopiques de la rectite amibienne ? (Citez-en trois)","Tâches purpuriques, exulcérations en coup d'ongles, abcès en bouton de chemise, aspect érythémateux.","Document.","Medium"
"Quels sont les signes cliniques de la shigellose ?","Incubation courte, début brusque, syndrome dysentérique fébrile, parfois manifestations rhumatologiques.","Document.","Medium"
"Quels sont les deux examens complémentaires pour diagnostiquer une salmonellose ?","Hémoculture et coproculture (1ère semaine), sérodiagnostic (2ème semaine).","Document.","Medium"
"Quels sont les signes extra-digestifs de la yersiniose ?","Arthralgie, érythème noueux.","Document.","Medium"
"Quel est l'intérêt de la rectoscopie dans la dysenterie amibienne ?","Prélèvement de glaire et visualisation des lésions caractéristiques.","Document.","Medium"
"Comment se fait la recherche d'amibe dans la dysenterie amibienne ?","Selles fraîches émises au laboratoire, recherche d'amibes hématophages.","Document.","Medium"
"Qu'est-ce qu'un amoebome colique ?","Pseudo-tumeur colique due à l'amibiase, sans cellules tumorales à la biopsie.","Document.","Medium"
"Quels sont les critères diagnostiques de la dysenterie bilharzienne ?","Séjour en zone d'endémie, bain en eau douce, éosinophilie, œufs dans selles, sérologie positive, biopsie rectale avec granulome centré par un œuf.","Document.","Medium"
"Quelle est la complication classique de la bilharziose intestinale ?","Bilharziose hépatique avec hypertension portale.","Document.","Medium"
"Quels sont les germes bactériens responsables de syndrome dysentérique autres que Shigella, Salmonella, Yersinia ?","Campylobacter jejuni, Escherichia coli entéropathogènes.","Document.","Medium"
"Quelles sont les colites primitives responsables de dysenterie ?","Maladie de Crohn, rectocolite ulcéro-hémorragique (RCH).","Document.","Medium"
"Dans quel contexte évoque-t-on une colite ischémique ?","Sujets âgés.","Document.","Medium"
"Quelle est la particularité de l'odeur des selles dysentériques ?","Odeur fade non fétide.","Document.","Easy"
"Quel est le nombre de selles par jour dans un syndrome dysentérique typique ?","5 à 15 selles par jour ou plus.","Document.","Easy"
"Quel est le mode de début de la dysenterie amibienne ?","Début progressif.","Document.","Easy"
"Quel est le mode de début de la shigellose ?","Début brusque.","Document.","Easy"
"Quelle est la sérologie amibienne positive pendant combien de temps ?","Jusqu'à 10 mois voire plusieurs années.","Document.","Medium"
"Un patient de 45 ans présente un syndrome dysentérique fébrile. Quel est le premier diagnostic à évoquer ?","Shigellose (bactérienne).","Document.","Difficult"
