"front","back","cognitive_level"
"Qu’est-ce que la rétinopathie diabétique (RD) ?","Microangiopathie rétinienne secondaire à des atteintes capillaires liées à une hyperglycémie chronique.","Recall"
"Quelle est la prévalence de la rétinopathie diabétique dans le monde et à Antananarivo ?","Monde : 28,7 %. France : 40 %. Antananarivo (2015) : 65 %.","Recall"
"Quelle est l’incidence de la RD après 15 à 20 ans d’évolution selon le type de diabète ?","Type 1 : 95 %. Type 2 : 60 %. 20 % des diabétiques de type 2 présentent une RD dès la découverte.","Recall"
"Quelle est la gravité de la rétinopathie diabétique en termes de cécité ?","Troisième cause de cécité dans le monde. Première cause de cécité avant 50 ans. 5 % des déficiences visuelles dans le monde.","Recall"
"Quelles sont les trois lésions initiales de la rétinopathie diabétique au niveau capillaire ?","1) Épaississement de la membrane basale de l’endothélium capillaire rétinien. 2) Dégénérescence des péricytes. 3) Perte des cellules endothéliales des capillaires rétiniens aboutissant à obstruction et dilatation capillaire avec microanévrysmes.","Recall"
"Quel est le mécanisme moléculaire des lésions capillaires dans la RD ?","Hyperglycémie chronique → activation de la voie aldolase-réductase → accumulation intracellulaire de sorbitol → glycosylation des protéines (épaississement membrane basale) → activation des protéines kinases.","Recall"
"Quelles sont les modifications rhéologiques observées dans la RD ?","Hyperagrégation plaquettaire, hyperviscosité sanguine, modification des facteurs de coagulation.","Recall"
"Quelle est la conséquence de l’occlusion étendue des capillaires rétiniens ?","Hypoxie et ischémie rétinienne → sécrétion de VEGF (facteur de croissance angiogénique) → néovascularisation (rétine, iris, angle irido-cornéen).","Recall"
"Quelles sont les conséquences des néovaisseaux dans la RD proliférante ?","Hémorragie rétinienne ou intravitréenne, tissus fibreux de soutien → DR tractionnel, prolifération dans l’iris → rubéose irienne, prolifération dans l’angle → glaucome néovasculaire.","Recall"
"Qu’est-ce que l’œdème maculaire dans la RD et comment survient-il ?","Accumulation de liquide dans le compartiment extracellulaire de la rétine au niveau de la macula, secondaire à l’hyperperméabilité capillaire (rupture de la BHR).","Recall"
"Quels sont les facteurs favorisants de la RD ?","HTA, hyperlipidémie, hyperuricémie, tabac, alcool.","Recall"
"Quels sont les signes cliniques précoces de la RD au fond d’œil ?","Microanévrysmes (premiers signes visibles), hémorragies intra-rétiniennes, exsudats secs, nodules cotonneux.","Recall"
"Que sont les microanévrysmes dans la RD ?","Ectasies de la paroi capillaire. Tâches ponctiformes rouges de petite taille. Prédominent au pôle postérieur. Situés au niveau de la disparition des péricytes (absence de soutien).","Recall"
"Quel est l’aspect des exsudats secs dans la RD ?","Accumulations de lipoprotéines dans la rétine. Jaunes, profonds, disposés en couronne (exsudats circinés).","Recall"
"Que sont les nodules cotonneux dans la RD ?","Lésions blanches superficielles, secondaires à des occlusions des artérioles pré-capillaires. Localisation pré-papillaire.","Recall"
"Que sont les AMIR (anomalies microvasculaires intra-rétiniennes) ?","Anomalies microvasculaires intra-rétiniennes visibles sur l’angiographie.","Recall"
"Quels sont les signes de la rétinopathie diabétique proliférante (RDP) ?","Néovaisseaux pré-rétiniens, néovaisseaux pré-papillaires.","Recall"
"Quels sont les signes de la RDP compliquée ?","Hémorragie intravitréenne, prolifération vitréo-rétinienne, décollement de rétine, rubéose irienne, glaucome néovasculaire.","Recall"
"Quelles sont les 3 principales imageries complémentaires de la RD ?","Angiographie rétinienne à la fluorescéine, OCT (tomographie à cohérence optique), échographie oculaire mode B.","Recall"
"À quoi sert l’angiographie rétinienne à la fluorescéine dans la RD ?","Rechercher des lésions non visibles au FO (ischémie rétinienne, œdème rétinien, néovaisseaux), poser les indications thérapeutiques, contrôler l’efficacité des traitements.","Recall"
"Quelle est la classification de la RD selon la Société francophone du diabète ?","6 stades : 1) Pas de RD. 2) RDNP minime (microanévrysmes). 3) RDNP modérée (exsudats secs, nodules cotonneux, hémorragies punctiformes). 4) RDNP sévère/pré-proliférante (modifications veineuses, hémorragies étendues). 5) RDP (néovaisseaux). 6) RDP compliquée (hémorragie vitréenne, prolifération, DDR, rubéose, glaucome néovasculaire).","Recall"
"Qu’est-ce que la maculopathie diabétique ?","Œdème maculaire diabétique, pouvant être associé à chaque stade de RD. Classifié en minime, modéré ou sévère selon la position par rapport au centre de la macula. Sévère = œdème au centre de la macula.","Recall"
"Quels sont les buts du traitement de la RD ?","Freiner l’évolution de la rétinopathie, éviter et traiter les complications.","Recall"
"Quels sont les moyens du traitement médical de la RD ?","Équilibre glycémique et tensionnel, traitement des facteurs de risque, injections intravitréennes d’anti-VEGF.","Recall"
"Quel est le principe du traitement par photocoagulation laser dans la RD ?","Destruction des zones d’hypoxie et des zones de diffusion œdémateuse. Peut être panrétinienne, focale ou endolaser.","Recall"
"Quelle est l’indication de la vitrectomie dans la RD ?","Nettoyage des hémorragies vitréennes, section des proliférations membraneuses, chirurgie d’un décollement de rétine.","Recall"
"Quels sont les principes du dépistage de la RD selon le type de diabète ?","Type 1 : fond d’œil 5 ans après la découverte. Type 2 : fond d’œil dès le diagnostic. Puis fond d’œil annuel pour tous.","Recall"
"Quelle est la fréquence de surveillance du FO selon le stade de RD ?","Pas de RD : annuel. RD minime : annuel (+/- angio). RDNP modérée : tous les 6 mois à 1 an. RDNP sévère : tous les 4 à 6 mois. RDP : 2 à 4 mois après fin du traitement.","Recall"
"Quelles sont les situations particulières de surveillance de la RD ?","Adolescence et puberté, femme enceinte, équilibration rapide de la glycémie (aggravation de l’hypoxie rétinienne chez patients en pré-coma).","Recall"
"Pourquoi la rétinopathie diabétique est-elle longtemps asymptomatique ?","Les lésions débutent au niveau des capillaires périphériques sans atteindre immédiatement la macula. La BAV n’apparaît qu’au stade avancé (œdème maculaire, hémorragie vitréenne, DR maculaire).","Understanding"
"Expliquez le passage de la RD non proliférante à la RD proliférante.","L’occlusion étendue des capillaires rétiniens → hypoxie et ischémie rétinienne → sécrétion de VEGF → néovascularisation (rétine, iris, angle). La présence de néovaisseaux définit le stade proliférant.","Understanding"
"Pourquoi 2 gouttes de sang dans le vitré suffisent-elles à entraîner une cécité ?","Le sang dans le vitré devient opaque, empêchant les rayons lumineux d’atteindre la rétine. Même un petit volume peut provoquer une hémorragie vitréenne massive par diffusion ou par lyse des globules rouges, rendant l’œil aveugle tant que le sang n’est pas résorbé ou retiré.","Understanding"
"Un diabétique de type 2 est diagnostiqué aujourd’hui. Quand doit-il réaliser son premier fond d’œil de dépistage ?","Dès le diagnostic (fond d’œil immédiat), car 20 % des diabétiques de type 2 présentent déjà une RD au moment du diagnostic.","Application"
"Un patient diabétique de type 1 depuis 10 ans consulte pour une baisse progressive de la vision. Au FO : microanévrysmes, hémorragies punctiformes, exsudats secs, pas de néovaisseaux. Quel est le stade de RD selon la classification ?","RDNP modérée (stade 3 : exsudats secs, nodules cotonneux, hémorragies punctiformes).","Application"
"Comparez la prise en charge d’une RDNP minime versus une RDP compliquée.","RDNP minime : surveillance annuelle du FO, équilibre glycémique/tensionnel. RDP compliquée (hémorragie vitréenne, DDR, rubéose, glaucome néovasculaire) : vitrectomie + laser + anti-VEGF, surveillance rapprochée (2-4 mois).","Analysis"
