"term","definition","contextual_explanation"
"Varicelle","Primo-infection par le VZV (Virus Zona Varicelle).","Maladie fréquente (90% avant 10 ans), contagieuse, immunité durable."
"VZV","Virus Zona Varicelle, Herpès virus type 3.","Agent causal de la varicelle et du zona."
"Incubation","Période entre contamination et premiers signes.","Pour la varicelle : 14 jours."
"Contagiosité","Période pendant laquelle le sujet peut transmettre la maladie.","Varicelle : 1-2 jours avant l'apparition des vésicules jusqu'à J7."
"Phase d'invasion","Première phase clinique de la varicelle.","Durée 2 jours : fièvre modérée, rash scarlatiniforme fugace pré-éruptif (rare)."
"Phase éruptive","Phase d'apparition des vésicules.","Débute 2 semaines après le contage. Vésicules devenant croûteuses (J4-J10), siège diffus (cuir chevelu inclus), 2-3 poussées successives (éléments d'âge différent)."
"Exanthème","Éruption cutanée.","Varicelle : vésicules prurigineuses évoluant en croûtes."
"Vésicules","Petites élevures cutanées remplies de liquide.","Dans la varicelle, deviennent croûteuses en 4 à 10 jours."
"Énanthème buccal érosif","Lésions érosives sur la muqueuse buccale.","Signe associé de la phase éruptive de la varicelle."
"Micropolyadénopathie","Présence de petites adénopathies multiples.","Signe associé de la varicelle."
"Surinfection bactérienne","Infection surajoutée à la varicelle.","Due à Staphylococcus aureus ou Streptococcus pyogenes, complication fréquente."
"Syndrome de Reye","Atteinte hépatique et cérébrale grave.","Déclenché par l'aspirine (AINS) lors de la varicelle."
"Cérébellite","Inflammation du cervelet.","Complication neurologique possible de la varicelle."
"PCR spécifique VZV","Amplification génique détectant le VZV.","Examen de confirmation chez l'immunodéprimé."
"IgM spécifiques sériques","Anticorps IgM anti-VZV.","Présents en phase aiguë, confirmation diagnostique."
"Antiseptique (chlorhexidine)","Désinfectant cutané.","Recommandé pour les lésions de varicelle : non alcool, non coloré, 2 fois par jour."
"Antihistaminique","Médicament contre les démangeaisons.","Traitement symptomatique du prurit."
"AINS","Anti-inflammatoires non stéroïdiens (aspirine, ibuprofène...).","Contre-indiqués dans la varicelle (risque de syndrome de Reye)."
"Éviction scolaire","Mesure d'éloignement de l'école.","Non obligatoire pour la varicelle, mais fréquentation non recommandée."
"Isolement","Mesure de confinement d'un patient contagieux.","Recommandé en cas d'hospitalisation (isolement+++)."
"Vaccination varicelle","Vaccin contre le VZV.","Non recommandée systématiquement selon le document."
