"question","answer","explanation","difficulty"
"Quelles sont les trois principales appellations de la colopathie fonctionnelle selon le document ?","Troubles fonctionnels intestinaux, colopathie spasmodique, syndrome de l'intestin irritable.","Document dans 'Autres appellations'.","Easy"
"Quels sont les trois éléments de la triade clinique évocatrice de colopathie fonctionnelle ?","Douleur abdominale (90%), trouble du transit (diarrhée ou constipation ou alternance), ballonnement abdominal.","Document.","Easy"
"Quels sont les trois facteurs aggravant la douleur abdominale dans la colopathie fonctionnelle ?","Repas copieux, stress, fatigue.","Document.","Easy"
"Quel est le mécanisme d'action de la libération excessive de 5HT3 dans la physiopathologie de la colopathie fonctionnelle ?","La 5HT3 est un neurotransmetteur de la douleur ; sa libération excessive augmente la sensibilité digestive et contribue à l'hypersensibilité viscérale.","Document : 'Libération excessive de 5HT3 (neurotransmetteur de la douleur)'.","Medium"
"Quels sont les trois examens biologiques de base recommandés dans le bilan d'une suspicion de colopathie fonctionnelle ?","Bilan inflammatoire, hémogramme, TSH-T4 (surtout si diarrhée).","Document.","Easy"
"Selon les critères de ROME IV, quelles sont les trois conditions associées aux douleurs abdominales pour le diagnostic de TFI ?","1. Amélioration après la défécation, 2. Modification de la fréquence des selles, 3. Modification de la consistance des selles (Classification de BRISTOL).","Document.","Medium"
"Quels sont les quatre types de formes cliniques incomplètes de colopathie fonctionnelle ?","1. Douleur abdominale sans trouble du transit, 2. Douleur + diarrhée, 3. Douleur + constipation, 4. Douleur + alternance diarrhée-constipation.","Document.","Medium"
"Quels sont les trois diagnostics différentiels des douleurs sus-ombilicales ?","Biliaires, gastro-duodénales, pancréatique.","Document.","Easy"
"Quels sont les quatre diagnostics différentiels des douleurs sous-ombilicales ?","Colique néphrétique, pathologie gynécologique, sigmoïdite, appendicite.","Document.","Easy"
"Quels sont les trois diagnostics différentiels de la constipation dans le cadre du TFI ?","Cancer, colite inflammatoire, hypothyroïdie.","Document.","Medium"
"Quels sont les trois diagnostics différentiels de la diarrhée chronique ?","Médicamenteuse, endocrinienne, pathologie organique (cancer colo-rectal, tumeur villeuse).","Document.","Medium"
"Expliquez le mécanisme de l'hypersensibilité digestive dans la colopathie fonctionnelle selon le document.","Trois mécanismes : augmentation de la sensibilité des récepteurs, libération excessive de 5HT3, et atteinte centrale (trouble de l'intégration des messages sensitifs digestifs).","Document dans 'Explications'.","Medium"
"Quels sont les trois troubles de la motricité décrits dans la colopathie fonctionnelle ?","1. Hyperactivité des contractions segmentaires recto-sigmoïdiennes (dyschésie), 2. Diminution des contractions (constipation), 3. Spasmes avec ralentissement ou accélération du transit.","Document.","Medium"
"Quel est le résultat du test au ballonnet chez les sujets sains et chez les patients atteints de TFI ?","Chez les sujets sains, simple gêne dans 5% des cas. Chez les patients TFI, une distension minime provoque une douleur.","Document.","Medium"
"Quels sont les facteurs psychologiques et sociologiques associés au TFI selon le document ? (Citez-en six)","Stress, événements antérieurs (abus sexuels, contraintes physiques), dépression/anxiété, femme > homme, citadin > campagnard, intellectuels > manuels.","Document.","Medium"
"Quels sont les trois facteurs déclenchants des poussées de colopathie fonctionnelle ?","Surmenage, stress, écart de régime.","Document.","Easy"
