"question","answer","explanation","difficulty"
"Quelle est la différence entre une crise occasionnelle et l'épilepsie ?","Une crise occasionnelle est une réponse à une maladie passagère, ne s'inscrivant pas dans le cadre d'une épilepsie. L'épilepsie est une affection chronique caractérisée par la répétition des crises épileptiques.","Le document donne ces définitions.","Easy"
"Quelles sont les trois phases d'une crise grand mal (tonico-clonique généralisée) ?","1. Phase tonique : blocage de la respiration, cyanose. 2. Phase clonique : contractions et décontractions des muscles fléchisseurs. 3. Phase résolutive (stertoreuse) : hypotonie, perte d'urine, amnésie.","Le document les décrit.","Easy"
"Quels sont les critères de la convulsion hyperthermique simple ?","Âge entre 6 mois et 5 ans, fièvre >38,5°C, crise lors de la montée de température, exclusion d'infection du SNC, examen neurologique normal post-crise, crise tonico-clonique généralisée de durée <15 minutes, unique dans l'épisode fébrile, EEG normal.","Le document les énumère.","Easy"
"Quels sont les trois facteurs de risque de récidive des convulsions hyperthermiques ?","Âge <1 an lors de la première crise, antécédents familiaux de convulsions fébriles, température peu élevée lors de la première crise.","Le document les cite.","Easy"
"Quels sont les diagnostics différentiels des convulsions chez l'enfant de moins de 1 an ?","RGO (syndrome de Sandifer), malaise cardiaque, apnée, trémulation, myoclonies du sommeil.","Le document les liste.","Easy"
"Quels sont les diagnostics différentiels chez l'enfant de plus de 1 an ?","Syncope vagale, malaise cardiaque, spasme du sanglot, vertige paroxystique bénin, terreurs nocturnes, crises d'hystérie, myoclonies du sommeil.","Le document les liste.","Easy"
"Qu'est-ce que le spasme du sanglot ?","Un diagnostic différentiel chez le nourrisson (environ 12 mois) : l'enfant pleure beaucoup, bloque sa respiration en fin de pleur, devient cyanosé et peut avoir une convulsion. La crise va se répéter jusqu'à un certain âge.","Le document le décrit.","Easy"
"Quels sont les signes en faveur d'une épilepsie (début d'épilepsie) ?","Récurrence des crises, lien avec le sommeil (endormissement, sommeil, réveil), retard psychomoteur, examen neurologique anormal.","Le document les donne.","Medium"
"Quelle est la différence entre une convulsion hyperthermique simple et complexe ?","Simple : généralisée, durée <15 mn, unique par épisode, examen normal. Complexe : unilatérale ou déficit post-critique, durée >15 mn, répétée dans le même épisode fébrile.","Le document les distingue.","Medium"
"Quels sont les éléments à préciser lors de la description d'une crise convulsive ?","Caractère fébrile ou non, mouvements observés (toniques, cloniques, etc.), aspect focal ou généralisé, existence d'un déficit moteur post-critique, durée, éléments en faveur d'une épilepsie.","Le document les liste.","Medium"
"Quelle est la conduite à tenir selon le PCIME devant une crise convulsive ?","La crise convulsive est considérée comme grave, il faut référer l'enfant. Le traitement d'urgence est le diazépam en intra-rectal à la dose de 0,5 mg/kg sans dépasser 10 mg.","Le document le précise.","Medium"
"Qu'est-ce que l'état de mal convulsif ?","Une crise qui dure plus de 15 minutes, ou des crises itératives (brèves mais répétitives) sans reprise de conscience entre les crises.","Le document le définit.","Medium"
"Quelles sont les causes de convulsions occasionnelles sans fièvre ?","Métaboliques (déshydratation, troubles ioniques, hypoglycémie), intoxications, traumatisme crânien (HSD, bébé secoué), hypoxie cérébrale aiguë (arrêt cardiaque, noyade), AVC, tumeurs, épilepsie.","Le document les énumère.","Medium"
"Quelles sont les causes de convulsions occasionnelles avec fièvre ?","Convulsion hyperthermique simple (95%), infection du SNC (bactérienne, virale, fongique, parasitaire), convulsion hyperthermique complexe.","Le document les cite.","Medium"
"Quel est le risque de récidive d'une convulsion hyperthermique selon l'âge ?","Si première crise avant 1 an : 50% de récidive. Après 3 ans : 10% de récidive.","Le document donne ces chiffres.","Medium"
"Quel est le risque de développer une épilepsie après des convulsions hyperthermiques ?","2 à 3% des enfants deviendront épileptiques.","Le document le donne.","Medium"
"Un enfant de 8 mois a une première convulsion avec fièvre à 38°C. La crise dure 2 minutes, généralisée. L'examen neurologique est normal. Quels sont les facteurs de risque de récidive présents ?","Âge <1 an (8 mois), température peu élevée (38°C). Antécédents familiaux non précisés. Risque de récidive élevé (50%).","Basé sur les facteurs de risque.","Medium"
"Un enfant de 14 mois a une convulsion hyperthermique complexe avec déficit post-critique. Que faut-il rechercher en priorité ?","Une infection du système nerveux central (méningite, encéphalite) ou une autre lésion cérébrale. Une imagerie cérébrale et une ponction lombaire sont indiquées.","Le document différencie simple et complexe, la complexe impose de rechercher une cause organique.","Medium"
"Quel est le traitement d'urgence d'une crise convulsive en cours selon le document ?","Diazépam en intra-rectal : 0,5 mg/kg sans dépasser 10 mg. La solution peut être préparée avec de l'eau du robinet.","Le document le donne.","Medium"
"Un enfant a une convulsion, l'EEG montre des bouffées synchrones à 3 cycles par seconde. Quelle épilepsie évoquer ?","Absence épileptique (Petit Mal) typique de l'enfant.","Le document le mentionne.","Difficult"
"Un nourrisson de 4 mois a des spasmes en flexion en salves, avec arrêt du développement psychomoteur. Quel diagnostic ?","Syndrome de West.","Le document : 'Syndrome de West : spasme en flexion'.","Difficult"
"Un enfant de 2 ans a une perte de connaissance brève après un choc émotionnel, sans convulsion. Quel diagnostic différentiel ?","Syncope vagale.","Le document le cite.","Difficult"
"Un enfant de 10 ans a des épisodes de peur intense nocturne, crie, agité, ne se souvient pas le matin. Quel diagnostic différentiel ?","Terreurs nocturnes.","Le document les cite.","Difficult"
"Un enfant de 18 mois a des crises où il devient tout mou, perd connaissance, sans convulsion, après une frustration. Quel diagnostic différentiel ?","Spasme du sanglot (forme hypotonique) ou syncope.","Le document mentionne le spasme du sanglot.","Difficult"
"Quel est le pronostic à long terme des convulsions hyperthermiques simples ?","Excellent : pas de séquelles neurologiques, risque d'épilepsie seulement 2-3%, récidives possibles mais diminuant avec l'âge.","Synthèse du document.","Difficult"
"Un enfant a une convulsion fébrile à 2 ans, crise tonico-clonique de 10 minutes, unique. Est-ce simple ou complexe ?","Simple car durée <15 minutes, généralisée, unique. La limite de 15 minutes n'est pas dépassée.","Basé sur les critères.","Difficult"
"Un enfant a une convulsion fébrile à 3 ans, crise unilatérale de 5 minutes, unique. Est-ce simple ou complexe ?","Complexe car unilatérale, même si durée courte.","Le document : 'Crises unilatérales ... sont des complexes'.","Difficult"
"Quel est le risque d'épilepsie après une convulsion hyperthermique complexe ?","Plus élevé que pour les simples (non quantifié dans le document, mais logiquement plus important).","Le document ne donne pas de chiffre spécifique pour les complexes.","Difficult"
"Un enfant a une première convulsion à 6 mois avec fièvre à 38,2°C. Quelle est la probabilité de récidive ?","50% car âge <1 an.","Le document : '50% si 1ère crise avant 1an'.","Difficult"
