"term","definition","contextual_explanation"
"Syndrome néphrotique (SN)","Ensemble de manifestations cliniques et biologiques provoqué par une forte protéinurie (≥50 mg/kg/24h).","La plus fréquente des néphropathies infantiles, surtout entre 2-6 ans, 3 garçons pour 1 fille."
"Protéinurie","Excrétion anormale de protéines dans les urines.","Dans le SN, >50 mg/kg/j (10-20 g/24h)."
"SN pur","Syndrome néphrotique isolé, sans hématurie, sans HTA, sans insuffisance rénale.","Correspond à la néphrose lipoïdique dans 90% des cas."
"SN impur","Syndrome néphrotique associé à une hématurie, une HTA et/ou une insuffisance rénale.","Évoque une maladie générale sous-jacente (10% des cas)."
"Néphrose lipoïdique","Forme idiopathique la plus fréquente du syndrome néphrotique chez l'enfant.","Âge 2-6 ans, corticosensible, de bon pronostic."
"Syndrome œdémateux","Présence d'œdèmes généralisés.","Dans le SN : œdèmes périphériques (paupières, lombes, chevilles), blancs, mous, prenant le godet ; épanchements des séreuses (pleurésie, ascite, hydrocèle, anasarque)."
"Anasarque","Œdème généralisé massif avec épanchements des séreuses.","Complication grave du syndrome néphrotique."
"Hypoprotidémie","Diminution du taux de protéines totales dans le sang.","Seuil <60 g/l dans le SN."
"Hypoalbuminémie","Diminution du taux d'albumine sérique.","Seuil <30 g/l dans le SN."
"Hyperlipidémie","Augmentation des lipides sanguins.","Dans le SN : lipides totaux, triglycérides, cholestérol élevés."
"Hypercoagulabilité","Tendance anormale à la formation de caillots sanguins.","Liée à la synthèse hépatique de facteurs de coagulation ; risque de thrombose veineuse (rénale, cave) ou artérielle."
"Ponction biopsie rénale (PBR)","Prélèvement de tissu rénal pour analyse histologique.","Indications : SN avant 1 an, rechutes fréquentes, SN impur, cortico-résistance, avant immunosuppresseurs. CI : malformation rénale, trouble hémostase, infection urinaire."
"Lésion glomérulaire minime","Atteinte glomérulaire subtile (LM) à l'histologie.","Résultat le plus fréquent de la PBR dans le SN de l'enfant (bonne réponse aux corticoïdes)."
"Hyalinose segmentaire et focale (HSF)","Obturation d'une partie des glomérules par des dépôts hyalins.","Forme histologique de SN, souvent cortico-résistante."
"Prolifération mésangiale et diffuse","Augmentation du nombre de cellules mésangiales dans tous les glomérules.","Forme histologique de SN impur."
"Hypovolémie","Diminution du volume sanguin circulant.","Complication hémodynamique du SN, pouvant conduire au collapsus."
"Péritonite","Inflammation du péritoine.","Complication infectieuse du SN (à pneumocoque ou streptocoque)."
"Thrombose veineuse rénale","Occlusion de la veine rénale par un caillot.","Complication thrombo-embolique classique du SN."
"Kwashiorkor","Forme de dénutrition protéique avec œdèmes.","Diagnostic différentiel : état nutritionnel, dépigmentation, cholestérol normal ou bas (contrairement au SN)."
"Glomérulonéphrite aiguë (GNA)","Inflammation glomérulaire post-infectieuse.","Diagnostic différentiel : infection, HTA, hématurie, ASLO élevés, C3 bas."
"Corticosensible","Qui répond à la corticothérapie.","Forme fréquente de néphrose lipoïdique."
"Corticodépendant","Qui nécessite une corticothérapie prolongée pour éviter la rechute.","Rechute à la décroissance ou à l'arrêt des corticoïdes."
"Cortico-résistant","Persistance de la protéinurie après 4 semaines de corticothérapie orale renforcée par bolus de solumédrol.","Nécessite PBR et immunosuppresseurs."
"Prednisolone","Corticoïde de synthèse.","Traitement étiologique de première intention à 2 mg/kg/j."
"Solumédrol","Méthylprednisolone injectable (bolus).","Utilisée en renforcement de la corticothérapie orale avant de conclure à une cortico-résistance."
"Cyclophosphamide","Immunosuppresseur alkylant.","Utilisé en cas de cortico-résistance ou cortico-dépendance."
"Ciclosporine","Immunosuppresseur inhibiteur de la calcineurine.","Alternative au cyclophosphamide."
"Lévamisole","Immunomodulateur.","À la dose de 2,5 mg/kg, espacé les rechutes."
"Vaccins vivants atténués","Vaccins contenant des microorganismes vivants mais atténués.","Contre-indiqués chez l'enfant atteint de SN (BCG, polio oral, ATR (rougeole-oreillons-rubéole ?))."
"Syndrome néphrotique congénital finlandais","Forme autosomique récessive de SN avant 3 mois, devenant impur après 10 ans.","Liée à une mutation du gène NPHS1."
