"term","definition","contextual_explanation"
"VIH","Virus de l'immunodéficience humaine.","Responsable d'une infection chronique chez l'enfant, transmise principalement par la mère."
"TME","Transmission mère-enfant.","Mode de contamination dans plus de 90% des cas chez l'enfant, pouvant survenir in utéro (>95%), lors de l'accouchement, ou par allaitement."
"PTME","Prévention de la transmission mère-enfant.","Stratégie incluant dépistage des femmes enceintes, ARV pour la mère, sécurisation de l'allaitement, et prophylaxie post-natale."
"In utéro","Dans l'utérus, pendant la grossesse.","Plus de 95% des transmissions mère-enfant surviennent in utéro."
"Allaitement au sein","Mode d'alimentation par le lait maternel.","Facteur de risque de transmission du VIH de la mère à l'enfant."
"Effraction muqueuse","Lésion ou brèche de la muqueuse.","À éviter lors de l'accouchement pour prévenir la transmission du VIH."
"Bain antiseptique","Toilette du nouveau-né avec des produits désinfectants.","Mesure de prévention post-natale pour diminuer le contact du virus avec la muqueuse."
"Désinfection oculaire","Nettoyage des yeux du nouveau-né avec un antiseptique.","Mesure de prévention post-natale."
"ARV","Antirétroviraux.","Médicaments traitant l'infection à VIH, utilisés en prophylaxie et traitement curatif."
"Diagnostic précoce","Détection de l'infection avant 18 mois par isolement du virus.","Permet une prise en charge rapide."
"Prophylaxie post-exposition","Traitement préventif après une exposition au VIH.","Chez le nouveau-né de mère VIH+, débuté dans les 12 premières heures."
"Bactrim (Cotrimoxazole)","Association d'antibiotiques (sulfaméthoxazole-triméthoprime).","Utilisé en prophylaxie de la pneumocystose chez l'enfant VIH+ dès 6 semaines en cas de facteur de risque."
"BCG","Vaccin contre la tuberculose.","Temporairement contre-indiqué chez l'enfant exposé au VIH."
"Classification CDC 1994","Système de classification clinique et immunologique de l'infection VIH chez l'enfant.","Comporte catégories N (asymptomatique), A (symptômes mineurs), B (symptômes modérés), C (symptômes sévères)."
"Lymphadénopathie","Augmentation de volume des ganglions lymphatiques.","Symptôme mineur (catégorie A)."
"HSMG","Hépatosplénomégalie (augmentation du volume du foie et de la rate).","Symptôme mineur (catégorie A)."
"Parotidite","Inflammation de la parotide.","Symptôme mineur (catégorie A)."
"Pneumopathie lymphoïde","Infiltration lymphocytaire du poumon.","Symptôme modéré (catégorie B)."
"Zona","Infection par le virus varicelle-zona.","Symptôme modéré (catégorie B)."
"Léiomyosarcome","Tumeur maligne du muscle lisse.","Symptôme modéré (catégorie B)."
"Infections opportunistes","Infections survenant en cas d'immunodépression sévère.","Catégorie C."
"Cachexie","Amaigrissement extrême avec fonte musculaire.","Catégorie C."
"CD4","Lymphocytes T CD4+, marqueur de l'immunité cellulaire.","Taux évalué pour le déficit immunitaire, en fonction de l'âge."
"Inhibiteur de la protéase (IP)","Classe d'antirétroviraux ciblant la protéase virale.","Privilégié dans les trithérapies chez l'enfant."
"INTI","Inhibiteurs nucléosidiques de la transcriptase inverse.","Classe d'ARV pouvant causer des troubles hématologiques."
"Dysfonction mitochondriale","Anomalie du fonctionnement des mitochondries.","Effet secondaire des ARV."
"Lipodystrophies","Trouble de la répartition des graisses corporelles.","Toxicité à long terme des ARV."
"Insulino-résistance","Diminution de la sensibilité des cellules à l'insuline.","Toxicité métabolique à long terme des ARV."
"Pneumocystose","Infection opportuniste à Pneumocystis jirovecii.","Prévenue par le Bactrim chez l'enfant VIH+."
"Vaccin anti-pneumococcique","Vaccin contre Streptococcus pneumoniae.","Recommandé chez l'enfant VIH+."
"Passage à l'âge adulte","Transition des soins pédiatriques vers les services adultes.","Problématiques spécifiques : observance, annonce du diagnostic, sexualité, maturité."
