"term","definition","contextual_explanation"
"malformations ano-rectales (MAR)","Ensemble de malformations congénitales de la région anorectale","Va du simple défaut de résorption de la membrane anale à des agénésies ano-rectales avec fistule dans les voies urinaires ou génitales et anomalie sacrée."
"défaut de résorption de la membrane anale","Forme la plus simple de MAR","La membrane anale ne disparaît pas normalement."
"agénésies ano-rectales","Absence de développement de l'anus et du rectum","Peut s'accompagner d'une fistule dans les voies urinaires ou génitales."
"fistule","Communication anormale entre le rectum et un autre organe","Peut se faire dans les voies urinaires ou génitales."
"anomalie sacrée","Malformation du sacrum","Associée aux MAR."
"régression caudale","Processus embryologique de développement de l'extrémité caudale","Les MAR surviennent au cours de ce processus (6-10 SA) et peuvent s'associer à d'autres anomalies (atrésie œsophage/duodénum, cardiopathies)."
"sphincter interne","Muscle lisse de la continence anale","Un des trois mécanismes de la continence."
"sphincter externe","Muscle strié de la continence anale","Deuxième mécanisme."
"releveur de l'anus","Muscle strié du plancher pelvien","Troisième mécanisme de la continence."
"ligne pubo-coccygienne de Stephens","Ligne de référence radiologique pour classer les MAR","Sépare les MAR hautes (cul-de-sac au-dessus) des MAR basses (cul-de-sac au-dessous)."
"MAR haute","Variété anatomique haute","Périnée profond, malformations associées, anomalie de la formation de la dépression anale. Cul-de-sac au-dessus de la ligne de Stephens, distance >1cm, agénésie musculaire, absence de plancher pelvien, absence de nerfs du plexus sacré, absence de sacrum."
"MAR basse","Variété anatomique basse","Périnée superficiel et souvent isolé. Cul-de-sac au-dessous de la ligne de Stephens, distance <1cm, traverse le plancher, continence anale présente."
"MAR intermédiaire","Variété entre haute et basse","Mentionnée dans la classification."
"MAR totalement obstructive","Forme sans fistule permettant l'évacuation","Diagnostiquée par méconiurie (MAR haute) ou orifice unique chez la fille (MAR haute)."
"MAR partiellement obstructive","Forme avec fistule","Fistule périnéale (MAR basse) ou fistule vulvaire chez la fille."
"occlusion néo-natale","Arrêt des matières et gaz chez le nouveau-né","Signe de diagnostic positif des MAR, avec ventre distendu +/- méconiurie."
"méconiurie","Émission de méconium par les urines","Signe de MAR haute totalement obstructive."
"constipation chronique","Difficulté persistante à évacuer les selles","Signe de diagnostic positif des MAR (formes révélées tardivement)."
"mégacolon","Dilatation anormale du côlon","Complication de la constipation chronique dans les MAR."
"diagnostic anténatal","Diagnostic avant la naissance","Possible pour les MAR."
"incidence de Wegenstein et Rice","Technique radiologique pour diagnostiquer la variété de MAR","Décubitus latéral, cuisses fléchies à 90°, clichés de profil strict, repère métallique à l'emplacement de l'anus."
"cul-de-sac","Extrémité borgne du rectum non perméabilisé","Visualisé sur le cliché radiologique. Sa position par rapport à la ligne de Stephens détermine le type de MAR."
"agénésie musculaire","Absence de développement des muscles du sphincter et du plancher","Présente dans les MAR hautes, responsable de l'absence de continence."
"plexus sacré","Réseau nerveux sacré","Absent dans les MAR hautes."
"fistule périnéale","Communication anormale entre le rectum et le périnée externe","Forme de MAR partiellement obstructive, classée MAR basse."
"fistule vulvaire","Communication anormale entre le rectum et la vulve chez la fille","Forme de MAR partiellement obstructive."
"épreuve au stylet","Test par introduction d'un stylet dans l'orifice fistuleux","Utilisée pour diagnostiquer une fistule vulvaire."
"fistulographie","Radiographie après injection de produit de contraste dans une fistule","Permet de voir le trajet de la fistule."
"malformations vertébro-médullaires","Anomalies des vertèbres et de la moelle épinière","Présentes dans 40% des MAR."
"malformations uro-génitales","Anomalies des reins, vessie, organes génitaux","Présentes dans 40% des MAR."
"VACTERL","Acronyme d'une association de malformations","Citée parmi les malformations associées (vertèbres, anus, cœur, trachée, œsophage, reins, membres)."
"colostomie de décharge","Dérivation des selles par un orifice à la paroi abdominale","Traitement néo-natal pour MAR haute. Siège : transverse gauche ou sigmoïdienne haute canon de fusil (amarrage++)."
"canon de fusil","Technique de colostomie où les deux segments sont extériorisés séparément","Avec amarrage++ (fixation)."
"proctoplastie","Intervention chirurgicale pour MAR basse","Recherche du sphincter au stimulateur électrique, incision en mercedes, rabat des lambeaux, élargissement musculaire, incision en Y, suture, anus en étoile, canule quotidienne pendant 1 mois. Pronostic excellent."
"incision en mercedes","Type d'incision cutanée en forme d'étoile à trois branches","Utilisée pour la proctoplastie."
"bougies de Hegar 14","Dilatateurs de calibre 14","Utilisés pour les dilatations post-opératoires."
"intervention de Peña et de Vries","Technique chirurgicale pour MAR haute","Abaissement du cul-de-sac postérieur par voie périnéale et trans-abdominale, après colostomie et atteinte de 6 kg."
"StepH","Intervention chirurgicale pour MAR haute","Citée sans détail."
"Romualdi","Intervention chirurgicale pour MAR haute","Citée sans détail."
"abaissement de Peña","Nom courant de l'intervention de Peña","Latence jusqu'à 6 kg, puis abaissement du cul-de-sac postérieur, positionnement d'un cap anal, fermeture de la colostomie."
"cap anal","Prothèse ou dispositif anal","Positionné lors de l'abaissement de Peña."
"neurostimulateur","Appareil de stimulation électrique des nerfs","Utilisé en per-opératoire pour repérer le sphincter et les fibres musculaires."
"IRM préopératoire","Imagerie par résonance magnétique avant chirurgie","Permet le repérage des fibres musculaires à préserver."
"ballonnet rectal","Dispositif introduit dans le rectum pour créer une sensation de remplissage","Introduit à 7 ans pour anticiper une sensation pelvienne d'envie d'aller à la selle."
"colostomie définitive","Dérivation définitive des selles","Pour les échecs de la chirurgie (10% des cas)."
"chirurgie de confort","Chirurgie palliative à visée fonctionnelle","Réalisée à 10-12 ans."
"chirurgie palliative","Chirurgie non curative visant à améliorer la qualité de vie","Pour les fèces, urines et fonction sexuelle."
