"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition d’un ulcère gastro-duodénal selon le document ?","Perte de substance superficielle de la muqueuse","Perte de substance circonscrite atteignant la musculeuse, remplacée par une sclérose","Érosion limitée à la muqueuse sans atteinte de la musculeuse","Perforation complète de la paroi digestive","2","Le document définit l’ulcère comme une perte de substance circonscrite atteignant la musculeuse, le bloc étant remplacé par une sclérose.","Easy"
"Quel est le principal facteur d’agression de la muqueuse dans la physiopathologie des ulcères ?","Mucus riche en bicarbonate","Acide chlorhydrique","Prostaglandines E1 et E2","Microvascularisation","2","Les facteurs d’agression sont l’acide chlorhydrique et la pepsine.","Easy"
"Par quelle enzyme est sécrétée la pepsine ?","Cellules pariétales","Cellules principales de l’estomac","Cellules muqueuses","Cellules endocrines","2","La pepsine est une enzyme protéolytique sécrétée par les cellules principales de l’estomac.","Easy"
"Quel est le rôle principal du mucus dans la défense muqueuse ?","Stimuler la sécrétion acide","Agir comme tampon contre la rétrodiffusion d’ions H+","Inhiber la production de prostaglandines","Augmenter la microvascularisation","2","Le mucus, très riche en bicarbonate, a un rôle tampon contre la rétrodiffusion d’ion H+.","Easy"
"Quel micro-organisme est responsable de 90 % des ulcères duodénaux ?","Escherichia coli","Helicobacter pylori","Campylobacter jejuni","Salmonella typhi","2","Helicobacter pylori est en cause dans 90 % des ulcères duodénaux.","Easy"
"Quel test est considéré comme le Gold standard pour le diagnostic non invasif d’Helicobacter pylori ?","Sérologie","Test respiratoire au C13","Recherche d’antigène dans les selles","Culture bactériologique","2","Le test respiratoire au C13 est le test de référence (Gold standard).","Easy"
"Quelle est la caractéristique clinique principale de la douleur ulcéreuse ?","Douleur continue non rythmée","Douleur épigastrique rythmée par les repas, calmée par l’alimentation et les antiacides","Douleur post-prandiale immédiate","Douleur soulagée par le décubitus","2","La douleur est épigastrique, rythmée par les repas (aggravée par la faim, calmée par les repas et antiacides), survenant 2-4 heures après.","Easy"
"Quel examen est considéré comme l’examen clé pour le diagnostic d’ulcère ?","TOGD","Fibroscopie digestive haute (endoscopie)","Échographie abdominale","ASP","2","L’endoscopie est l’examen clé pour le diagnostic, la taille de l’ulcère et les biopsies.","Easy"
"Quelle complication des maladies ulcéreuses est la plus fréquente ?","Sténose pylorique","Hémorragie digestive","Perforation","Cancer","2","L’hémorragie digestive est la complication la plus fréquente.","Easy"
"Quel signe clinique affirme la présence de méléna lors d’une hémorragie digestive haute ?","Hématémèse isolée","Toucher rectal (TR)","Anémie aiguë","Douleur épigastrique","2","Le TR affirme le méléna.","Easy"
"Dans la classification de Forrest, quel stade correspond à un saignement en jet ?","IIa","Ia","III","IIc","2","Ia : saignement en jet.","Easy"
"Quelle est la prévalence d’Helicobacter pylori en France selon le document ?","82%","30%","10%","2%","2","En France, la prévalence d’HP est de 30%.","Easy"
"Quel est le premier contact habituel avec Helicobacter pylori ?","À l’âge adulte","Dans l’enfance, avant 5 ans","À l’adolescence","Après 50 ans","2","Le premier contact avec HP se fait dans l’enfance, avant 5 ans.","Easy"
"Quel facteur exogène altère la microvascularisation par vasoconstriction ?","AINS","Tabac","Prostaglandines","Bicarbonate","2","Le tabac est responsable de vasoconstriction altérant la microvascularisation.","Easy"
"Quelle affection rare entraîne des ulcères multiples et une diarrhée sécrétoire ?","Hyperparathyroïdie","Syndrome de Zollinger-Ellison","Insuffisance rénale chronique","Cirrhose éthylique","2","Le syndrome de Zollinger-Ellison (gastrinome) provoque des ulcères multiples et une diarrhée sécrétoire.","Easy"
"Quel aspect endoscopique décrit un ulcère jeune ?","Irrégulier en carte géographique","Rond à bords nets et réguliers","En salami","Linéaire","2","L’aspect rond à bords nets et réguliers correspond à un ulcère jeune.","Easy"
"Quel test invasif utilise un indicateur coloré qui vire au rouge en présence d’uréase ?","Examen histologique","Test rapide à l’uréase (CLO-test)","Culture","PCR","2","Le CLO-test : fragment biopsique → rouge si positif après 20 min.","Easy"
"Quelle complication est particulièrement fréquente et précoce dans les ulcères duodénaux ?","Sténose pylorique","Perforation","Cancer","Dyspepsie","2","La perforation est précoce dans 30 % des cas, surtout pour l’ulcère duodénal.","Easy"
"Quel signe radiologique direct est décrit comme une « cocarde » au TOGD ?","Convergence des plis","Image arrondie + halo clair (niche)","Déformation bulbaire","Retard d’évacuation","2","Au TOGD, la niche en face donne une image arrondie + halo clair : cocarde.","Easy"
"Devant quel type d’ulcère faut-il toujours craindre un cancer ?","Ulcère duodénal","Ulcère gastrique","Ulcère de stress","Ulcère médicamenteux","2","Devant un ulcère gastrique, la hantise est le cancer (7-10 % des UG).","Easy"
"Quel mécanisme principal d’Helicobacter pylori altère les défenses muqueuses ?","Augmentation de la sécrétion de mucus","Inhibition de la synthèse de mucine et stimulation d’IL-8","Stimulation des prostaglandines","Augmentation de la microvascularisation","2","HP altère les défenses par inhibition de la synthèse de mucine et stimulation de cytokines pro-inflammatoires (IL-8).","Medium"
"Pourquoi le test respiratoire au C13 est-il positif en cas d’infection à HP ?","Présence d’anticorps circulants","HP produit de l’uréase qui transforme l’urée marquée en CO2 marqué","Détection directe d’antigènes dans les selles","Culture positive","2","HP ingère l’urée marquée au C13 → production de CO2 marqué détecté par spectromètre grâce à l’uréase.","Medium"
"Quel est le mécanisme initial de la sténose pylorique dans les maladies ulcéreuses ?","Fibrose rétractile d’emblée","Sténose inflammatoire par œdème péri-lésionnel et spasme","Perforation chronique","Cancer infiltrant","2","Au début, il s’agit d’une sténose inflammatoire (œdème + spasme).","Medium"
"Pourquoi faut-il biopsier le pourtour d’un ulcère gastrique ?","Pour rechercher HP uniquement","Car 7-10 % des ulcères gastriques se révèlent être un cancer","Pour évaluer la taille","Pour tester la sensibilité aux AINS","2","7-10 % des ulcères gastriques sont des cancers ; il faut toujours biopsier le pourtour.","Medium"
"Quel signe clinique est pathognomonique mais inconstant dans la sténose pylorique ?","Clapotage à jeun","Ondulation péristaltique visible","Vomissements nauséabonds","Douleur post-prandiale","2","L’ondulation péristaltique est pathognomonique mais inconstante.","Medium"
"Quelle est la principale différence entre ulcère gastrique et ulcère duodénal concernant le risque de cancer ?","L’ulcère duodénal a un risque plus élevé","L’ulcère gastrique a une hantise de cancer (7-10 %)","Les deux ont le même risque","Aucun risque pour les deux","2","La hantise du cancer concerne particulièrement l’ulcère gastrique.","Medium"
"Pourquoi la sérologie anti-HP a-t-elle peu d’intérêt pour le diagnostic d’infection active ?","Faible sensibilité","Elle peut rester positive longtemps après guérison (cicatrice sérologique)","Elle est invasive","Elle nécessite un spectromètre","2","La sérologie est surtout épidémiologique ; elle détecte des cicatrices sérologiques.","Medium"
"Quel facteur de risque est le plus important pour l’infection à Helicobacter pylori dans le document ?","Âge avancé","Bas niveau socio-économique et promiscuité","Consommation d’alcool","Tabagisme","2","Les facteurs de risque sont bas niveau socio-économique, promiscuité, ethnie peau noire, infection dans la fratrie.","Medium"
"Dans la classification de Forrest, quel stade correspond à un cratère propre à fond blanchâtre ?","Ia","IIb","III","IIa","3","III : cratère propre (à fond blanchâtre).","Medium"
