"term","definition","contextual_explanation"
"Ulcère gastroduodénal","Perte de substance circonscrite atteignant la musculeuse, remplacée par une sclérose.","Maladie fréquente, chronique, pouvant se compliquer d’hémorragie, perforation ou sténose."
"Ulcère duodénal (UD)","Ulcère siégeant au niveau du duodénum, le plus souvent bulbaire.","90% des UD sont associés à Helicobacter pylori."
"Ulcère gastrique (UG)","Ulcère siégeant au niveau de l’estomac.","7-10% des UG se révèlent être un cancer ; hantise du clinicien."
"Helicobacter pylori","Bacille Gram négatif, mobile (flagelle), producteur d’uréase, colonisant la muqueuse gastrique (antre).","Principal facteur infectieux des ulcères (90% UD, 70% UG). Transmission oro-orale et oro-fécale."
"Test rapide à l’uréase (CLO-test)","Test invasif : fragment biopsique placé sur indicateur coloré. Lecture à 20 min : rouge = positif (présence d’uréase d’HP).","Un des tests diagnostiques d’HP sur biopsies endoscopiques."
"Test respiratoire au C13","Test non invasif : ingestion d’urée marquée au carbone 13, mesure du CO2 marqué dans l’air expiré. Gold standard.","Confirme une infection active par HP."
"Niches ulcéreuses","Signe radiologique direct de l’ulcère au TOGD. Face : image arrondie avec halo clair (cocarde). Bord : image d’addition.","Signe indirect : convergence des plis, déformations bulbaires."
"Classification de Forrest","Classification endoscopique de la sévérité d’un ulcère hémorragique : Ia (jet), Ib (nappe), IIa (vaisseau visible), IIb (caillot adhérent), IIc (tâche purpurique), III (cratère propre).","Guide la prise en charge thérapeutique (hémostase endoscopique)."
"Hémorragie digestive","Complication la plus fréquente de l’ulcère, se manifestant par méléna et/ou hématémèse. Urgence médicale.","Inaugurale dans 10-20% des cas."
"Perforation ulcéreuse","Complication grave : péritonite généralisée par rupture de l’ulcère. Douleur en coup de poignard, contracture abdominale, pneumopéritoine à l’ASP debout. Urgence chirurgicale.","Mortalité élevée sans prise en charge rapide."
"Sténose pylorique","Complication tardive des ulcères (surtout duodénaux) : rétrécissement du pylore par œdème inflammatoire puis fibrose. Se manifeste par vomissements post-prandiaux tardifs, ondulation péristaltique, clapotage à jeun.","Peut nécessiter dilatation endoscopique ou chirurgie."
"Ondulation péristaltique","Signe pathognomonique de sténose pylorique (mais inconstant). Spontané ou provoqué par une chiquenaude.","Visible sur la paroi abdominale."
"Clapotage à jeun","Bruit de liquide gastrique à la palpation brusque de l’épigastre, signe de stase gastrique.","Observé dans la sténose pylorique."
"Syndrome de Zollinger-Ellison","Gastrinome (tumeur neuroendocrine) sécrétant de la gastrine, entraînant une hypersécrétion acide, des ulcères multiples et une diarrhée sécrétoire. Très rare.","Diagnostic différentiel des ulcères atypiques."
"Ulcère de stress","Ulcère survenant chez un patient en état critique (réanimation, pathologie grave type AVC). Mécanisme : stress physique. Multiples et hémorragiques.","À distinguer du stress psychologique."
"Ulcère médicamenteux","Ulcère induit par la prise d’AINS ou d’aspirine, par diminution des prostaglandines protectrices.","Facteur exogène fréquent."
"Gastrinome","Tumeur neuroendocrine (souvent pancréatique) sécrétant la gastrine. Responsable du syndrome de Zollinger-Ellison.","Rare."
"Pneumopéritoine","Présence d’air dans la cavité péritonéale, visible sur l’ASP debout (image en croissant sous les coupoles diaphragmatiques). Signe de perforation d’un organe creux (ulcère).","Signe radiologique clé de perforation."
"Contracture abdominale","Rigidité involontaire et permanente des muscles abdominaux, signe de péritonite généralisée. Pathognomonique.","Signe clinique de perforation."
"Cri de Douglas","Douleur provoquée par le toucher rectal en cas d’irritation péritonéale (épanchement dans le cul-de-sac de Douglas).","Signe de péritonite."
"Cocarde","Aspect radiologique de la niche ulcéreuse : image arrondie avec un halo clair périphérique.","Signe direct de l’ulcère au TOGD."
"Convergence des plis","Signe radiologique indirect d’ulcère : les plis muqueux convergent vers la niche.","Traduit la rétraction cicatricielle."
"Déformation bulbaire","Anomalie morphologique du bulbe duodénal (rétrécissement segmentaire, encoche, scissure) secondaire aux ulcères.","Signe indirect de l’ulcère duodénal."
