"term","definition","contextual_explanation"
"Ulcération","Perte de substance cutanéomuqueuse profonde, atteignant le derme et l’hypoderme.","Dans le document, opposée à l’érosion. Peut entraîner une urgence alimentaire (sonde nasogastrique) ou une rétention urinaire."
"Érosion","Perte de substance cutanéomuqueuse superficielle, limitée à l’épithélium et au derme superficiel.","Distinction importante pour le diagnostic différentiel des lésions buccales et génitales."
"Cytodiagnostic de Tzanck","Examen cytologique par grattage du fond de l’ulcération.","Permet de rechercher les herpèsviridae (HSV, VZV) et le pemphigus."
"Pemphigus vulgaire","Dermatose bulleuse auto-immune, première cause de stomatite/gingivite chronique.","Anticorps anti-substance intercellulaire. Immunofluorescence directe positive des espaces interkératinocytaires."
"Aphte","Lésion ronde ou ovalaire douloureuse, à fond jaunâtre cerné d’un liséré inflammatoire.","Récurrente, déclenchée par certains aliments (agrumes, fromage). Guérison spontanée en deux semaines."
"Herpès","Infection virale à HSV.","Se manifeste par des brûlures, cuisson, prurit, puis vésicules en bouquet, érosions polycycliques confluentes douloureuses, adénopathie, parfois fièvre. Gingivo-stomatite aiguë."
"Zona","Réactivation du VZV.","Atteinte d’un territoire nerveux : V2 (palais, gencive supérieure), V3 (joue, gencive inférieure, langue), VII (pointe et bords de la langue, conduit auditif externe, paralysie faciale), IX (pharynx)."
"Syndrome main-pied-bouche","Infection à Coxsackie A16.","Incubation 3-5 jours. Éruption débutant au palais antérieur (érythème puis vésicules rompues), puis vésicules cutanées des mains et pieds. Disparition <1 semaine."
"Herpangine","Infection à Coxsackie A ou B.","Érosions post-vésiculeuses de la partie postérieure de la cavité buccale, avec fièvre et dysphagie. Diagnostic clinique."
"Chancre syphilitique","Lésion primitive de la syphilis.","Érosion ou ulcération indurée de 5-15 mm, unique, ovalaire, bords réguliers, fond propre, indolore, régression sans cicatrice. Diagnostic sérologique (TPHA, VDRL)."
"Chancre mou","Infection à Haemophilus ducreyi.","Érosion inflammatoire non indurée, douloureuse, cernée d’un liséré fibrino-purulent."
"Maladie de Nicolas-Favre","Lymphogranulome vénérien à Chlamydia trachomatis sérotypes L1, L2, L3.","Début par un petit chancre d’inoculation fugace, puis adénopathies se ramollissant et fistulisant en « pomme d’arrosoir »."
"Donovanose","Infection à Calymmatobacterium granulomatis.","Ulcération non douloureuse, non indurée, à surface granulomateuse, sans tendance à la guérison spontanée, sans adénopathie. Touche verge, vulve, plis inguinaux, périnée."
"Lichen érosif","Forme de lichen plan avec érosions.","Érosions sur une base de réseau blanchâtre, prédominant sur la muqueuse jugale, langue, lèvres. Possible association à l’hépatite C."
"Exanthème polymorphe post-infectieux","Réaction cutanéomuqueuse souvent post-herpétique ou post-mycoplasmique.","Peut donner un décollement labial, une atteinte buccale extensive, des lésions cutanées en cocardes des extrémités. Dysphagie majeure, hospitalisation nécessaire."
"Maladie de Behçet","Vascularite systémique chronique.","Cause d’ulcérations bifocales récurrentes (buccales et génitales)."
"Leucoplasie","Plaque blanche de la muqueuse buccale, potentiellement précancéreuse.","Peut se compliquer d’un carcinome épidermoïde."
"TPHA","Treponema pallidum hemagglutination assay.","Test sérologique spécifique de la syphilis."
"VDRL","Venereal Disease Research Laboratory.","Test sérologique non tréponémique de la syphilis."
"Immunofluorescence directe","Technique de marquage des anticorps ou antigènes sur coupe de tissu.","Positive dans les espaces interkératinocytaires pour le pemphigus vulgaire."
"Sonde nasogastrique","Dispositif médical pour l’alimentation entérale.","Indiqué en cas d’ulcérations buccales graves empêchant l’alimentation."
"Rétention urinaire","Impossibilité d’uriner.","Complication possible des ulcérations génitales douloureuses."
