"question","answer","explanation","difficulty"
"Les cardiopathies congénitales sont des malformations du cœur ou des vaisseaux survenant au cours du développement fœtal.","True","Le document donne cette définition.","Easy"
"Une cause évidente est retrouvée dans 90% des cardiopathies congénitales.","False","Le document : 'Pas de cause évidente dans 90% des cas'.","Easy"
"La trisomie 21 est associée au canal atrio-ventriculaire (CAV).","True","Le document : 'Trisomie 21 (CAV +++)'.","Easy"
"Le syndrome de Turner est associé à la tétralogie de Fallot.","False","Il est associé à la coarctation de l'aorte.","Easy"
"Le syndrome de Di George est associé à la coarctation de l'aorte.","False","Il est associé à la tétralogie de Fallot.","Easy"
"La circulation fœtale est une circulation en série.","False","La circulation fœtale est en parallèle.","Easy"
"Le foramen ovale permet une communication entre les deux oreillettes.","True","Le document l'indique.","Easy"
"Après la naissance, la circulation devient en parallèle.","False","Elle devient en série.","Easy"
"Les cardiopathies congénitales sont classées en cyanogènes, non cyanogènes et complexes.","True","Le document donne cette classification.","Easy"
"La tétralogie de Fallot comporte 3 anomalies.","False","Elle comporte 4 anomalies.","Easy"
"Dans la transposition des gros vaisseaux, l'aorte naît du ventricule gauche.","False","L'aorte naît du ventricule droit.","Easy"
"La CIA ostium secundum représente 90% des CIA.","True","Le document : 'CIA ostium secundum (90%)'.","Easy"
"Le souffle de la CIA est un souffle systolique au foyer pulmonaire avec dédoublement fixe de B2.","True","Le document le décrit ainsi.","Easy"
"Le souffle de la CIV est un souffle continu.","False","C'est un souffle holosystolique.","Easy"
"Le souffle de la PCA est un souffle continu sous-claviculaire gauche.","True","Le document l'indique.","Easy"
"La coarctation de l'aorte se manifeste par une abolition des pouls fémoraux.","True","Le document : 'Abolition des pouls fémoraux'.","Easy"
"Le cœur en sabot est caractéristique de la transposition des gros vaisseaux.","False","C'est caractéristique de la tétralogie de Fallot.","Easy"
"L'échodoppler cardiaque confirme le diagnostic de cardiopathie congénitale.","True","Le document : 'confirme le diagnostic'.","Easy"
"La cyanose permanente est le signe principal de la tétralogie de Fallot.","True","Le document : 'Signe principale : cyanose permanente'.","Easy"
"La polyglobulie est fréquente dans la tétralogie de Fallot.","True","Le document : 'Polyglobulie'.","Easy"
"L'accroupissement (squatting) est un signe de la tétralogie de Fallot.","True","Le document le cite.","Easy"
"La transposition des gros vaisseaux se manifeste par une cyanose néonatale intense réfractaire à l'oxygène.","True","Le document l'indique.","Easy"
"Dans la TGV, il existe souvent un souffle cardiaque caractéristique.","False","Pas d'anomalie auscultatoire.","Easy"
"Les CIA ostium secundum ont tendance à la fermeture spontanée.","True","Le document : 'tendance à la fermeture spontanée'.","Easy"
"Les CIV de petite taille ne se ferment jamais spontanément.","False","La moitié des cas se ferment spontanément.","Easy"
"La PCA peut se compliquer d'endocardite infectieuse et d'HTAP.","True","Le document : 'Complication : endocardite infectieuse, HTAP'.","Easy"
"Le gradient de pression dans la coarctation de l'aorte est >20 mmHg entre bras droit et jambe.","True","Le document donne cette valeur.","Easy"
"Le RVPA total signifie qu'aucune veine pulmonaire ne se connecte à l'oreillette gauche.","True","Le document : 'aucune veine ne se connecte à l’OG'.","Easy"
"Le canal atrio-ventriculaire associe une CIA haute et une CIV.","False","C'est une CIA basse type ostium primum.","Easy"
"La coarctation de l'aorte siège préférentiellement sur l'aorte ascendante.","False","Siège sur l'isthme aortique.","Easy"
