"term","definition","contextual_explanation"
"cardiopathies congénitales","Malformations du cœur ou des vaisseaux sanguins survenant au cours du développement fœtal.","Pas de cause évidente dans 90% des cas. Prédispositions génétiques et facteurs environnementaux (rubéole, toxiques, troubles métaboliques). Malformations congénitales les plus fréquentes (4-8/1000 naissances), cause principale de décès par malformation congénitale."
"trisomie 21","Anomalie chromosomique (trois chromosomes 21).","Associée +++ au canal atrio-ventriculaire (CAV)."
"syndrome de Turner","Anomalie chromosomique (monosomie X).","Associé à la coarctation de l'aorte."
"syndrome de Di George","Délétion 22q11.","Associé à la tétralogie de Fallot."
"canal d'Arantius","Ductus venosus : relie la veine ombilicale à la partie inférieure de la veine cave inférieure.","Court-circuite le foie pendant la vie fœtale. Se ferme après la naissance."
"foramen ovale","Communication entre les deux oreillettes pendant la vie fœtale.","Permet le passage du sang de l'oreillette droite vers l'oreillette gauche. Se ferme à la naissance."
"canal artériel","Communication entre l'artère pulmonaire et l'aorte pendant la vie fœtale.","Permet au sang du ventricule droit de contourner les poumons. Se ferme après la naissance. Sa persistance (PCA) est une cardiopathie."
"circulation en parallèle","Mode de circulation fœtale où les deux ventricules éjectent le sang vers la circulation systémique.","Grâce aux shunts, le sang oxygéné et le sang veineux se mélangent."
"circulation en série","Mode de circulation post-natale où le sang passe successivement par le cœur droit → poumons → cœur gauche → aorte.","S'établit après la fermeture des shunts fœtaux."
"classification physiopathologique","Classification des cardiopathies congénitales en cyanogènes, non cyanogènes et complexes.","Basée sur la présence ou non de cyanose et les anomalies hémodynamiques."
"tétralogie de Fallot","Cardiopathie congénitale cyanogène comportant 4 anomalies.","CIV périmembraneuse, sténose pulmonaire, dextroposition aortique, hypertrophie ventriculaire droite. Bascule antérieure et à droite du septum conal."
"dextroposition aortique","L'aorte est positionnée à cheval sur le septum interventriculaire.","Une des anomalies de la tétralogie de Fallot."
"transposition des gros vaisseaux (TGV)","Cardiopathie cyanogène où l'aorte naît du VD et l'artère pulmonaire du VG.","Circulations systémique et pulmonaire en parallèle. Viable si communications (foramen ovale perméable, canal artériel, CIV)."
"ventricule unique","Cardiopathie cyanogène rare.","Cœur univentriculaire, morphologie gauche dans 70% des cas (absence de ventricule droit)."
"tronc artériel commun","Une artère unique assure l'éjection des deux ventricules.","Associé à une CIV et une valve troncale anormale (remplace les valves aortique et pulmonaire)."
"shunt gauche-droit","Passage anormal de sang de la circulation gauche vers la circulation droite.","Caractérise les cardiopathies non cyanogènes (CIA, CIV, PCA, CAV)."
"communication inter-auriculaire (CIA)","Défaut du septum inter-auriculaire.","Shunt gauche-droit (OG→OD) car VD plus compliant. 4 types : ostium secundum (90%), ostium primum, sinus venosus, sinus coronaire."
"CIA ostium secundum","Type le plus fréquent de CIA (90%).","Tendance à la fermeture spontanée."
"communication inter-ventriculaire (CIV)","Défaut du septum inter-ventriculaire.","Shunt gauche-droit (résistance vasculaire pulmonaire basse). Dilatation de l'artère pulmonaire, des veines pulmonaires, de l'OG et du VG. Risque d'HTAP."
"CIV péri membraneuse","Type de CIV située près de la valve tricuspide.","Une des 4 types anatomiques."
"CIV musculaire (infundibulaire)","Type de CIV située dans la portion musculaire du septum.","Tendance à la fermeture spontanée."
"persistance du canal artériel (PCA)","Non-fermeture du canal artériel après la naissance.","Shunt artério-veineux de l'aorte vers l'artère pulmonaire. Pouls hyper-pulsatiles, souffle continu sous-claviculaire gauche. Risque d'HTAP."
"canal atrio-ventriculaire (CAV)","Associe une CIA basse type ostium primum, une CIV et une valve auriculo-ventriculaire commune.","Associé +++ à la trisomie 21."
"retour veineux pulmonaire anormal (RVPA)","Anomalies de connexion des veines pulmonaires à l'oreillette gauche.","RVPA total : aucune veine ne se connecte à l'OG. RVPA partiel : au moins une veine se connecte à l'OG, les autres ailleurs (ex: OD). Souvent associé à une CIA."
"coarctation de l'aorte","Rétrécissement siégeant sur l'isthme aortique.","Gêne le passage du sang vers la partie inférieure du corps. Abolition des pouls fémoraux, gradient TA >20 mmHg entre MS et MI."
"cyanose réfractaire","Cyanose ne cédant pas à l'oxygénothérapie.","Traduit une hypoxémie par shunt droit-gauche (contamination du sang artériel par du sang veineux). Signe néonatal de cardiopathie cyanogène."
"insuffisance cardiaque aiguë","Défaillance brutale de la fonction de pompe cardiaque.","Peut révéler une cardiopathie congénitale en période néonatale."
"stagnation staturo-pondérale","Arrêt ou ralentissement de la prise de poids et de la taille.","Signe tardif de cardiopathie congénitale."
"hippocratisme digital","Élargissement des extrémités des doigts en « baguette de tambour ».","Signe de cyanose chronique, observé dans la tétralogie de Fallot."
"squatting (accroupissement)","Position accroupie adoptée par l'enfant à l'effort.","Diminue le shunt droit-gauche dans la tétralogie de Fallot."
"malaise anoxique","Accès d'hypoxie aiguë chez l'enfant atteint de tétralogie de Fallot.","Complication classique."
"souffle continu","Souffle cardiaque persistant pendant toute la systole et la diastole.","Caractéristique de la persistance du canal artériel (souffle sous-claviculaire gauche)."
"souffle holosystolique","Souffle couvrant toute la systole.","Caractéristique de la CIV (en jet de vapeur, irradiant en rayant de roue)."
"dédoublement fixe de B2","Le deuxième bruit cardiaque est dédoublé et ne se modifie pas avec la respiration.","Signe auscultatoire de la CIA."
"éclat de B2","Augmentation d'intensité du deuxième bruit cardiaque au foyer pulmonaire.","Signe d'hypertension artérielle pulmonaire (HTAP) compliquant une CIV ou une PCA."
"cœur en sabot","Aspect radiographique : apex cardiaque surélevé, arc moyen gauche concave.","Caractéristique de la tétralogie de Fallot."
"hypervascularisation pulmonaire","Augmentation de la trame vasculaire pulmonaire sur la radiographie thoracique.","Observée dans les shunts gauche-droit (CIA, CIV, PCA)."
"polyglobulie","Augmentation du nombre de globules rouges.","Complication des cardiopathies cyanogènes (hypoxie chronique)."
"endocardite d'Osler","Endocardite infectieuse.","Complication de la tétralogie de Fallot et d'autres cardiopathies."
"abcès cérébral","Collection purulente dans le cerveau.","Complication des cardiopathies cyanogènes (paradoxale)."
"accident vasculaire cérébral (AVC)","Infarctus cérébral.","Complication de la tétralogie de Fallot (polyglobulie, thrombose)."
"échodoppler cardiaque","Examen échographique cardiaque avec analyse des flux.","Examen de confirmation diagnostique des cardiopathies congénitales."
