"front","back","cognitive_level"
"Quelle est la définition des cardiopathies congénitales ?","Malformations du cœur ou des vaisseaux sanguins qui surviennent au cours du développement fœtal. Pas de cause évidente dans 90% des cas.","Recall"
"Citez trois prédispositions génétiques associées à des cardiopathies congénitales.","- Trisomie 21 → canal atrio-ventriculaire (CAV) +++
- Syndrome de Turner → coarctation aortique
- Syndrome de Di George → tétralogie de Fallot","Recall"
"Quels sont les trois shunts physiologiques de la circulation fœtale ?","1. Canal d'Arantius (ductus venosus) : relie la veine ombilicale à la veine cave inférieure, court-circuite le foie
2. Foramen ovale : communication entre les deux oreillettes
3. Canal artériel : communication entre l'artère pulmonaire et l'aorte","Recall"
"Pourquoi la circulation fœtale est-elle dite « en parallèle » ?","Parce que les deux ventricules éjectent le sang vers la circulation systémique (aorte descendante pour le VD via le canal artériel, aorte ascendante pour le VG). Les shunts physiologiques permettent ce fonctionnement.","Understanding"
"Comment se fait la transition de la circulation fœtale à la circulation néonatale (en série) ?","- Fermeture des shunts (canal d'Arantius, foramen ovale, canal artériel)
- À la naissance, les résistances pulmonaires chutent (vasodilatation pulmonaire)
- Sang veineux systémique → cœur droit → poumons (oxygénation) → cœur gauche → aorte","Recall"
"Quelle est la classification physiopathologique des cardiopathies congénitales ?","- Cyanogènes
- Non cyanogènes
- Cardiopathies complexes (n'appartenant pas aux deux grands groupes)","Recall"
"Citez 5 cardiopathies congénitales cyanogènes.","1. Tétralogie de Fallot
2. Transposition des gros vaisseaux
3. Ventricule unique
4. Tronc artériel commun
5. (Retour veineux pulmonaire anormal total peut être cyanogène – mais listé dans non cyanogènes ? Le document cite comme cyanogènes : tétralogie, TGV, ventricule unique, tronc artériel commun)","Recall"
"Quelles sont les 4 anomalies de la tétralogie de Fallot ?","1. Communication inter-ventriculaire (CIV) péri membraneuse
2. Sténose pulmonaire
3. Dextroposition aortique (aorte à cheval)
4. Hypertrophie ventriculaire droite","Recall"
"Dans la transposition des gros vaisseaux (TGV), quelle est l'anatomie anormale ?","L'aorte naît du ventricule droit et l'artère pulmonaire naît du ventricule gauche. Les circulations systémique et pulmonaire fonctionnent en parallèle.","Recall"
"Pourquoi la transposition des gros vaisseaux est-elle viable en période néonatale ?","Parce qu'il existe des communications entre les deux circulations : foramen ovale perméable, canal artériel et/ou CIV.","Understanding"
"Qu'est-ce qu'un tronc artériel commun ?","Une artère unique assure l'éjection du sang venant à la fois du ventricule gauche et du ventricule droit. Il existe une CIV et une valve troncale anormale (remplace les valves aortique et pulmonaire).","Recall"
"Citez 4 cardiopathies congénitales non cyanogènes de type shunt gauche-droit.","1. Communication inter-auriculaire (CIA)
2. Communication inter-ventriculaire (CIV)
3. Persistance du canal artériel (PCA)
4. Canal atrio-ventriculaire (CAV)","Recall"
"Pourquoi dans une CIA le sang passe-t-il de l'oreillette gauche vers l'oreillette droite (shunt gauche-droit) ?","Parce que le ventricule droit est plus compliant que le ventricule gauche (il se distend plus facilement). Le sang passe donc de l'OG vers l'OD puis le VD.","Understanding"
"Quels sont les 4 types de CIA ?","- CIA ostium secundum (90%)
- CIA ostium primum
- CIA sinus venosus
- CIA sinus coronaire","Recall"
"Quels sont les 4 types de CIV ?","- CIV de l'inlet ou d'admission
- CIV de l'outlet ou de la voie d'éjection
- CIV péri membraneuse (près de la valve tricuspide)
- CIV musculaire ou infundibulaire","Recall"
"Quel est le mécanisme hémodynamique de la persistance du canal artériel (PCA) ?","Le canal artériel joint l'aorte et l'artère pulmonaire. En PCA, il persiste un shunt artério-veineux laissant passer du sang de l'aorte vers l'artère pulmonaire (shunt gauche-droit).","Understanding"
"Quelle est l'association syndromique la plus fréquente avec le canal atrio-ventriculaire (CAV) ?","La trisomie 21 (associée +++).","Recall"
