"term","definition","contextual_explanation"
"Protéinurie","Présence anormale de protéines dans les urines.","Symptôme d'un grand nombre de pathologies néphrologiques, peut aller de bénin à grave."
"Bandelette urinaire","Test de dépistage semi-quantitatif de la protéinurie par échelle colorimétrique.","Échelle : traces (0,1-0,2 g/l), +, ++, +++ (3 g/l)."
"Protéinurie de 24h","Quantification exacte de la protéinurie sur recueil des urines de 24 heures.","Permet de distinguer protéinurie physiologique de pathologique."
"Protéinurie physiologique","Taux normal de protéines dans les urines.","Enfant : <100 mg/m2/j ; nouveau-né : <300 mg/m2/j."
"Albuminurie","Excrétion urinaire d'albumine.","Marqueur de protéinurie glomérulaire. Normale : <30 mg/m2/j."
"Protéinurie glomérulaire","Protéinurie due à une atteinte du glomérule, avec prédominance d'albumine.","L'albumine est élevée."
"Protéinurie tubulaire","Protéinurie due à une atteinte du tube rénal, avec prédominance de protéines de bas poids moléculaire (α1, β2).","Albumine <60%."
"Protéinurie fonctionnelle","Protéinurie transitoire sans atteinte rénale organique.","<0,5 g/l ou + sur BU, intermittente, survenant lors d'affection fébrile ou effort intense. Disparaît au contrôle."
"Néphrose lipoïdique","Syndrome néphrotique idiopathique de l'enfant (3-10 ans).","Répond bien à la corticothérapie (85% d'évolution favorable)."
"Syndrome néphrotique","Association de protéinurie >50 mg/kg/j, hypoalbuminémie <30 g/l, hypoprotidémie <50 g/l, œdèmes.","La néphrose lipoïdique en est la cause typique chez l'enfant."
"Corticothérapie","Traitement par corticoïdes.","Traitement de la néphrose lipoïdique."
"ECBU","Examen cytobactériologique des urines.","Recherche une infection urinaire devant une protéinurie avec hématurie. Seuils : leucocyturie >10^4/ml, bactériurie >10^5/ml."
"Glomérulonéphrite aiguë (GNA)","Inflammation glomérulaire post-infectieuse (angine, impétigo).","Urine 'bouillon sale', œdème discret, HTA, créatinine/urée peu augmentées, baisse de C3, Ac antistreptococciques positifs."
"Purpura rhumatoïde","Vascularite à IgA (maladie de Henoch-Schönlein).","Survient chez l'enfant de 2 à 11 ans, diagnostic clinique : purpura vasculaire, douleurs articulaires, douleurs abdominales. Recherche systématique de complications rénales par BU."
"Syndrome d'Alport","Néphropathie héréditaire liée à l'X (85%).","Associe néphropathie hématurique, atteinte visuelle et surdité."
"Maladie de Berger","Glomérulonéphrite à dépôts d'IgA.","Cause de protéinurie avec hématurie."
"Néphropathie lupique","Atteinte rénale au cours du lupus érythémateux systémique.","Cause de protéinurie avec syndrome inflammatoire."
"Néphropathie tubulo-interstitielle","Atteinte du tube rénal et de l'interstitium.","Souvent d'origine médicamenteuse."
"SHU","Syndrome hémolytique et urémique.","Triade : anémie hémolytique, thrombopénie, insuffisance rénale. Cause de protéinurie avec anémie."
"Protéinurie orthostatique","Protéinurie apparaissant uniquement en position debout.","<1g/24h, intermittente. Confirmation par prélèvement 1h après coucher et prélèvement diurne, à répéter à quelques mois d'intervalle."
"Protéinurie permanente","Protéinurie persistante en position allongée et debout.","Nécessite distinction tubulaire (protéines bas poids moléculaire, hypercalciurie, glycosurie) vs glomérulaire (contrôles réguliers)."
"IRC","Insuffisance rénale chronique.","Cause de retard de croissance et polyurie associés à une protéinurie."
"Tubulopathie chronique","Maladie héréditaire ou acquise du tube rénal.","Cause de retard de croissance et polyurie."
"C3","Fraction C3 du complément.","Baisse dans la glomérulonéphrite aiguë post-streptococcique."
"Anticorps antistreptococciques","Anticorps dirigés contre les antigènes du streptocoque (ASLO, anti-DNase B).","Positifs dans la glomérulonéphrite aiguë."
"Hypercalciurie","Taux élevé de calcium dans les urines.","Associée à la protéinurie tubulaire."
"Glycosurie","Présence de glucose dans les urines.","Associée à la protéinurie tubulaire."
