"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce que le rachitisme carentiel de l'enfant ?","Un trouble de la minéralisation du squelette en croissance dû à une carence en vitamine D","Une maladie génétique de l'os","Une infection osseuse","Une tumeur osseuse bénigne","1","Document: 'trouble de la minéralisation du squelette en croissance ; Dû à une carence en vitamine D'","Easy"
"Quel est l'âge de prédilection du rachitisme carentiel ?","0-3 mois","6-18 mois","2-5 ans","5-10 ans","2","Document: 'Âge de prédilection : 6-18 mois'","Easy"
"Quelle est la source endogène de vitamine D ?","Alimentation","Photosynthèse cutanée","Supplémentation","Lait maternel","2","Document: 'Endogène : photosynthèse cutanée'","Easy"
"Quel est le rôle de la vitamine D ?","Absorption du calcium, fixation du calcium sur la trame protéique, stimulation du remodelage osseux","Synthèse des globules rouges","Production d'énergie","Digestion des lipides","1","Document: 'Action de la vitamine D : Absorption du Calcium ; Fixation du Calcium sur la trame protéique ; Stimulation du remodelage osseux'","Easy"
"Quel est le signe crânien typique voire pathognomonique du rachitisme ?","Craniotabès","Plagiocéphalie","Retard de fermeture de la fontanelle antérieure","Bombement frontal","3","Document: 'Retard de fermeture de la fontanelle antérieure (signe typique voire pathognomonique)'","Easy"
"Quel est le signe radiologique métaphysaire caractéristique du rachitisme ?","Aspect en cupule ou 'toit de pagode'","Ostéolyse","Sclérose osseuse","Fracture pathologique","1","Document: 'Elargissement des bases métaphysaires avec aspect en cupule ou “toit de pagode”'","Easy"
"Quel est le signe biologique constamment élevé dans le rachitisme ?","Calcémie","Phosphatase alcaline (PAL)","Phosphorémie","Fer sérique","2","Document: 'Phosphatase alcaline constamment élevée = marqueur de la résorption osseuse'","Easy"
"Quel est le traitement curatif de première intention du rachitisme carentiel sans hypocalcémie sévère ?","Vitamine D 200 000 UI PO 1 fois à renouveler 1 mois plus tard + calcium per os","Gluconate de calcium IV","Corticothérapie","Transfusion sanguine","1","Document: 'Si calcémie > 2mmol/l ou Signe radiologique : Vitamine D 200.000 UI PO 1 fois à renouveler 1 mois plus tard ; Gluconate de calcium 0,5 à 1g/j pendant 15 jours'","Easy"
"Quel est le traitement de l'hypocalcémie sévère (<2 mmol/l) ?","Supplémentation IV en Gluconate de Calcium 10%","Vitamine D orale","Calcium per os uniquement","Magnésium IV","1","Document: 'Traitement de l’hypocalcémie sévère < 2mmol/l : URGENCE THERAPEUTIQUE : supplémentation IV en Gluconate de Calcium 10%'","Easy"
"Quelle est la posologie de la supplémentation préventive en vitamine D de la naissance à 18 mois ?","400 UI/jour","800 UI/jour","1200 UI/jour","2000 UI/jour","3","Document: 'Supplémentation systématique quotidien ... 1200 UI de vitamine D'","Easy"
"Combien de gouttes de Sterogyl* (1 goutte=400 UI) faut-il administrer par jour jusqu'à 6 mois ?","1 goutte","2 gouttes","3 gouttes","4 gouttes","3","Document: '1 goutte = 400 UI soit 3 gouttes par jour jusqu’à 6 mois'","Easy"
"Quelle est la dose de charge préventive de vitamine D recommandée tous les 3 à 4 mois chez le nourrisson ?","20 000 UI","50 000 UI","80 000 à 100 000 UI","200 000 UI","3","Document: 'administration en dose de charge de 80.000 à 100.000 UI tous les 3 à 4 mois'","Easy"
"Quel est le signe thoracique du rachitisme ?","Chapelet costal","Pectus excavatum","Thorax en entonnoir","Emphysème","1","Document: 'Chapelet costal'","Easy"
"Quelle déformation des membres inférieurs est typique du rachitisme ?","Genu valgum","Genu varum (en cavalier)","Genu recurvatum","Aucune","2","Document: 'Genu varum (en cavalier)'","Easy"
"Quel est le signe dentaire du rachitisme ?","Dents précoces","Hypoplasie de l'émail","Dents surnuméraires","Dents jaunes","2","Document: 'Hypoplasie de l’émail'","Easy"
"Quelle est la cause principale du rachitisme carentiel chez l'enfant ?","Absence de supplémentation","Maladie rénale","Malabsorption","Iatrogène","1","Document: 'Absence de supplémentation'","Easy"
