question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition d'un accouchement eutocique ?", "Expulsion fœtale avec difficultés", "Expulsion fœtale par aboutissement des phénomènes physiologiques", "Expulsion fœtale par césarienne", "Expulsion fœtale par extraction instrumentale", "2", "Le document : 'Accouchement eutocique : expulsion fœtale par aboutissement de l'ensemble des phénomènes physiologiques'", "Easy"
"Quelle est la définition de l'engagement ?", "Franchissement du détroit inférieur", "Franchissement du détroit supérieur par le plus grand diamètre de la présentation fœtale", "Sortie de la tête", "Expulsion du placenta", "2", "Le document : 'Engagement : franchissement du Détroit Supérieur par le plus grand diamètre de la présentation fœtale'", "Easy"
"Quelle est la fréquence de la présentation céphalique du sommet ?", "80%", "85%", "90%", "95%", "4", "Le document : 'Présentation céphalique sommet : la plus fréquente (95%)'", "Easy"
"Quel est le diamètre utilisé lors de la flexion de la tête fœtale ?", "Diamètre bipariétal", "Diamètre sous-occipito-bregmatique (9,5cm)", "Diamètre occipito-frontal", "Diamètre transverse", "2", "Le document : 'Flexion (diamètre sous-occipito-bregmatique emprunte le diamètre antéro-postérieur = 9,5cm)'", "Easy"
"Quelle est la durée de la 1ère étape du travail chez la primipare ?", "2-6 heures", "6-18 heures", "18-24 heures", "24-36 heures", "2", "Le document : 'Durée : 6-18 heures chez les primipares'", "Easy"
"Quelle est la durée de la 1ère étape du travail chez la multipare ?", "1-2 heures", "2-10 heures", "10-15 heures", "15-20 heures", "2", "Le document : '2-10h chez les multipares'", "Easy"
"Quelle est la durée de la 2ème étape du travail ?", "30 minutes - 1 heure", "1-2 heures, voire 3 heures", "3-4 heures", "4-5 heures", "2", "Le document : 'Durée : 1-2 heures, voire 3 heures'", "Easy"
"Quelle est la durée de la 3ème étape (délivrance) ?", "5-30 minutes", "30-60 minutes", "1-2 heures", "2-3 heures", "1", "Le document : '3ème étape : délivrance, Durée : 5 - 30 minutes'", "Easy"
"Quelle est la durée de la 4ème étape (surveillance post-partum) ?", "30 minutes", "1 heure", "2 heures", "3 heures", "3", "Le document : '4ème étape : période de surveillance en salle de naissance (2 heures)'", "Easy"
"À partir de quelle dilatation débute la phase active du travail ?", "3 cm", "4 cm", "5 cm", "6 cm", "3", "Le document : 'Phase active : début à 5 cm de dilatation'", "Easy"
"Quelle est la vitesse de dilatation du col en phase active ?", "1 cm/h", "2 cm/h", "3 cm/h", "4 cm/h", "3", "Le document : 'la vitesse de dilatation du col se situe à 3 cm/h'", "Easy"
"Quel est le signe de Laurier ?", "Impossibilité de placer 2 doigts entre l'épaule antérieure du fœtus et le bord supérieur du pubis", "Distance épaule-pubis < 7 cm", "Deux doigts entre pôle fœtal et sacrococcygien", "Index bute contre présentation", "1", "Le document : 'signe de Laurier : impossibilité de placer 2 doigts entre l'épaule antérieure du fœtus et le bord supérieur du pubis (présentation engagée)'", "Medium"
"Quel est le signe de Favre ?", "Impossibilité de placer 2 doigts épaule-pubis", "Distance épaule-pubis < 7cm", "Deux doigts entre pôle fœtal et sacrococcygien", "Index bute contre symphyse", "2", "Le document : 'Signe de Favre : distance séparant l'épaule du bord supérieur du pubis < 7cm'", "Medium"
"Quel est le signe de Farabeuf ?", "Distance épaule-pubis < 7cm", "Seuls deux doigts trouvent place entre le pôle fœtal descendant et le plan sacrococcygien", "Impossibilité de placer 2 doigts épaule-pubis", "Index bute contre présentation", "2", "Le document : 'Signe de Farabeuf : seuls deux doigts trouvent place entre le pôle fœtal descendant et le plan sacrococcygien'", "Medium"
"Quel est le signe de Demelin ?", "Index introduit perpendiculairement à la symphyse pubienne vient buter contre la présentation", "Distance épaule-pubis < 7cm", "Deux doigts entre pôle fœtal et sacrum", "Impossibilité de placer 2 doigts", "1", "Le document : 'Signe de Demelin : index introduit perpendiculairement à la face antérieure de la symphyse pubienne (parallèlement au bord inférieur de celle-ci) vient buter contre la présentation'", "Medium"
"Quelle est la vitesse minimale de descente de la présentation chez la primipare ?", "0,5 cm/h", "1 cm/h", "2 cm/h", "3 cm/h", "2", "Le document : 'La vitesse de la descente de la présentation dans l'excavation : minimum de 1cm/h chez la primipare'", "Medium"
"Quelle est la vitesse minimale de descente de la présentation chez la multipare ?", "1 cm/h", "2 cm/h", "3 cm/h", "4 cm/h", "2", "Le document : '2cm/h chez la multipare'", "Medium"
"Quelle est la durée maximale de la phase d'expulsion ?", "15 minutes", "30 minutes", "45 minutes", "60 minutes", "2", "Le document : 'Durée maximum de la phase d'expulsion : 30 mn'", "Easy"
"Quelle est la durée maximale de la 1ère étape chez la primipare ?", "14 heures", "16 heures", "18 heures", "20 heures", "4", "Le document : 'Maximum : 20 heures chez la primipare'", "Easy"
"Quelle est la durée maximale de la 1ère étape chez la multipare ?", "10 heures", "12 heures", "14 heures", "16 heures", "3", "Le document : '14 heures chez la multipare'", "Easy"
"Quelle est la variété de présentation occipito-iliaque la plus fréquente ?", "Occipito-pubien direct", "Occipito-iliaque antérieur", "Occipito-iliaque transverse", "Occipito-iliaque postérieur", "2", "Le document : '97% des postérieures tournent en avant en OP' – les antérieures sont les plus fréquentes", "Medium"
"Quel est l'angle entre axe de poussée utérine et axe du détroit supérieur ?", "10-20°", "20-30°", "30-50°", "50-70°", "3", "Le document : 'un angle de 30° à 50°'", "Medium"
"Quelle est la longueur normale du col mûr ?", "> 2 cm", "1,5 - 2 cm", "Inférieure à 1,3 cm", "Supérieure à 1,5 cm", "3", "Le document : 'Col mûr mou, d'une longueur inférieure à 1,3 cm'", "Medium"
"Quelle est la durée de la phase de latence chez la primipare ?", "8,6 heures en moyenne", "5,3 heures en moyenne", "3 heures", "10 heures", "1", "Le document : 'Durée variable, en moyenne 8,6 heures chez la primipare'", "Medium"
"Quelle est la durée de la phase de latence chez la multipare ?", "8,6 heures", "5,3 heures", "3 heures", "10 heures", "2", "Le document : '5,3 heures chez la multipare'", "Medium"
"À partir de quelle dilatation commence la phase de décélération ?", "6 cm", "7 cm", "8 cm", "9 cm", "3", "Le document : 'Phase de décélération : au-delà de 8 cm'", "Easy"
"Quel est le repère pour les variétés de présentation céphalique ?", "La fontanelle antérieure", "L'occiput", "Le front", "Le menton", "2", "Le document : 'Variétés de présentation : position du repère par rapport au bassin maternel (occipito-iliaque)'", "Easy"
"Quel est le pourcentage des postérieures qui tournent en occipitosacré (OS) ?", "97%", "10%", "3%", "50%", "3", "Le document : '3% seulement des postérieures tournent au plus court vers l'arrière en occipitosacré (OS)'", "Medium"
"Que signifie OIGA ?", "Occipito-iliaque gauche antérieur", "Occipito-iliaque droit antérieur", "Occipito-iliaque gauche postérieur", "Occipito-iliaque droit postérieur", "1", "Le document : 'Occipito-iliaque gauche antérieur (OIGA)'", "Easy"
"Quel est le sens de rotation pour l'OIGA ?", "Sens des aiguilles d'une montre", "Sens inverse des aiguilles d'une montre", "Pas de rotation", "Rotation arrière", "2", "Le document : 'en sens inverse des aiguilles d'une montre pour l'OIGA'", "Medium"
