"term","definition","contextual_explanation"
"lithiase biliaire","Pathologie due à l’existence de calculs dans les voies biliaires.","Fréquente et bénigne, mais grave en cas de complications."
"calcul biliaire","Concrétion formée dans la vésicule biliaire ou les voies biliaires.","Plusieurs types : mixtes, cholestérol pur, pigmentaires, carbonate de calcium, à noyau figuré."
"bile","Solution comportant 90‑95% d’eau, électrolytes inorganiques, bilirubine, cholestérol, phospholipides.","Sécrétion 750 ml/j."
"cholestérol","Lipide, composant organique de la bile.","Peut former des calculs."
"phospholipides","Composés organiques de la bile, dont lécithine.","Interviennent dans la solubilisation du cholestérol."
"bilirubine","Pigment biliaire.","Peut former des calculs pigmentaires avec le calcium."
"triangle de Small et Dervichian","Représentation des rapports entre cholestérol, lécithine et sels biliaires.","Utilisé pour comprendre la lithogenèse."
"calculs mixtes","Calculs à couches concentriques de bilirubinate de calcium et de cholestérol (80%).","Couleur claire, opaques aux rayons X."
"calculs de cholestérol pur","Calculs de structure cristalline (15%).","Transparents aux rayons X."
"calculs pigmentaires","Calculs de bilirubine et calcium.","Couleur vert foncé ou noirâtre, transparents aux rayons X."
"calculs de carbonate de calcium","Grains fins comme du sable, lourds, sédimentant au fond de la vésicule.","Opaques aux rayons X."
"calcul à noyau figuré","Calcul dont le centre est formé par un parasite.","Forme rare."
"colique hépatique","Douleur brutale et intense de l’hypocondre droit, coupant l’inspiration, irradiant à l’épaule droite, brève.","Manifestation douloureuse isolée de la lithiase."
"cholécystite aiguë","Inflammation aiguë de la vésicule biliaire.","Complication infectieuse."
"angiocholite","Infection du contenu biliaire et de la voie biliaire principale (cholédoque).","Complication grave."
"iléus biliaire","Occlusion intestinale par un calcul biliaire.","Complication occlusive rare."
"voie biliaire principale","Canal hépatique gauche, canal hépatique droit, canal hépatique commun, cholédoque.","Assure l’écoulement normal de la bile."
"voie biliaire accessoire","Vésicule biliaire et canal cystique.","Rôle de réservoir."
"manœuvre de Murphy","Palpation de l’hypochondre droit avec appui, inspiration profonde.","Positive si douleur à l’inspiration (signe de cholécystite)."
"point de Murphy","Réunion du rebord costal droit avec le bord externe du grand droit de l’abdomen.","Zone de la manœuvre de Murphy."
"radiographie de l’abdomen sans préparation (ASP)","Examen radiologique simple.","Peut montrer des calculs radio‑opaques."
"échographie (échotomographie)","Examen de première intention pour la lithiase biliaire.","Montre des images hyperéchogènes avec cônes d’ombre postérieurs."
"cône d’ombre postérieure","Ombre acoustique derrière un calcul à l’échographie.","Signe indirect de calcul."
"cholécystographie par voie orale","Ancien examen radiologique avec ingestion de produit de contraste.","Abandonné."
"cholangiographie intraveineuse","Ancien examen avec injection IV de produit de contraste.","Abandonné."
"cholangiographie rétrograde par voie endoscopique","Cathétérisme de la papille et injection de produit de contraste.","Permet de visualiser une lacune du bas cholédoque."
"cholangiographie per‑opératoire","Injection de produit de contraste pendant l’intervention chirurgicale.","Vérifie la perméabilité des voies biliaires."
"scanographie","Tomodensitométrie (TDM).","Examen d’imagerie pour les calculs."
"bili‑IRM","IRM des voies biliaires (cholangio‑IRM).","Visualise les calculs et la dilatation des voies biliaires."
