"Numéro","Question","Réponse (Vrai/Faux)","Explication","Difficulté"
"1","L''atrésie de l''œsophage correspond à une interruption de la continuité d''un organe creux.","Vrai","Le document définit : ""Atrésie=interruption de continuité d''un organe creux""","Facile"
"2","Le diagnostic anténatal de l''atrésie de l''œsophage est facile par échographie directe.","Faux","Le document indique : ""Très difficile à faire par simple observation directe à l''échographie.""","Facile"
"3","L''hydramnios est un signe indirect anténatal de l''atrésie de l''œsophage.","Vrai","Le document le cite parmi les signes indirects : ""Hydramnios""","Facile"
"4","La sonde gastro-œsophagienne bute normalement à 5 cm de l''arcade alvéolaire.","Faux","Le document précise : ""La sonde bute à 10-12 cm de l''arcade alvéolaire""","Facile"
"5","L''opacification du cul de sac supérieur est recommandée pour confirmer le diagnostic.","Faux","Le document affirme : ""L''opacification de ce cul de sac supérieur est à PROSCRIRE Formellement""","Facile"
"6","La voie d''abord chirurgicale standard est une thoracotomie droite en extra-pleurale.","Vrai","Le document mentionne : ""La voie d''abord est une thoracotomie droite en extra-pleurale""","Facile"
"7","Le pronostic de l''atrésie isolée de l''œsophage est excellent dans 90% des cas.","Vrai","Le document indique : ""Si atrésie isolée : le pronostic est excellent dans 90% des cas""","Facile"
"8","Le type III de la classification Ladd et Gross correspond à une fistule du cul de sac proximal.","Faux","Le document indique : ""Type III : fistule du cul de sac distal dans la trachée""","Facile"
"9","La position demi-assise prévient le reflux de liquide gastrique dans la trachée.","Vrai","Le document dit : ""Position demi-assise pour prévenir le reflux de liquide gastrique dans la trachée""","Facile"
"10","L''aération digestive à l''ASP est en faveur d''une forme sans fistule.","Faux","Le document précise : ""l''aération digestive est en faveur de la forme avec fistule du cul de sac inférieur""","Facile"
"11","La gastrostomie et la jéjunostomie sont utilisées lorsque l''anastomose est impossible.","Vrai","Le document : ""la réparation est à repousser ... sous couvert d''une gastrostomie et jéjunostomie d''alimentation.""","Facile"
"12","Le syndrome de VACTERL associe des malformations vertébrales, anales, cardiaques, trachéo-œsophagiennes, rénales et des membres.","Vrai","Le document liste exactement ces éléments","Facile"
"13","Le type V de la classification Ladd et Gross est une fistule des deux culs de sac dans la trachée.","Vrai","Le document : ""Type V : fistule des 2 culs de sac dans la trachée""","Moyen"
"14","L''injection de 2 cc d''air dans la sonde permet de visualiser la fistule trachéale.","Faux","Le document dit que cela permet de visualiser ""le fond du cul de sac supérieur"" et d''affirmer son caractère borgne","Moyen"
"15","L''hypersialorrhée dans l''atrésie de l''œsophage est due à une hypersécrétion salivaire.","Faux","Le document explique : ""hypersialorrhée car non déglutie"" (la salive n''est pas avalée et stagne)","Moyen"
"16","Le risque d''inhalation survient uniquement après alimentation orale.","Faux","Le document mentionne un risque d''inhalation dès que le cul de sac proximal est plein, même sans alimentation","Moyen"
"17","La radiographie de thorax avec sonde en place et injection d''air permet d''éliminer une simple fausse route.","Vrai","Le document : ""permettant d''éliminer la réalisation d''une simple fausse route lors du passage de la sonde.""","Moyen"
"18","La trachéomalacie est une complication qui ne survient qu''en cas de malformation associée.","Faux","Le document cite la trachéomalacie comme séquelle possible même dans les formes isolées","Moyen"
"19","Le transport médicalisé n''est pas nécessaire si le bloc opératoire est dans un autre centre.","Faux","Le document indique : ""Si le bloc n''est pas dans le même centre, il faut un transport médicalisé""","Moyen"
"20","La fistule du cul de sac distal dans la carène correspond au type IV.","Vrai","Le document : ""Type IV : fistule du cul de sac distal dans la carène ou bronche souche""","Moyen"
"21","Le réchauffement du bébé est inutile dans la prise en charge initiale.","Faux","Le document prescrit : ""Réchauffer pour éviter toute dépense énergétique inutile""","Moyen"
"22","L''absence de visualisation de l''estomac à l''échographie anténatale est un signe indirect.","Vrai","Le document le cite parmi les signes indirects anténatals","Moyen"
"23","La fistule du cul de sac distal entraîne un abdomen anormalement peu aéré.","Faux","Le document dit l''inverse pour le type 3 : ""Abdomen anormalement trop aéré""","Moyen"
"24","Le reflux gastro-œsophagien post-opératoire peut nécessiter une reprise chirurgicale.","Vrai","Le document : ""un reflux gastro-œsophagien qui réclame une sanction chirurgicale""","Moyen"
"25","Le type I de la classification Ladd et Gross comporte une fistule trachéale.","Faux","Le type I est une atrésie avec deux culs de sac borgnes, sans fistule","Moyen"
"26","La dyskinésie œsophagienne est une complication spécifique des formes avec fistule proximale.","Faux","Le document la cite comme séquelle possible après anastomose, sans spécifier le type","Difficile"
"27","L''hydramnios est dû à une production excessive de liquide amniotique par le fœtus.","Faux","Le document explique : ""Hydramnios car le bébé n''avale pas le liquide amniotique d''où l''accumulation excessive"" (non pas production excessive mais défaut de déglutition)","Difficile"
"28","L''anastomose œsophagienne peut entraîner une portion très courte de l''œsophage sous diaphragmatique.","Vrai","Le document : ""tirer sur l''œsophage distale, d''où portion très courte de l''œsophage sous diaphragmatique""","Difficile"
"29","Les sténoses post-opératoires ne sont pas mentionnées comme complication.","Faux","Le document termine par ""Complications : fistules, sténoses""","Difficile"
