"term","definition","contextual_explanation"
"atrésie de l'œsophage","Interruption de la lumière œsophagienne, avec 2 culs-de-sac borgnes ou fistulisés dans les voies aériennes.","Résulte d'un trouble de l'embryogenèse entre 4ème et 6ème SA, associé à un taux élevé de malformations (syndrome de VACTERL)."
"atrésie","Interruption de continuité d'un organe creux.","Dans le document, l'atrésie de l'œsophage est définie comme une interruption de la lumière œsophagienne."
"cul-de-sac (cds)","Extrémité borgne d'un organe creux après interruption.","Dans l'atrésie, il y a 2 culs-de-sac (proximal et distal) qui peuvent être borgnes ou fistulisés dans la trachée, carène ou bronche."
"fistule","Connexion anormale entre un cul-de-sac œsophagien et les voies respiratoires.","Les culs-de-sac peuvent se fistuliser dans la trachée (types II, III, V), la carène (type IV) ou la bronche souche (type IV)."
"hydramnios","Accumulation excessive de liquide amniotique.","Signe d'appel anténatal de l'atrésie de l'œsophage car le bébé n'avale pas le liquide amniotique."
"hypersialorrhée","Production excessive de salive.","À la naissance, la salive stagne dans le cul-de-sac proximal car non déglutie, d'où une hypersialorrhée."
"fausse route","Pénétration de liquide (salive, aliment, liquide gastrique) dans les voies respiratoires.","Risque majeur de l'atrésie œsophagienne, survenant dès la première têtée. Peut aussi être simulée par un passage difficile de la sonde."
"détresse respiratoire inexpliquée","Symptôme respiratoire sans cause évidente.","Un des signes cliniques évocateurs à la naissance, lié à l'inhalation ou à la fistule trachéo-œsophagienne."
"sonde gastro-œsophagienne","Tube fin introduit par voie nasale ou orale pour explorer ou aspirer l'œsophage.","Son passage systématique permet le diagnostic : la sonde bute à 10-12 cm de l'arcade alvéolaire. Ne doit être ni trop fine ni trop molle."
"arcade alvéolaire","Structure osseuse de la mâchoire contenant les alvéoles dentaires (future arcade dentaire).","Point de repère pour mesurer la distance à laquelle la sonde bute (10-12 cm)."
"radiographie du thorax","Examen d'imagerie de profil avec sonde en place.","Permet de visualiser le cul-de-sac supérieur après injection de 2 cc d'air ; l'opacification est proscrite."
"inondation broncho-alvéolaire","Remplissage des bronches et alvéoles par un liquide de contraste.","Complication grave de l'opacification du cul-de-sac supérieur, formellement à proscrire."
"ASP (abdomen sans préparation)","Radiographie de l'abdomen sans produit de contraste.","L'aération digestive (présence d'air) est en faveur d'une fistule du cul-de-sac distal dans les voies aériennes. L'abdomen totalement opaque évoque une forme sans fistule."
"conditionnement","Ensemble des mesures immédiates après diagnostic avant la chirurgie.","Inclut : position demi-assise, sonde d'aspiration, perfusion, réchauffement, arrêt de l'alimentation orale, transfert médicalisé."
"position orthostatique ou demi-assise","Position assise ou semi-assise du patient.","Prévient le reflux de liquide gastrique dans la trachée en cas de fistule distale."
"sonde naso-œsophagienne d'aspiration","Sonde placée dans l'œsophage pour aspirer les sécrétions.","Doit être à double courant si possible, pour éviter l'inhalation de salive stagnante."
"thoracotomie droite en extra-pleurale","Voie d'abord chirurgicale par le côté droit du thorax, respectant la plèvre.","Voie standard pour rétablir la continuité œsophagienne et fermer les fistules."
"gastrostomie","Ouverture chirurgicale de l'estomac à la peau pour y placer une sonde d'alimentation.","Utilisée temporairement si l'anastomose œsophagienne est impossible, associée à une jéjunostomie."
"jéjunostomie d'alimentation","Sonde d'alimentation placée dans le jéjunum.","Permet l'alimentation entérale en attendant une réparation œsophagienne différée."
"trachéomalacie","Mollesse anormale de la trachée due à un défaut de soutien cartilagineux.","Complication postopératoire fréquente de l'atrésie de l'œsophage, pouvant persister quelques mois ou années."
"dyskinésie œsophagienne","Trouble de la motricité de l'œsophage.","Complication postopératoire pouvant persister après réparation de l'atrésie."
"reflux gastro-œsophagien (RGO)","Remontée acide de l'estomac dans l'œsophage.","Complication fréquente après anastomose œsophagienne, peut nécessiter une sanction chirurgicale."
"syndrome de VACTERL","Association polymalformative : Vertébral, Anorectal, Cardiaque, Trachéo-œsophagien, Rénal, Limb (membres).","Explique le taux élevé de malformations associées à l'atrésie de l'œsophage, due à un trouble de l'embryogenèse entre 4ème et 6ème semaine."
"embryogenèse","Processus de développement de l'embryon.","Le trouble de l'embryogenèse entre la 4ème et la 6ème semaine est à l'origine de l'atrésie œsophagienne."
"classification de Ladd et Gross","Système de classification des atrésies de l'œsophage en 5 types.","Type I (2 culs borgnes), II (fistule proximale), III (fistule distale), IV (fistule distale dans carène/bronche), V (fistules proximale et distale)."
"carène","Bifurcation de la trachée en bronches souches droite et gauche.","Dans le type IV, la fistule du cul-de-sac distal se fait dans la carène."
"sténose","Rétrécissement cicatriciel d'un organe creux après chirurgie.","Complication tardive de la réparation de l'atrésie de l'œsophage."
