"Numéro","Question","Option A","Option B","Option C","Option D","Réponse (lettre)","Explication","Difficulté"
"1","Quelle est la définition de l''atrésie donnée dans le document ?","Interruption de la continuité d''un organe plein","Interruption de la continuité d''un organe creux","Fusion anormale de deux organes creux","Absence congénitale d''un organe","B","Le document indique : ""Atrésie=interruption de continuité d''un organe creux""","Facile"
"2","Selon l''introduction, entre quelles semaines d''aménorrhée survient le trouble de l''embryogenèse responsable de l''atrésie de l''œsophage ?","2ème et 4ème SA","4ème et 6ème SA","6ème et 8ème SA","8ème et 10ème SA","B","Le document précise : ""Elle résulte d''un trouble de l''embryogenèse entre la 4ème et la 6ème Sa""","Facile"
"3","Que signifie l''acronyme VACTERL ?","Vertébral, Anorectal, Cardiaque, Trachéo-œsophagien, Rénal, Limb","Vertébral, Anorectal, Cérébral, Trachéal, Rénal, Laryngeal","Vascular, Anomalies, Cardiaque, Trachéal, Estomac, Rénal","Vertébral, Anal, Cœur, Trachée, Estomac, Rein","A","Le document liste : ""Vertébral, Anorectal, Cardiaque, Trachéo-oesophagien, Rénal, Limb : membres""","Facile"
"4","Dans la classification de Ladd et Gross, quel type correspond à une atrésie avec deux culs de sac borgnes ?","Type I","Type II","Type III","Type IV","A","Le document indique : ""Type 1: atrésie avec 2 culs de sac borgnes"" (la classification Ladd et Gross utilise les chiffres romains, mais Type 1 équivaut à Type I)","Facile"
"5","Quel est le signe indirect anténatal de l''atrésie de l''œsophage le plus fréquemment cité ?","Polydramnios","Oligoamnios","Hydramnios","Anamnios","C","Le document mentionne à plusieurs reprises : ""Hydramnios"" comme signe indirect anténatal et comme suspicion anténatale","Facile"
"6","À quelle distance de l''arcade alvéolaire la sonde gastro-œsophagienne bute-t-elle dans l''atrésie de l''œsophage ?","5-8 cm","10-12 cm","12-15 cm","15-18 cm","B","Le document précise : ""La sonde bute à 10-12 cm de l''arcade alvéolaire (future arcade dentaire)""","Facile"
"7","Quelle est la voie d''abord chirurgicale recommandée pour le rétablissement de la continuité œsophagienne ?","Thoracotomie gauche transpleurale","Thoracotomie droite en extra-pleurale","Laparotomie médiane","Cervicotomie","B","Le document indique : ""La voie d''abord est une thoracotomie droite en extra-pleurale""","Facile"
"8","Quel est le pronostic de l''atrésie de l''œsophage isolée selon le document ?","Excellent dans 50% des cas","Excellent dans 75% des cas","Excellent dans 90% des cas","Excellent dans 95% des cas","C","Le document précise : ""Si atrésie isolée : le pronostic est excellent dans 90% des cas""","Facile"
"9","Quelle complication post-opératoire est mentionnée comme pouvant réclamer une sanction chirurgicale ?","Sténose œsophagienne","Fistule récurrente","Trachéomalacie","Reflux gastro-œsophagien","D","Le document cite : ""un reflux gastro-œsophagien qui réclame une sanction chirurgicale"" (ainsi que trachéomalacie et dyskinésie, mais la sanction est spécifiquement pour le RGO)","Facile"
"10","Quel geste est formellement proscrit lors du bilan radiologique ?","L''injection de 2 cc d''air dans la sonde","La radiographie de thorax de profil","L''opacification du cul de sac supérieur","L''aspiration digestive","C","Le document affirme : ""L''opacification de ce cul de sac supérieur est à PROSCRIRE Formellement, car elle entrainerait une inondation broncho-alvéolaire""","Facile"
"11","Quelle est la conséquence du type 3 sur l''abdomen ?","Abdomen totalement opaque","Abdomen anormalement trop aéré","Abdomen distendu sans gaz","Abdomen normal","B","Le document précise : ""Conséquence du type 3 : Abdomen anormalement trop aéré (estomac et intestin) : le bébé ""respire dans l''estomac"" par la fistule""","Facile"
"12","Quel est le nom du syndrome polymalformatif associé à l''atrésie de l''œsophage ?","Syndrome de Down","Syndrome de VACTERL","Syndrome de Edwards","Syndrome de Turner","B","Le document indique : ""syndrome de VACTERL"" dans l''introduction","Facile"
"13","Dans la classification de Ladd et Gross, le type II correspond à :","Fistule du cul de sac distal dans la trachée","Fistule du cul de sac proximal dans la trachée","Atrésie avec deux culs de sac borgnes","Fistule des deux culs de sac dans la trachée","B","Le document dit : ""Type II : fistule du cul de sac proximal dans la trachée""","Moyen"
"14","Quel est le principal risque lié à l''opacification du cul de sac supérieur ?","Perforation œsophagienne","Inondation broncho-alvéolaire","Fausse route médicamenteuse","Pneumothorax","B","Le document explique : ""elle entrainerait une inondation broncho-alvéolaire""","Moyen"
"15","Que doit-on faire si l''anastomose est impossible en raison d''un écart trop important ?","Gastrostomie et jéjunostomie d''alimentation","Œsophagostomie cervicale","Transplantation de l''œsophage","Attente sans intervention","A","Le document précise : ""Si anastomose impossible (écart trop important), la réparation est à repousser en quelques semaines sous couvert d''une gastrostomie et jéjunostomie d''alimentation.""","Moyen"
"16","Quels sont les trois signes cliniques à évoquer devant une atrésie de l''œsophage à la naissance ?","Hydramnios, vomissements, diarrhée","Hypersialorrhée, détresse respiratoire, fausse route","Ictère, cyanose, convulsions","Tachycardie, tachypnée, fièvre","B","Le document cite : ""Un hydramnios, Hypersialorrhée, Détresse respiratoire inexpliquée, Fausse route dès la première têtée""","Moyen"
