"term","definition","contextual_explanation"
"proctologie","Spécialité médicale consacrée aux affections de l’anus et du rectum.","Deux pathologies fréquentes : thrombose hémorroïdaire et fissure anale."
"thrombose hémorroïdaire","Formation d’un caillot dans une hémorroïde.","15% des hémorroïdes font des poussées de thrombose ; se manifeste par une vive douleur anale sans fièvre."
"fissure anale","Ulcération superficielle des plis radiés de l’anus.","Pathologie proctologique fréquente."
"anuscopie","Examen endoscopique du canal anal.","Troisième temps de l’examen proctologique, sauf en cas de contraction douloureuse."
"rectorragie","Émission de sang rouge par l’anus.","Signe d’appel des hémorroïdes internes ; peut être en jet, éclaboussant, parfois abondante."
"prurit anal","Démangeaison de l’anus.","Signe d’appel."
"marisque","Séquelle cutanée d’hémorroïdes.","Visible à l’inspection de la marge anale."
"prolapsus hémorroïdaire","Extériorisation des hémorroïdes internes.","Peut être spontané ou à l’effort, avec 4 stades."
"ligne pectinée","Ligne dentelée séparant le canal anal du rectum.","Limite entre hémorroïdes internes (au‑dessus) et externes (en dessous)."
"hémorroïdes internes","Dilatations veineuses situées dans la sous‑muqueuse au‑dessus de la ligne pectinée.","Drainées par le système porte, trois paquets : gauche, antérieur droit, postérieur droit."
"hémorroïdes externes","Dilatations veineuses sous‑cutanées sous la ligne pectinée.","Drainées par le système cave."
"système porte","Système veineux drainant le tube digestif vers le foie.","Drainage des hémorroïdes internes."
"système cave","Système veineux cave (supérieur et inférieur).","Drainage des hémorroïdes externes."
"hypotonie du sphincter interne","Diminution du tonus du sphincter lisse de l’anus.","Facteur physiopathologique."
"hyperapport artériel","Excès de flux artériel par rapport aux capacités veineuses.","Facteur contributif."
"grossesse","État de gestation.","Facteur favorisant par hyperpression intra‑abdominale."
"thrombose hémorroïdaire externe","Thrombose d’une hémorroïde externe.","Tuméfaction violacée et douloureuse extériorisée, évoluant vers nécrose puis évacuation du thrombus."
"thrombose hémorroïdaire interne","Thrombose d’une hémorroïde interne.","Douleur intra‑canalaire vive, parfois prolapsus sous tension."
"phlébotonique","Médicament améliorant le tonus veineux.","Utilisé per os ou en topique (ex : Daflon)."
"topique","Médicament appliqué localement.","Suppositoire ou pommade avec phlébotonique et anesthésiques locaux."
"incision évacuatrice","Courte incision sous anesthésie locale pour évacuer un caillot.","Traitement instrumental de la thrombose hémorroïdaire en l’absence d’œdème majeur."
"bain de siège","Immersion de la région anale dans l’eau.","Eau très chaude pour résorber le caillot ; recommandé après chaque selle."
"hémorroïdectomie","Ablation chirurgicale des hémorroïdes.","Réservée aux échecs des traitements médical et instrumental."
"coloscopie","Endoscopie du côlon.","Obligatoire devant une rectorragie hémorroïdaire pour éliminer une autre cause."
"procidence","Extériorisation d’un organe (ici hémorroïdes).","Terme synonyme de prolapsus."
"stade 1 prolapsus","Hémorroïdes non procidentes.","Premier stade."
"stade 2 prolapsus","Procidence à l’effort, réductible spontanément.","Deuxième stade."
"stade 3 prolapsus","Procidence à l’effort, réduction manuelle nécessaire.","Troisième stade."
"stade 4 prolapsus","Procidence spontanée et permanente.","Quatrième stade."
"prolapsus recto‑anal","Descente de la paroi rectale à travers l’anus.","Diagnostic différentiel du prolapsus hémorroïdaire."
"bilharziose intestinale","Infection parasitaire par Schistosoma.","Diagnostic différentiel de la rectorragie."
"anite","Inflammation de l’anus.","Diagnostic différentiel de la douleur anale."
"injection sclérosante","Traitement instrumental par injection d’un produit sclérosant dans l’hémorroïde.","Provoque une fibrose."
"photocoagulation","Destruction par laser ou lumière pulsée.","Traitement instrumental."
"ligature élastique","Application d’un anneau élastique au pied du paquet hémorroïdaire interne.","Provoque une nécrose ischémique et une chute de l’hémorroïde."
"opération de MILLIGAN‑MORGAN","Hémorroïdectomie avec résection des trois paquets, sphinctérotomie non systématique, plaies ouvertes.","Technique chirurgicale."
"opération de FERGUSON","Hémorroïdectomie avec résection des paquets, respect du sphincter interne, plaies suturées.","Technique alternative."
"anopexie circulaire de LONGO","Résection circulaire de 2‑3 cm de muqueuse anale à l’aide d’une pince mécanique.","Traite hémorroïdes et prolapsus."
"sténose anale","Rétrécissement du canal anal.","Complication à prévenir par toucher rectal régulier après chirurgie."
