"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la maladie des emboles de cholestérol selon le document ?","Maladie thrombotique systémique","Maladie athéroembolique systémique (multiples emboles à partir de plaques athéromateuses)","Maladie auto-immune vasculaire","Maladie infectieuse des gros vaisseaux","2","Le document définit : ''maladie athéroembolique systémique (= multiples emboles à partir de plaques athéromateux)''.","Easy"
"Quel est le pronostic de la maladie des emboles de cholestérol selon le document ?","Favorable","Pronostic sombre : IRCT, mortalité élevée","Guérison spontanée","Réversible sans séquelles","2","Le document indique : ''Pronostic sombre : IRCT, mortalité élevée''.","Easy"
"Quel est le délai typique entre le facteur déclenchant et l'apparition des signes selon le document ?","24 à 48 heures","8 jours à 8 semaines","2 à 3 mois","6 mois à 1 an","2","Le document précise : ''8 jours à 8 semaines avant''.","Easy"
"Quel signe ophtalmologique est spécifique de la maladie des emboles de cholestérol ?","Hémorragie rétinienne","Emboles rétiniens jaune orangé réfringents","Œdème papillaire","Nodules cotonneux","2","Le document indique : ''Oculaire : emboles rétiniens jaune orangé réfringents (spécifiques)''.","Easy"
"Quel signe cutané est caractéristique de la maladie des emboles de cholestérol ?","Érythème noueux","Livedo réticulaire","Purpura thrombopénique","Pustulose","2","Le document liste : ''Livedo réticulaire'' parmi les signes cutanés.","Easy"
"Quels sont les trois types de facteurs déclenchants de la maladie des emboles de cholestérol cités dans le document ?","Infection, traumatisme, stress","Angiographie invasive, chirurgie cardio-vasculaire, anti-thrombotique/anti-coagulant","Grossesse, diabète, obésité","Tabac, alcool, sédentarité","2","Le document liste : ''angiographie invasive, chirurgie cardio-vasculaire, anti-thrombotique/anti-coagulant''.","Medium"
"Quelle est la triade diagnostique de la maladie des emboles de cholestérol selon le document ?","Exposition à un facteur déclenchant, IRA, signes cutanés au F.O.","Fièvre, rash, arthralgies","Douleur abdominale, hémorragie digestive, ischémie mésentérique","Livedo, orteils pourpres, purpura","1","Le document indique : ''Positif : triade : Exposition à un facteur déclenchant, IRA, signes cutanés au F.O''.","Medium"
"Quel est le traitement médicamenteux recommandé pour stabiliser les plaques athéromateuses selon le document ?","Anticoagulants oraux","Statine à forte dose","Corticoïdes","Antiagrégants plaquettaires","2","Le document mentionne : ''Statine à forte dose (stabilise la plaque)''.","Medium"
"Quels sont les trois diagnostics différentiels de la maladie des emboles de cholestérol cités dans le document ?","CP emboligène, endocardite infectieuse, NTA post-PCI","Lupus, polyarthrite rhumatoïde, sclérodermie","Glomérulonéphrite aiguë, syndrome néphrotique, HSF","Maladie de Berger, purpura rhumatoïde, Goodpasture","1","Le document liste : ''Différentiels : CP emboligène, Endocardite infectieuse, NTA post-PCI''.","Medium"
"Quel est le pourcentage approximatif d'atteinte cutanée et rénale dans la maladie des emboles de cholestérol selon le document ?","Cutanés 30-90%, rénaux 50-75%","Cutanés 10-20%, rénaux 80-90%","Cutanés 50%, rénaux 50%","Cutanés 80%, rénaux 30%","1","Le document indique : ''Cutanés (30 - 90%) ; Rénaux (50-75%)''.","Difficult"
"Quelle est la particularité de l'atteinte digestive dans la maladie des emboles de cholestérol selon le document ?","Atteinte digestive dans 10-40% des cas, associée à un pronostic péjoratif","Atteinte digestive dans 80% des cas, de bon pronostic","Atteinte digestive asymptomatique","Atteinte digestive toujours présente","1","Le document précise : ''Digestifs (10-40%) - Pronostic péjoratif''.","Difficult"
