question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de la rhinosinusite aiguë de l’adulte ?","Infection chronique des cavités rhinosinusiennes","Infection aiguë d’une ou de plusieurs cavités rhinosinusiennes","Inflammation allergique des sinus","Infection du pharynx","2","Le document indique : Infection aiguë d’une ou de plusieurs cavités rhinosinusiennes.","Easy"
"Quelle est la durée d’évolution d’une rhinosinusite aiguë ?","Inférieure à 3 semaines","Supérieure à 6 semaines","Entre 3 et 6 semaines","Plus de 3 mois","1","Le document précise : Evolution inférieur à 3 semaines.","Easy"
"Quel tableau clinique est hautement évocateur de rhinosinusite aiguë ?","Céphalées isolées","Rhinorrhée purulente + algies faciales","Fièvre isolée","Obstruction nasale sans douleur","2","Le document indique : Rhinorrhée purulente + algies faciales : hautement évocatrices.","Easy"
"À partir de quel âge la rhinosinusite aiguë peut-elle être diagnostiquée selon le document ?","Nourrisson","Enfant à partir de 6 ans","Adolescent uniquement","Adulte uniquement","2","Le document précise : Adulte et enfant à partir de 6 ans.","Easy"
"Les sinus antérieurs comprennent :","Sinus frontal, maxillaire et partie postérieure de l’ethmoïde","Sinus frontal, maxillaire et petite partie du sinus ethmoïdal","Sinus sphénoïdal et ethmoïde postérieur","Tous les sinus","2","Le document indique : Sinus antérieur : Frontal et Maxillaire, petite partie du sinus ethmoïdal.","Medium"
"Les sinus postérieurs se drainent au niveau :","Du méat moyen","Du méat inférieur","Du méat supérieur","Directement dans le cavum","3","Le document précise : Sinus postérieurs se drainent au méat supérieur.","Medium"
"Le sinus frontal est :","Toujours symétrique","Jamais symétrique","Un sinus pair et symétrique","Un sinus impair","2","Le document indique : Le sinus frontal n’est jamais symétrique.","Medium"
"Quel est le tableau clinique dominant (TDD) de la rhinosinusite aiguë selon le document ?","Rhinosinusite d’origine virale","Rhinosinusite aiguë d’origine dentaire","Rhinosinusite d’origine allergique","Rhinosinusite post-traumatique","2","Le document précise : TDD : RHINOSINUSITE AIGUË D’ORIGINE DENTAIRE.","Easy"
"Quel signe général est fréquemment retrouvé dans la rhinosinusite aiguë ?","État général conservé mais asthénie due à l’insomnie et à la douleur","État général altéré d’emblée","Fièvre hyperpyrexique","Confusion mentale","1","Le document indique : Etat général conservé, Asthénie due à l’insomnie et à la douleur.","Easy"
"La rhinorrhée de la rhinosinusite aiguë est décrite comme :","Claire et abondante","Purulente (jaunâtre ou verdâtre)","Sanglante","Séreuse","2","Le document précise : Rhinorrhée purulente (jaunâtre ou verdâtre).","Easy"
"La cacosmie est définie comme :","Une sensation de mauvaise odeur permanente","Une perte de l’odorat","Une douleur faciale","Une obstruction nasale","1","Le document indique : Cacosmie (sensation de mauvaise odeur permanente).","Medium"
"Les dents sinusiennes sont :","Les incisives et canines","Les prémolaires et molaires maxillaires (15-16-17 / 25-26-27)","Les molaires mandibulaires","Les dents de sagesse","2","Le document précise : Dents sinusiennes : 15 - 16 - 17 / 25 - 26 - 27.","Medium"
"Quel examen radiologique est demandé en première intention dans la rhinosinusite aiguë ?","Scanner des sinus","IRM cérébrale","Radiographie des sinus (incidences Blondeau, face haute, profil)","Panoramique dentaire seul","3","Le document indique : Radiographie des sinus : Blondeau, Face haute, Profil.","Medium"
"La seule forme clinique nécessitant une ponction-drainage chirurgicale est :","L’ethmoïdite de l’enfant","La sinusite bloquée","La pansinusite","La rhinosinusite d’origine dentaire","2","Le document précise : C’est la seule forme clinique qui nécessite une ponction-drainage chirurgicale (sinusite bloquée).","Medium"
"L’ethmoïdite de l’enfant se manifeste par :","Une douleur dentaire","Un œdème de l’angle interne de l’œil et une rougeur palpébrale","Une paralysie faciale","Une otorrhée","2","Le document décrit : Ethmoïdite de l’enfant : œdème de l’angle interne de l’œil, Rougeur palpébrale.","Medium"
"La pansinusite correspond à :","Une atteinte isolée du sinus maxillaire","Une atteinte de tous les sinus","Une atteinte frontale seule","Une atteinte sphénoïdale seule","2","Le document indique : Pansinusite : atteinte de tous les sinus.","Easy"
"Quel est l’examen clé pour éliminer une cause tumorale avec lyse osseuse ?","Radiographie standard","Scanner des sinus","Panoramique dentaire","IRM","2","Le document précise : Scanner des sinus : Elimine une cause tumorale avec lyse osseuse.","Medium"
"Quelles sont les complications méningo-encéphaliques de la rhinosinusite aiguë ?","Méningite et encéphalite","Paralysie faciale","Otite moyenne","Laryngite","1","Le document cite : Complications méningo-encéphaliques.","Easy"
"Quel antibiotique est recommandé en cas d’allergie aux pénicillines dans la rhinosinusite aiguë ?","Céphalosporines","Macrolides","Aminosides","Fluoroquinolones","2","Le document indique : Les macrolides ont une bonne diffusion amygdalienne (substitue les péni et ac clavulanique en cas d’allergie).","Medium"
"Quel germe anaérobie peut être en cause dans la rhinosinusite d’origine dentaire ?","Haemophilus influenzae","Streptococcus pneumoniae","Staphylococcus aureus","Germes anaérobies (non précisés)","4","Le document cite : Germes anaérobies dans les bactéries en cause.","Medium"
