question,answer,explanation
"question","answer","explanation","difficulty"
"Quels sont les quatre aspects morphologiques de l’appendice dans l’appendicite aiguë ?","1. Appendice sain ou discrètement congestif ; 2. Appendice catarrhal (rouge, hyperhémié) ; 3. Appendice purulent (turgescent, tendu, fausses membranes, pus dans la lumière = empyème) ; 4. Appendice gangréneux (noirâtre, destruction pariétale, anaérobies).","Le document décrit ces aspects.","Easy"
"Quelles sont les deux formes d’appendice qui peuvent se perforer ?","L’appendice purulent et l’appendice gangréneux.","Le document : 'Ces deux dernières formes peuvent s’accompagner de perforation'","Easy"
"Citez les différentes positions de l’appendice liées à la variation de position du caecum.","Caecum sous-hépatique (appendice sous-hépatique), caecum pelvien (appendice pelvien), anomalie d’accolement (situs inversus, caecum à gauche).","Le document : 'Par variation de position du caecum'","Easy"
"Quelles sont les positions de l’appendice par rapport au caecum ?","Appendice iléo-caecal (normal), latéro-caecal, rétro-caecal, mésocoeliaque (vers l’ombilic).","Le document : 'Par variation de position de l’appendice par rapport au caecum'","Easy"
"Quels sont les modes évolutifs de la crise appendiculaire aiguë ?","Péritonite d’emblée, accalmie puis péritonite en 2 temps, plastron puis abcès puis péritonite en 3 temps, occlusion appendiculaire.","Le document énumère ces évolutions.","Easy"
"Définissez le plastron appendiculaire.","Agglutination des viscères (anses intestinales) autour du foyer appendiculaire inflammé pour limiter la diffusion de l’inflammation.","Le document : 'Plastron : agglutination des viscères autour du foyer appendiculaire inflammé'","Easy"
"Définissez l’abcès appendiculaire.","Collection de pus circonscrite par les anses grêles, située à l’extérieur de la lumière appendiculaire (par opposition à l’empyème).","Le document donne cette définition.","Easy"
"Définissez la péritonite appendiculaire.","Inflammation aiguë de la séreuse péritonéale étendue sur l’ensemble de la cavité abdominale.","Le document : 'inflammation aiguë de la séreuse péritonéale étendue sur l’ensemble de la cavité abdominale'","Easy"
"Quels sont les signes généraux de la forme typique de l’appendicite ?","EG conservé, langue saburrale, tachycardie, température 37°8-38°C (rarement >38°5).","Le document : 'Signes généraux'","Easy"
"Quels sont les signes fonctionnels de la forme typique ?","Douleur à début progressif, siégeant habituellement à la FID (parfois début épigastrique ou ombilical), intensité modérée continue lancinante, nausées, vomissements, constipation ou diarrhée.","Le document : 'Signes fonctionnels'","Easy"
"Quels sont les signes physiques de la forme typique ?","Douleur au point de Mac Burney, défense localisée, signe de Rowding (douleur à la décompression de la FID), signe de Blumberg (douleur à la compression de la FIG), douleur au toucher pelvien.","Le document : 'Signes physiques'","Medium"
"Quel est le signe de Rowding ?","Douleur ressentie par la décompression de la fosse iliaque droite.","Le document : 'Signe de Rowding : douleur ressentie par la décompression de la FID'","Medium"
"Quel est le signe de Blumberg ?","Douleur ressentie à la compression de la fosse iliaque gauche (FIG) qui mobilise les organes vers la droite.","Le document : 'Signe de Blumberg : douleur ressentie à la compression de la FIG'","Medium"
