question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est l'augmentation du volume plasmatique pendant la grossesse ?", "+ 15%", "+ 25%", "+ 40%", "+ 50%", "3", "Le document : 'Volume plasmatique : + 40%'", "Easy"
"Quelle est l'augmentation de la masse des globules rouges pendant la grossesse ?", "+ 15%", "+ 25%", "+ 40%", "+ 50%", "1", "Le document : 'Volume cellulaire (masse des GR) : + 15%'", "Easy"
"Quelle est la conséquence de l'hémodilution sur l'hématocrite ?", "Augmente de 40 à 50%", "Diminue de 40 à 34%", "Stable", "Double", "2", "Le document : 'Diminution de l'hématocrite (passant de 40 à 34 %)'", "Easy"
"Quel est le seuil de l'hémoglobine définissant l'anémie chez la femme enceinte au 1er trimestre ?", "Hb < 12 g/dl", "Hb < 11 g/dl", "Hb < 10,5 g/dl", "Hb < 10 g/dl", "2", "Le document : 'Hb < 11g/dl (T1 et T3)'", "Easy"
"Quel est le seuil de l'hémoglobine définissant l'anémie chez la femme enceinte au 2ème trimestre ?", "Hb < 12 g/dl", "Hb < 11 g/dl", "Hb < 10,5 g/dl", "Hb < 10 g/dl", "3", "Le document : 'Hb < 10,5g/dl (T2)'", "Easy"
"Quelle est l'hyperleucocytose physiologique de grossesse ?", "5.000 - 8.000/mm3", "8.000 - 10.000/mm3", "12.000 - 15.000/mm3", "15.000 - 20.000/mm3", "3", "Le document : 'Hyperleucocytose physiologique : augmentation des PN : 12.000-15.000/mm3'", "Easy"
"Quelles sont les dépenses énergétiques estimées pendant la grossesse ?", "1500 kcal/j", "2000 kcal/j", "2500 kcal/j", "3000 kcal/j", "3", "Le document : 'Dépenses énergétiques estimées à 2500 kcal/j'", "Easy"
"Quel est l'effet de la progestérone sur le tonus vasculaire ?", "Vasoconstriction", "Vasodilatation (myorelaxant)", "Neutre", "Spasme", "2", "Le document : 'Par vasodilatation artérielle (progestérone : myorelaxant, diminue la contractilité des fibres musculaires lisses)'", "Easy"
"Quelle est l'augmentation du débit cardiaque pendant la grossesse ?", "10 à 20%", "20 à 40%", "40 à 60%", "60 à 80%", "2", "Le document : 'Débit cardiaque augmenté de 20 à 40%'", "Easy"
"Quelle est l'élévation du diaphragme pendant la grossesse ?", "2 cm", "3 cm", "4 cm", "5 cm", "3", "Le document : 'Elévation du niveau du diaphragme de 4 cm'", "Easy"
"Quel est l'élargissement de l'angle xyphoïdien pendant la grossesse ?", "50 - 70°", "60 - 90°", "70 - 105°", "90 - 120°", "3", "Le document : 'Elargissement de l'angle xyphoïdien : 70 - 105°'", "Easy"
"Quelle est l'augmentation du débit de filtration glomérulaire pendant la grossesse ?", "10-20%", "20-30%", "30-50%", "50-70%", "3", "Le document : 'Augmentation de la filtration glomérulaire de 30-50%'", "Easy"
"Quelle est la protéinurie physiologique maximale pendant la grossesse ?", "< 100 mg/24h", "< 200 mg/24h", "< 300 mg/24h", "< 500 mg/24h", "3", "Le document : 'Légère protéinurie physiologique (< 300mg/24h)'", "Easy"
"Quelle est la prise de poids totale moyenne pendant la grossesse ?", "6-8 kg", "8-10 kg", "Environ 12 kg", "15-18 kg", "3", "Le document : 'jusqu'à 12 kg environ au cours de la grossesse'", "Easy"
"À partir de quand le colostrum apparaît-il ?", "1er mois", "Fin du 1er trimestre", "2ème trimestre", "3ème trimestre", "2", "Le document : 'Apparition du colostrum à la fin du 1er trimestre de la grossesse'", "Easy"
"Quelle est la fréquence cardiaque maternelle moyenne en fin de grossesse ?", "80 bpm", "90 bpm", "100 bpm", "110 bpm", "3", "Le document : 'Augmentation de la FC (100bpm)'", "Easy"
"Quelle est la VS pendant la grossesse ?", "Normale", "Augmentée (par augmentation fibrinogène et globulines)", "Diminuée", "Inchangée", "2", "Le document : 'VS augmentée (par augmentation de la fibrinogène et globulines)'", "Easy"
"Quel est l'effet respiratoire de la progestérone ?", "Augmente la sensibilité des centres respiratoires", "Diminue la sensibilité des centres respiratoires", "Neutre", "Dépression respiratoire", "2", "Le document : 'Diminution de la sensibilité des centres respiratoires due à la progestérone'", "Medium"
"Quel est le syndrome de Lacomme ?", "Douleur thoracique", "Relâchement des articulations symphysaires : douleur en position debout", "Crampes", "Lombalgie", "2", "Le document : 'Syndrome de Lacomme (physiologique : relâchement des articulations symphysaires (inter pubiennes) : douleur +++ quand elle va se mettre en position debout)'", "Medium"
"Quelle est la cause des varices et hémorroïdes pendant la grossesse ?", "Hypervolémie", "Compression de la veine cave inférieure par l'utérus gravide", "Hypercoagulabilité", "Anémie", "2", "Le document : 'Compression de la veine cave inférieur par l'utérus gravide (...) Varices et hémorroïdes'", "Medium"
"Quelle est l'hyperventilation physiologique de grossesse ?", "Augmentation de la fréquence respiratoire", "Augmentation du volume courant, FR inchangée", "Diminution du volume courant", "FR diminuée", "2", "Le document : 'Hyperventilation : FR inchangée, augmentation du volume courant'", "Medium"
"Quelle est la conséquence rénale de la dextrorotation utérine ?", "Complications urologiques à gauche", "Complications urologiques à droite (colique néphrétique, PNA)", "Pas de conséquence", "Compression urétérale bilatérale", "2", "Le document : 'Dextrorotation : les complications urologiques acd grossesse se trouvent presque toujours à droite : Colique néphrétique, PNA'", "Medium"
