"term","definition","contextual_explanation"
"neuroblastome","Tumeur embryonnaire maligne du tissu sympathique","Se développe aux dépens de la crête neurale, de la région cervicale au petit bassin. Localisation abdominale la plus fréquente."
"tissu sympathique","Tissu du système nerveux autonome sympathique","Origine du neuroblastome."
"crête neurale","Structure embryonnaire à l'origine des ganglions sympathiques","Les neuroblastomes se développent aux dépens de la crête neurale."
"localisation abdominale","Siège le plus fréquent du neuroblastome","Mentionné comme la localisation la plus fréquente."
"métastases anténatales","Métastases survenant avant la naissance","Des cas de neuroblastome ont déjà fait des métastases avant la période anténatale. Les neuroblastomes fœtaux peuvent métastaser in utero sur le foie et le placenta."
"formes néonatales","Neuroblastome chez le nouveau-né","Tumeur bien limitée, encapsulée, mollasse et d'exérèse facile."
"loge surrénalienne","Espace anatomique contenant la glande surrénale","Localisation latérale possible du neuroblastome."
"ganglions latéro-aortiques","Ganglions lymphatiques situés à côté de l'aorte","Localisation latérale possible."
"ganglions latéro-caves","Ganglions lymphatiques situés à côté de la veine cave","Localisation latérale possible."
"sympathique péri-aortique","Fibres sympathiques autour de l'aorte","Localisation centrale du neuroblastome (péri vasculaire)."
"AMS","Artère mésentérique supérieure","Le neuroblastome central se développe au contact de l'AMS, du tronc cœliaque et de l'origine de la veine porte."
"tronc cœliaque","Artère issue de l'aorte","En contact avec le neuroblastome central."
"ganglioneuroblastome","Variante histologique du neuroblastome","Forme microscopique intermédiaire."
"ganglioneurome","Lésion bénigne du tissu nerveux","Variante bénigne, mentionnée comme lésion bénigne."
"VMA (acide vanylmandélique)","Métabolite des catécholamines","Élevé dans 95% des neuroblastomes, pathognomonique."
"HVA (acide homovanillique)","Métabolite des catécholamines","Élevé dans 95% des neuroblastomes, pathognomonique."
"dopamine","Catécholamine","Élevée dans 95% des neuroblastomes, pathognomonique."
"catécholamines urinaires","Hormones excrétées dans les urines","Leur élévation est pathognomonique du neuroblastome."
"férritinémie","Taux de ferritine dans le sang","Augmenté dans le neuroblastome."
"NSE (enolase spécifique des neurones)","Marqueur tumoral neuronal","Augmenté dans le neuroblastome."
"LDH (lactate déshydrogénase)","Enzyme","Augmentée dans le neuroblastome."
"MIBG (Méta Iodo Benzyl Guanidine)","Traceur pour scintigraphie","Utilisé pour détecter les métastases en cas de doute."
"ponction biopsie à l'aiguille fine","Prélèvement percutané","Réalisée si tous les examens non invasifs sont négatifs."
"ADP satellites","Adénopathies autour de la tumeur","Recherchées au scanner dans le bilan d'extension."
"trous de conjugaison","Orifices entre les vertèbres pour le passage des nerfs rachidiens","Rapports à étudier pour les tumeurs très postérieures."
"prolongement intra-canalaire","Extension tumorale dans le canal rachidien","Peut nécessiter une IRM."
"myélogramme","Prélèvement de moelle osseuse","Pour rechercher des métastases médullaires."
"biopsie médullaire","Prélèvement de moelle osseuse","Pour rechercher des métastases médullaires."
"proto-oncogène N-myc","Gène impliqué dans la prolifération cellulaire","Son amplification a un intérêt pronostique dans le neuroblastome."
"amplification","Augmentation du nombre de copies d'un gène","Facteur pronostique."
"exérèse complète","Ablation chirurgicale totale de la tumeur","Premier objectif de la chirurgie."
"thoracophrénolaparotomie","Incision chirurgicale combinant thorax, diaphragme et abdomen","Voie d'abord pouvant être utilisée."
"laminectomie","Ablation d'une lame vertébrale","Pour tumeur en sablier, on ouvre la colonne vertébrale."
"cartilages de conjugaison","Cartilages de croissance des vertèbres","Leur destruction est une séquelle de la radiothérapie."
"tumeur en sablier","Tumeur ayant une composante intra-rachidienne","Responsable de compression médullaire."
"syndrome oculo-cérébello-myoclonique","Syndrome neurologique associant atteinte oculaire, cérébelleuse et myoclonies","Forme exceptionnelle de révélation du neuroblastome."
"diarrhée motrice","Diarrhée liée à une hypermotricité intestinale","Signe révélateur rare du neuroblastome."
