"question","answer","explanation","difficulty"
"Les oreillons sont une affection bactérienne aiguë.","False","Document: 'Affection virale aiguë'","Easy"
"La parotidite ourlienne est habituellement unilatérale.","False","Document: 'd'abord unilatérale puis bilatérale'","Easy"
"L'incubation des oreillons dure en moyenne 19 jours.","True","Document: 'Incubation : longue : 15-24 jours (moyenne=19 jours)'","Easy"
"La guérison spontanée des oreillons survient en 8-10 jours.","True","Document: 'Guérison spontanée : en 8-10 jours'","Easy"
"L'orchite ourlienne survient chez 50% des garçons pubères.","False","Document: '20% des cas'","Easy"
"L'atrophie testiculaire séquellaire après orchite ourlienne survient dans 50% des cas.","True","Document: 'Atrophie testiculaire séquellaire dans 50% des cas'","Easy"
"La pancréatite ourlienne est souvent sévère.","False","Document: 'Le plus souvent asymptomatique ou peu sévère'","Easy"
"La méningite ourlienne est à prédominance lymphocytaire.","True","Document: 'Méningite lymphocytaire'","Easy"
"Le virus ourlien est un virus à ADN.","False","Document: 'Virus à ARN, famille des Paramyxoviridae'","Easy"
"La transmission du virus se fait par voie aérienne (gouttelettes de salive).","True","Document: 'transmission par gouttelettes de salive'","Easy"
"Le traitement des oreillons repose sur l'acyclovir.","False","Document: 'Traitement symptomatique' pas d'antiviral","Easy"
"La vaccination ROR est recommandée dès 12 mois.","True","Document: 'dès 12 mois puis entre 16-18 mois'","Easy"
"Le signe de Prehn est positif dans l'orchite ourlienne.","False","Document: 'Signe de Prehn (-)'","Easy"
"L'encéphalite ourlienne a une mortalité de 1-5%.","True","Document: 'décès dans 1-5% des cas'","Easy"
"La parotidite ourlienne touche rarement les enfants de moins de 2 ans.","True","Document: 'Infection rare avant 2 ans'","Easy"
"Le virus ourlien a un réservoir animal.","False","Document: 'Réservoir strictement humain'","Easy"
"L'orchite ourlienne est souvent bilatérale.","False","Document: 'Unilatérale le plus souvent'","Medium"
"La stérilité est fréquente après orchite ourlienne.","False","Document: 'stérilité rare'","Medium"
"La méningite ourlienne nécessite un traitement antiviral.","False","Document: 'pas d'indication d'antiviral'","Medium"
"La pancréatite ourlienne peut être asymptomatique.","True","Document: 'Le plus souvent asymptomatique ou peu sévère'","Medium"
"La RT-PCR pour le virus ourlien est utile après 10 jours de symptômes.","False","Document: 'dans les 4 premiers jours suivant le début des symptômes'","Medium"
"Le syndrome de Mikulicz est une cause de parotidite indolore chronique.","True","Document: 'augmentation chronique du volume des parotides ... indolore'","Medium"
"La parotidite due au VIH doit être évoquée devant une atteinte unilatérale récidivante.","True","Document: 'atteinte unilatérale, récidivante (VIH)'","Medium"
"Les corticoïdes sont indiqués dans les formes sévères d'oreillons.","False","Document: aucun traitement corticoïde mentionné","Medium"
"L'hyperamilasémie est un examen d'orientation diagnostique.","True","Document: 'Orientation diagnostique : hyperamilasémie'","Medium"
"La vaccination ourlienne protège de façon efficace.","True","Document: 'Protection vaccinale efficace'","Medium"
"Les oreillons sont une maladie immunisante avec immunité permanente.","True","Document: 'Maladie immunisante (immunité permanente)'","Medium"
"La parotidite ourlienne peut donner un aspect en poire au visage.","True","Document: 'aspect en forme de poire'","Medium"
"L'orchite ourlienne survient toujours après la parotidite.","False","Document: 'Pouvant apparaître avant la parotidite ... ou être isolée'","Difficult"
"La méningite ourlienne est souvent associée à une atteinte glandulaire.","False","Document: 'sans atteinte glandulaire dans 1 cas sur 2'","Difficult"
"Le syndrome de Guillain-Barré est une complication possible des oreillons.","True","Document: 'Syndrome de Guillain Barré'","Difficult"
"Les examens paracliniques sont systématiques devant une parotidite typique.","False","Document: 'Inutiles qu'en cas de doute diagnostique'","Difficult"
"La transillumination du scrotum est positive dans l'orchite ourlienne.","True","Document: 'Tuméfaction ... réaction inflammatoire de la vaginale (transillumination)'","Difficult"
"Le traitement de l'orchite ourlienne comprend le port d'un suspensoir.","True","Document: 'port de suspensoir si orchite'","Easy"
"L'éviction du cas est obligatoire en collectivité.","False","Document: 'Eviction du cas non obligatoire'","Medium"
"La parotidite bactérienne suppurative est un diagnostic différentiel des oreillons.","True","Document: 'Parotidite bactérienne suppurative' dans diagnostic différentiel","Easy"
"L'hyperleucocytose est typique des oreillons.","False","Document: 'absence d'hyperleucocytose'","Medium"
"Les oreillons peuvent être asymptomatiques.","True","Document: 'Localisations neuroméningées souvent infracliniques' et formes sans parotidite","Difficult"
