"term","definition","contextual_explanation"
"Oreillons","Affection virale aiguë, contagieuse et systématique, entraînant habituellement une tuméfaction douloureuse des glandes salivaires (parotides).","Maladie immunisante, rare avant 2 ans, endémique dans le monde."
"Parotidite ourlienne","Inflammation de la parotide due au virus ourlien.","Phase d'état des oreillons (70% des cas), d'abord unilatérale puis bilatérale, refoulant le lobule de l'oreille en haut et dehors, comblant le sillon rétro-maxillaire."
"Canal de Sténnon","Canal excréteur de la parotide.","Sa turgescence est un signe examinateur de la parotidite ourlienne."
"Orchite ourlienne","Inflammation du testicule secondaire au virus ourlien.","Complication fréquente (20% des cas) chez le sujet pubère, survenant 4-8 jours après la parotidite, avec recrudescence fébrile, douleurs testiculaires, signe de Prehn négatif."
"Épididymite ourlienne","Inflammation de l'épididyme associée à l'orchite.","Le document mentionne 'Orchite et/ou épididymite ourlienne'."
"Signe de Prehn","Signe clinique : soulagement de la douleur testiculaire par l'élévation du testicule.","Négatif dans l'orchite ourlienne (positif dans l'épididymite)."
"Atrophie testiculaire","Diminution de volume du testicule après une inflammation.","Séquelle dans 50% des cas d'orchite ourlienne, la stérilité est rare."
"Pancréatite ourlienne","Inflammation du pancréas secondaire au virus ourlien.","Complication dans 4% des cas, souvent asymptomatique ou peu sévère, avec nausées, vomissements, douleurs épigastriques, guérison spontanée sans séquelles."
"Méningite lymphocytaire","Inflammation des méninges avec prédominance de lymphocytes dans le LCS.","Localisation neuroméningée la plus fréquente des oreillons (1-10% des cas), souvent infraclinique, sans atteinte glandulaire dans 1 cas sur 2, évolution favorable sans séquelle."
"Encéphalite ourlienne","Inflammation du parenchyme cérébral secondaire au virus ourlien.","Rare (1/5000 à 1/10000 cas), décès dans 1-5% des cas, peut entraîner une surdité définitive."
"Myélite","Inflammation de la moelle épinière.","Complication rare des oreillons."
"Polyradiculonévrite aiguë (Syndrome de Guillain Barré)","Atteinte inflammatoire des racines nerveuses et des nerfs périphériques.","Complication rare des oreillons."
"Hyperamilasémie","Taux élevé d'amylase dans le sang.","Signe biologique d'orientation diagnostique des oreillons (atteinte parotidienne ou pancréatique)."
"RT-PCR","Réaction de polymérisation en chaîne après transcription inverse.","Méthode de confirmation virologique des oreillons sur salive, sang ou LCS dans les 4 premiers jours des symptômes."
"Sérologie ourlienne","Détection d'anticorps spécifiques anti-virus ourlien.","Confirmation diagnostique en l'absence de vaccination antérieure."
"Parotidite bactérienne suppurative","Infection bactérienne de la parotide avec formation de pus.","Diagnostic différentiel de la parotidite ourlienne."
"Syndrome de Mikulicz","Augmentation chronique indolore du volume des parotides et des glandes lacrymales.","Diagnostic différentiel observé dans tuberculose, sarcoïdose, LED, leucémies ou lymphosarcomes."
"Virus ourlien","Virus à ARN de la famille des Paramyxoviridae.","À tropisme glandulaire (parotide, testicule, pancréas) et neurologique, réservoir humain, transmission par gouttelettes de salive."
"Tropisme glandulaire","Affinité d'un virus pour les tissus glandulaires.","Le virus ourlien a un tropisme pour les glandes salivaires, testicules et pancréas."
"Vaccin ROR","Vaccin trivalent contre la rougeole, les oreillons et la rubéole.","Administré dès 12 mois puis entre 16-18 mois pour la prévention."
"Suspensoir","Dispositif maintenant les testicules pour soulager la douleur.","Recommandé en cas d'orchite ourlienne."
