"question","option1","option2","option3","option4","answer","explanation","difficulty"
"La prématurité est définie par une naissance vivante survenue entre :","20 et 37 SA","22 et 37 SA","24 et 37 SA","22 et 36 SA","2","Le document : ''Toute naissance vivante survenue entre la 22ème et 37ème SA''.","Easy"
"La grande prématurité concerne environ :","5% des naissances","1 à 1,5% des naissances","0,5% des naissances","2% des naissances","2","Le document : ''Grande prématurité : 1 à 1,5%''.","Easy"
"La prématurité modérée est définie par un âge gestationnel :","< 28 SA","entre 28 et 32 SA","> 32 SA","entre 34 et 36 SA","3","Le document : ''Prématurité modérée : > 32 SA''.","Easy"
"Un extrême prématuré (prématurissime) a un âge gestationnel :","< 28 SA","< 26 SA","< 24 SA","< 22 SA","1","Le document : ''Extrême prématuré ou prématurissime : moins de 28 SA''.","Easy"
"La prématurité légère correspond à :","32-33 SA 6j","34-36 SA 6j","30-32 SA","28-31 SA 6j","2","Le document : ''Prématurité légère : 34 SA à 36 SA 6j''.","Easy"
"Parmi les classifications selon la trophicité, on distingue :","Prématurité hypotrophique et eutrophique","Prématurité harmonieuse et disharmonieuse","Prématurité sévère et modérée","Prématurité légère et extrême","1","Le document : ''En fonction de la trophicité – Prématurité hypotrophique, Prématurité eutrophique''.","Easy"
"Le score de Ballard permet de déterminer :","L’âge gestationnel neurologique","L’âge morphologique","L’âge échographique","La trophicité","1","Le document : ''Age neurologique : score de BALLARD ou score de Dubowitz''.","Easy"
"Un signe clinique du prématuré est :","Peau épaisse et rugueuse","Peau érythrosique, fine, transparente, consistance gélatineuse","Lanugo clairsemé","Œdèmes absents","2","Le document : ''Peau érythrosique, fine, transparente, de consistance gélatineuse''.","Easy"
"Le lanugo chez le prématuré est :","Absent","Abondant et épais","Fin et clairsemé","Uniquement sur le dos","2","Le document : ''Lanugo abondant et épais''.","Easy"
"Une prématurité inexpliquée doit être considérée comme :","Bénigne","Une infection bactérienne précoce jusqu’à preuve du contraire","Une malformation","Une anomalie génétique","2","Le document : ''Prématurité inexpliquée = infection bactérienne précoce jusqu’au preuve du contraire''.","Easy"
"Parmi les facteurs favorisants de prématurité, on trouve :","Âge maternel entre 20 et 30 ans","Primiparité","Sport modéré","Poids maternel normal","2","Le document : ''Primiparité, Multiparité, Age de la mère (<18 ans et >35 ans)''.","Easy"
"Une cause maternelle de prématurité est :","Grossesse multiple","Béance cervico-isthmique","Chorioamniotite","Hydramnios","2","Le document : ''Anomalies utérines – Béance cervico-isthmique''.","Easy"
"Une cause ovulaire de prématurité est :","Prééclampsie","Grossesses multiples","Infection urinaire","Malformation utérine","2","Le document : ''CAUSES OVULAIRES – Grossesses multiples, Chorioamniotite, Hydramnios''.","Easy"
"La maladie des membranes hyalines est due à :","Un défaut de surfactant","Une infection","Une hypothermie","Une hyperbilirubinémie","1","Le document : ''Maladie des membranes hyalines par défaut de surfactant''.","Easy"
"La dysplasie broncho-pulmonaire survient chez le prématuré :","Oxygénodépendant à plus de 28 jours","Ventilé plus de 7 jours","Avec surfactant","Avec infection","1","Le document : ''Dysplasie broncho-pulmonaire (chez NN préma oxygéno-dépendant à plus de 28j)''.","Easy"
"Le seuil d’hypoglycémie chez le prématuré selon le document est :","< 0,3 g/l","< 0,4 g/l","< 0,5 g/l","< 0,2 g/l","1","Le document : ''Hypoglycémie : glycémie < 0,3 g/l''.","Easy"
"Le seuil d’hypocalcémie chez le prématuré est :","< 60 mg/l","< 70 mg/l","< 80 mg/l","< 90 mg/l","3","Le document : ''Hypocalcémie : calcémie < 80 mg/l''.","Easy"
"Une complication neurologique sévère du prématuré est :","Céphalhématome","Hémorragie intra-ventriculaire (HIV)","Crise convulsive fébrile","Méningite","2","Le document : ''Hémorragies intra-ventriculaire (HIV)''.","Easy"
"Une complication ophtalmologique du prématuré est :","Cataracte congénitale","Rétinopathie du prématuré","Glaucome","Strabisme","2","Le document : ''Rétinopathie du prématuré''.","Easy"
"La méthode Kangourou est :","Une technique de réanimation","Une alternative à la couveuse","Un traitement médicamenteux","Un examen radiologique","2","Le document : ''Méthode Kangourou +++ – Alternative à la couveuse''.","Easy"
"La prévention de la prématurité comporte trois niveaux. Le premier niveau est :","La prise en charge de la MAP","La prévention de la survenue de la prématurité (planning familial, CPN)","La prévention du décès","La réanimation","2","Le document : ''Prévention de la survenue de la prématurité (Planning familial, IEC mère à bien suivre toutes les CPN (au moins 8), décision médicale ++++)''.","Easy"
"La grande prématurité se situe entre :","22 et 27 SA 6j","28 et 31 SA 6j","32 et 33 SA 6j","34 et 36 SA 6j","2","Le document : ''Grande prématurité : 28 SA à 31 SA 6j''.","Easy"
"La prématurité extrême (soins palliatifs sans réanimation) concerne :","22-24 SA","22-27 SA 6j","24-27 SA 6j","22-26 SA","1","Le document : ''Prématurité extrême : 22 SA à 27 SA 6j (22 - 24 : déclare juste le NN, soins palliatifs, sans réanimation)''.","Medium"
"Le score de Finnstrom est un score :","Neurologique","Morphologique","Échographique","Électrophysiologique","2","Le document : ''Age morphologique : score de FARR ou score de Finnstrom''.","Medium"
"Les courbes de Leroy et Lefort permettent de distinguer :","Eutrophique ou hypotrophique","L’âge gestationnel","Le sexe","La prématurité","1","Le document : ''Courbe de Leroy et Lefort : eutrophique ou hypotrophique (< 10ème percentile)''.","Medium"
"Un RCIU harmonieux touche :","Toutes les mensurations","Seulement le poids","Seulement la taille","Seulement le PC","1","Le document : ''Si toutes les mensurations sont touchées : RCIU harmonieux''.","Medium"
"Une complication métabolique du prématuré est :","Hypercalcémie","Tubulopathie du grand prématuré (perte de sodium urinaire)","Hypernatrémie","Hyperphosphatémie","2","Le document : ''Tubulopathie du grand prématuré (par perte de sodium urinaire)''.","Medium"
"L’entérocolite ulcéro-nécrosante est une complication :","Respiratoire","Digestive","Neurologique","Cardiaque","2","Le document : ''Entérocolites ulcéro-nécrosantes'' dans complications digestives.","Medium"
"La persistance du canal artériel peut entraîner :","HTAP","Hypotension","Bradycardie","Hyperthermie","1","Le document : ''Persistance du canal artériel avec risque de décompensation cardiaque voire HTAP plus tard''.","Medium"
"La leucomalacie périventriculaire (LPV) est une complication :","Digestive","Neurologique","Ophtalmologique","Respiratoire","2","Le document : ''Leucomalacie périventriculaire (LPV)'' dans complications neurologiques.","Medium"
"La rétinopathie du prématuré est favorisée par :","L’hypothermie","L’oxygénodépendance prolongée","L’hypoglycémie","L’allaitement maternel","2","Le document : ''Surtout si oxygénodépendance prolongée''.","Medium"
"La caféine est utilisée chez le prématuré pour :","Traiter l’anémie","Prévenir les apnées","Stimuler l’appétit","Améliorer la croissance","2","Le document : ''Caféine (pour éviter les apnées du prématuré)''.","Medium"
"La vitamine K n’est pas citée dans la vitaminothérapie du prématuré. Laquelle est citée ?","Vitamines A, D, E, K","Vitamines B et C","Vitamines A, B, C","Vitamines D, E, K","1","Le document : ''Vitaminothérapie : A D E K''.","Medium"
"La prévention de la survenue de décès (3e niveau) inclut :","La tocolyse","La méthode Kangourou bien pratiquée","Le planning familial","Les CPN","2","Le document : ''Prévention de la survenue de décès : (réanimation, alimentation correcte, méthode kangourou bien pratiquée, complications)''.","Medium"
"La prématurité associée à une hypotrophie a un pronostic :","Meilleur","Plus mauvais","Identique","Variable","2","Le document : ''Pronostic : d’autant plus mauvais si associé à une hypotrophie''.","Medium"
