"question","option1","option2","option3","option4","answer","explanation","difficulty"
"À quel âge un enfant tient-il sa tête seul ?","1 mois","3-4 mois","6 mois","8 mois","2","Selon le document, à 3-4 mois l'enfant tient la tête.","Easy"
"Quel est l'âge limite pour l'acquisition de la marche sans retard selon le document ?","12 mois","15 mois","18 mois","24 mois","3","Le document indique: '18 mois : sans marche = retard de la marche'.","Easy"
"À quel âge apparaît la préhension en pince pouce-index ?","6 mois","9-10 mois","12 mois","18 mois","2","Document: '9-10mois : pince pouce-index'.","Easy"
"Quel réflexe archaïque est également présent au niveau des plantes des pieds ?","Moro","Succion","Grasping","Marche automatique","3","Document: 'Grasping (aussi au niveau des plantes des pieds)'.","Easy"
"À quel âge un enfant doit-il commencer à babiller ?","3 mois","6 mois","9 mois","12 mois","2","Document: '6 mois : babillage'.","Easy"
"Selon le document, quel pourcentage des informations l'examen clinique tire-t-il de l'écoute et de l'observation ?","50%","70%","90%","100%","3","Document: 'Ecouter et regarder : 90% des informations'.","Easy"
"Quel signe clinique évoque un problème neuromusculaire chez l'enfant ?","Signe de Babinski","Signe de Gowers","Réflexe de Moro","Grasping","2","Document: 'Signe de Gowers (+) : problème neuro musculaire, n'arrive pas à se lever d'un coup'.","Easy"
"À quel âge l'absence d'association de deux mots constitue-t-elle un retard de langage ?","18 mois","2 ans","3 ans","4 ans","2","Document: '2 ans : n'associe pas 2 mots = retard'.","Easy"
"Un enfant de 12 mois ne présente pas de babillage. Selon le document, cela correspond à quel type d'alerte ?","Retard de langage","Trouble du comportement","Déficience auditive","Normal","1","Document: signes d'alertes langage: à 12 mois 'Babillage' - donc absence = retard de langage.","Medium"
"La prise de Dépakine pendant la grossesse peut entraîner selon le document :","Retard de croissance","Malformations cérébrales","Toxoplasmose","Asphyxie périnatale","2","Document: 'Déroulement de la grossesse (dépakine : malformations cérébrales = pbm psychomoteur)'.","Medium"
"En cas de mauvaise interaction sociale, que faut-il d'abord vérifier selon le document ?","L'alimentation","La vision et l'audition","L'absence de douleur","La présence des parents","2","Document: 'En cas de mauvaise interaction sociale : voit-il ? Entend-il ?' donc acuité visuelle et auditive.","Medium"
"La latéralisation précoce (préférence manuelle avant 6 mois) est considérée comme :","Normale","Un signe de précocité","Un signe d'alerte","Un signe de bonne évolution","3","Document: '6 mois : commence à attraper, sans préférence D ou G sinon = latéralisation précoce' - donc anormal, signe d'alerte.","Medium"
"Une souffrance aiguë périnatale survenant en dehors de tout contexte doit faire évoquer :","Une erreur médicale","Une pathologie constitutionnelle ou infectieuse du fœtus","Une carence maternelle","Un traumatisme obstétrical","2","Document: 'Si souffrance aiguë survenant en dehors de tout contexte : évoquer une pathologie constitutionnelle ou infectieuse du fœtus'.","Medium"
"La microcéphalie est définie par un périmètre crânien :","< -2 DS","< -3 DS","> +3 DS","Entre -2 et +2 DS","2","Document: 'Microcéphalie <-3DS' est un signe d'inquiétude.","Medium"
"Devant un retard de marche à 18 mois, l'examen clinique vise à distinguer quelle étiologie ?","Origine orthopédique ou neurologique","Origine centrale ou neuromusculaire","Origine psychologique ou environnementale","Origine métabolique ou toxique","2","Document: 'Ex : retard de la marche : (origine centrale ou neuromusculaire ?)'.","Difficult"
"La classification étiologique du retard psychomoteur selon la période comprend :","Anténatale, natale, postnatale","Prénatale, périnatale, post-natale","Génétique, infectieuse, traumatique","Neurologique, musculaire, psychologique","2","Document: Étiologies: 1. Origine périnatale, 2. Origine prénatale, 3. Origine post-natale.","Difficult"
"Devant une régression des acquisitions, le bilan paraclinique à réaliser est :","EEG","Imagerie cérébrale","Bilan métabolique","Caryotype","3","Document: 'Bilan métabolique (régression des acquisitions)'.","Difficult"
"Parmi les suivants, lequel est un signe d'alerte comportemental à 12 mois selon le document ?","Absence de marche","Absence de pointage du doigt","Absence de babillage","Absence de pince pouce-index","2","Document: 'Absence à 12 mois : Pointage du doigt, Gestes sociaux'.","Difficult"
"Quel est le premier réflexe archaïque cité dans la liste du document ?","Moro","Succion","Grasping","Marche automatique","2","Document: la liste commence par 'Succion' puis 'Points cardinaux', etc.","Easy"
"La prise en charge recommandée pour le retard psychomoteur est :","Uniquement kinésithérapie","Spécialisée et multidisciplinaire","Médicamenteuse","Chirurgicale","2","Document conclusion: 'Prise en charge spécialisée et multidisciplinaire'.","Medium"
