"front","back","cognitive_level"
"Qu’est-ce qu’une exophtalmie ?","Protrusion du globe oculaire en dehors de l’orbite, due à une augmentation de volume du contenu orbitaire.","Recall"
"Quels sont les deux types de pronostic engagés dans l’exophtalmie ?","Pronostic fonctionnel de l’œil et pronostic vital.","Recall"
"Quels sont les éléments contenus dans l’orbite ?","Globe oculaire, muscles oculo-moteurs, paquets vasculo-nerveux (nerf optique, artère ophtalmique), glande lacrymale.","Recall"
"De quoi dépend la position du globe par rapport à l’orbite ?","De l’importance du contenant (orbite osseuse) et du volume du contenu de l’orbite.","Recall"
"Quel est l’aspect clinique de l’exophtalmie à l’inspection de face ?","Fente palpébrale du côté atteint plus ouverte, limbe scléro-cornéen supérieur devenu visible.","Recall"
"À quoi sert l’exophtalmomètre de Hertel ?","À mesurer la protrusion du globe. Valeur normale : environ 18 mm. Exophtalmie si > 21 mm ou différence > 2 mm entre les deux yeux.","Recall"
"Quel examen d’imagerie est systématique en première intention devant une exophtalmie ?","Scanner centré sur l’orbite.","Recall"
"Quelles sont les trois complications de gravité de l’exophtalmie liées à l’œil lui-même ?","1) Exposition de la cornée (sècheresse, ulcère, perforation → perte de l’œil) ; 2) Compression du nerf optique (risque d’atrophie optique irréversible).","Recall"
"Quelles sont les complications générales propres à l’étiologie d’une exophtalmie ?","Infection généralisée (abcès orbitaire), thrombophlébite cérébrale, abcès du cerveau, méningite, septicémie.","Recall"
"Quels sont les diagnostics différentiels de l’exophtalmie ?","Myopie forte (axe antéro-postérieur > 25-27 mm), buphtalmie (glaucome congénital), rétraction palpébrale (cicatrice, Basedow), enophtalmie controlatérale, exorbitisme (dysostoses crâniennes, maladie de Crouzon).","Recall"
"Qu’est-ce que l’exorbitisme ?","Protrusion du globe et du contenu orbitaire par diminution du volume orbitaire, liée à des dysostoses crâniennes et crânio-faciales congénitales (oxycéphalie, maladie de Crouzon).","Recall"
"Quel est l’élément clé de l’interrogatoire pour orienter le diagnostic étiologique ?","L’interrogatoire oriente dans 9 cas sur 10.","Recall"
"Quels sont les caractères de l’exophtalmie à l’inspection ?","Uni- ou bilatéral (bilatéral → endocrinienne +++), axile ou oblique, inflammatoire ou non, dilatation des vaisseaux conjonctivaux en tête de méduse.","Recall"
"Quels signes recherche-t-on à la palpation d’une exophtalmie ?","Réductibilité, pulsatilité, frémissement (thrill), tumeur, adénopathie, cadre orbitaire.","Recall"
"Quels signes recherche-t-on à l’auscultation d’une exophtalmie ?","Souffle ou « bruit de train » au niveau de la région temporale ou orbitaire.","Recall"
"Quels signes recherche-t-on à l’examen du fond d’œil dans l’exophtalmie ?","Plis rétiniens de compression, œdème papillaire (signe d’HTIC ou compression du nerf optique).","Recall"
"Quel est le bilan biologique de première intention devant une exophtalmie ?","Bilan thyroïdien.","Recall"
"Quelles sont les explorations morphologiques disponibles dans l’exophtalmie ?","Radiographie du crâne centrée sur l’orbite (face, profil, Blondeau), panoramique dentaire, échographie oculo-orbitaire mode B, scanner centré sur l’orbite (1ère intention), IRM, doppler orbitaire, phlébographie orbitaire.","Recall"
"Quelle est la tumeur maligne orbitaire la plus fréquente chez l’enfant ?","Rhabdomyosarcome (tumeur du muscle strié, 5 % des cancers pédiatriques). Caractéristiques : non axiale, indolore, inflammatoire, rapidement évolutive.","Recall"
"Qu’est-ce qu’un gliome du nerf optique ?","Tumeur bénigne mais grave, développée aux dépens des cellules de soutien du nerf optique, encapsulée, d’évolution lente. Survenue vers 5-10 ans. Parfois associé à une maladie de Von Recklinghausen. Exophtalmie unilatérale, axiale, irréductible, associée à une atrophie optique.","Recall"
"Qu’est-ce qu’une méningocèle orbitaire ?","Hernie de méninge congénitale non héréditaire par agénésie osseuse. Tumeur molle, dépressible, variable avec les cris ou la position, réductible, siège supéro-interne de l’orbite. Exophtalmie unilatérale, réductible, non axile. Radiographie : défect osseux.","Recall"
"Qu’est-ce qu’un kyste dermoïde orbitaire ?","Tumeur congénitale bénigne présente à la naissance, fréquente, siège à l’angle supéro-externe de l’orbite (queue du sourcil). L’exophtalmie est rare.","Recall"
"Quelles sont les tumeurs orbitaires de l’adulte ?","Lymphome de l’orbite (sujet âgé), tumeurs de la glande lacrymale (adénome pléomorphe bénin → potentiel malin), métastases (poumon, rein, sein), cancers ORL à extension orbitaire, méningiomes du sphénoïde, ostéomes, mucocèle, kyste hydatique (exceptionnel, surtout Afrique du Nord).","Recall"
"Qu’est-ce qu’une cellulite orbitaire ?","Exophtalmie douloureuse avec signes inflammatoires marqués et fièvre très élevée, due à une infection (sinusite, corps étranger, plaie, infection cutanée, septicémie, origine dentaire). Traitement : hospitalisation avec antibiothérapie générale à large spectre d’urgence.","Recall"
"Quelles sont les complications graves de la cellulite orbitaire ?","Abcès orbitaire, méningite, septicémie, thrombophlébite suppurée du sinus caverneux (décès dans 30 %).","Recall"
"Qu’est-ce qu’une fistule carotido-caverneuse ?","Exophtalmie pulsatile (+++). Urgence diagnostique relative. Suite à traumatisme crânien/orbitaire, AVC, HTA. Unilatérale, chémosis important, dilatation des vaisseaux conjonctivaux « en tête de méduse », parfois pulsatile et soufflante.","Recall"
"Quels sont les deux types d’hémangiomes orbitaires ?","Hémangiome capillaire (enfant, fréquent) ; Hémangiome caverneux (adulte, peu évolutif).","Recall"
"Qu’est-ce qu’une varice orbitaire ?","Exophtalmie variable, en « accordéon », absente au repos, augmentant à l’effort, à la manœuvre de Valsalva et tête en bas.","Recall"
"Quels sont les signes de l’exophtalmie basedowienne ?","Bilatérale, non inflammatoire, indolore. Rétraction de la paupière supérieure, asynergie oculo-palpébrale (+++), rareté du clignement, parfois diplopie. Scanner : épaississement des muscles oculo-moteurs.","Recall"
"Quels sont les traitements symptomatiques médicaux de l’exophtalmie ?","Protection oculaire (pansement occlusif), larmes artificielles/gel, vitamine A pommade ophtalmique, stéri-strip pour fermer les paupières (surtout la nuit).","Recall"
"Quels sont les traitements symptomatiques chirurgicaux de l’exophtalmie ?","Blépharorraphie (suture des paupières si échec du traitement médical), décompression orbitaire (si menace sur le nerf optique), drainage d’hématome, effondrement de la graisse orbitaire dans le sinus maxillaire, radiothérapie orbitaire (Basedow malin).","Recall"
"Un enfant de 3 ans présente une exophtalmie unilatérale non axiale, indolore, inflammatoire et rapidement évolutive. Quelle est la tumeur la plus probable ?","Rhabdomyosarcome (tumeur maligne orbitaire la plus fréquente chez l’enfant).","Analysis"
"Un patient présente une exophtalmie bilatérale non inflammatoire avec rétraction palpébrale supérieure et asynergie oculo-palpébrale. Quel est le diagnostic ?","Exophtalmie basedowienne (maladie de Basedow).","Analysis"
"Un patient présente une exophtalmie pulsatile unilatérale avec chémosis et souffle à l’auscultation, survenant après un traumatisme crânien. Quel est le diagnostic ?","Fistule carotido-caverneuse.","Analysis"
"Pourquoi dit-on que l’exophtalmie est une urgence diagnostique ?","Parce que le pronostic fonctionnel de l’œil (cécité par atteinte cornéenne ou compression du nerf optique) et le pronostic vital (thrombophlébite, méningite, abcès cérébral, septicémie) peuvent être engagés.","Understanding"
