"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de l’exophtalmie ?","Protrusion du globe oculaire en dehors de l’orbite","Rétraction de la paupière supérieure","Abaissement du globe oculaire","Augmentation de la pression intra-oculaire","1","Le document définit l’exophtalmie comme « Protrusion du globe oculaire en dehors de l’orbite, due à une augmentation de volume de son contenu ».","Easy"
"Quel est le seuil normal de mesure à l’exophtalmomètre de Hertel selon le document ?","20 mm","18 mm","22 mm","15 mm","2","Le document indique : « Normal à 18mm environ ».","Easy"
"À partir de quelle valeur parle-t-on d’exophtalmie à l’exophtalmomètre de Hertel ?","> 18 mm","> 20 mm","> 21 mm ou différence > 2 mm entre les deux yeux","> 25 mm","3","Le document précise : « Exophtalmie si > 21 mm ou si différence > 2 mm entre les deux yeux ».","Easy"
"Quel examen d’imagerie est demandé en première intention devant une exophtalmie ?","IRM orbitaire","Scanner centré sur l’orbite","Radiographie du crâne face et profil","Échographie oculo-orbitaire","2","Le document indique : « Scanner centré sur l’orbite systématique et demandé en première intention ».","Easy"
"Quelle est la complication cornéenne de l’exophtalmie liée à l’exposition ?","Kératite herpétique","Ulcère de la cornée","Dystrophie cornéenne","Œdème cornéen","2","Le document mentionne : « Exposition de la cornée → Sècheresse oculaire, ulcère de la cornée ».","Easy"
"Quel signe clinique est observé à l’inspection de face dans l’exophtalmie ?","Fente palpébrale du côté atteint plus fermée","Fente palpébrale du côté atteint plus ouverte","Ptosis","Myosis","2","Le document indique : « De face : Fente palpébrale du côté atteint plus ouverte ».","Easy"
"Quelle est la tumeur maligne orbitaire la plus fréquente chez l’enfant selon le document ?","Gliome du nerf optique","Méningocèle","Rhabdomyosarcome","Kyste dermoïde","3","Le document précise : « Rhabdomyosarcome : La plus fréquente des tumeurs malignes orbitaires de l’enfant ».","Easy"
"Le gliome du nerf optique est souvent associé à quelle maladie ?","Maladie de Basedow","Maladie de Von Recklinghausen","Maladie de Crouzon","Maladie de Horton","2","Le document indique : « Parfois associé à une maladie de Von Recklinghausen ».","Easy"
"Quelle est la cause la plus fréquente d’exophtalmie bilatérale ?","Tumeur orbitaire","Cellulite orbitaire","Maladie de Basedow","Fistule carotido-caverneuse","3","Le document précise : « Bilatérale : endocrinienne +++ » (Basedow étant l’exemple type).","Easy"
"Quel signe est spécifiquement associé à la fistule carotido-caverneuse ?","Exophtalmie non pulsatile","Exophtalmie pulsatile","Exophtalmie réductible","Exophtalmie avec fièvre","2","Le document indique : « Fistule carotido-caverneuse : Exophtalmie pulsatile +++ ».","Easy"
"Quel est le risque principal de compression du nerf optique dans l’exophtalmie ?","Cécité brutale","Atrophie optique irréversible","Décollement de rétine","Glaucome aigu","2","Le document précise : « Compression du nerf optique → Risque d’atrophie optique irréversible ».","Easy"
"Quelle tumeur orbitaire congénitale bénigne siège au niveau de l’angle supéro-externe de l’orbite ?","Kyste hydatique","Kyste dermoïde","Hémangiome capillaire","Méningocèle","2","Le document indique : « Kyste dermoïde : siège au niveau de l’angle supéro-externe de l’orbite (queue du sourcil) ».","Easy"
"Quel examen est cité pour évaluer le contenu d’une méningocèle orbitaire ?","Scanner sans injection","Échographie doppler","IRM","Radiographie standard","3","Le document précise : « IRM : évalue le contenu » pour la méningocèle.","Easy"
"Quel type d’exophtalmie est observé dans les varices orbitaires ?","Exophtalmie fixe et douloureuse","Exophtalmie variable, augmentant à l’effort ou à la manœuvre de Valsalva","Exophtalmie pulsatile","Exophtalmie avec fièvre","2","Le document indique : « Varices orbitaires : exophtalmie variable, en accordéon, augmente à l’effort, Valsalva, tête en bas ».","Easy"
"Quel est le traitement de première intention pour protéger la cornée dans l’exophtalmie ?","Blépharorraphie","Larmes artificielles ou gel","Radiothérapie orbitaire","Décompression chirurgicale","2","Le document précise : « Traitement médical : Larmes artificielles ou gel (lubrification) ». La blépharorraphie est en échec du traitement médical.","Easy"
"Quel diagnostic différentiel de l’exophtalmie est lié à une augmentation de la longueur axiale du globe ?","Buphtalmie","Myopie forte","Rétraction palpébrale","Exorbitisme","2","Le document liste : « Myopie forte (longueur axiale antéro-postérieur > 25-27 mm) » comme diagnostic différentiel.","Easy"
