"term","definition","contextual_explanation"
"cholécystite aiguë","Inflammation aiguë de la paroi vésiculaire.","En relation avec une lithiase dans plus de 90% des cas, une des indications habituelles de la chirurgie."
"lithiase vésiculaire","Présence de calculs dans la vésicule biliaire.","Cause principale de la cholécystite aiguë."
"canal cystique","Canal qui relie la vésicule biliaire à la voie biliaire principale.","Son obstruction par un calcul ou par œdème est le mécanisme déclenchant de la cholécystite."
"cholécystite catarrhale","Forme bénigne d’inflammation de la paroi vésiculaire.","Atteinte anatomique précoce."
"cholécystite suppurée","Forme purulente de cholécystite.","Atteinte anatomique évoluée."
"cholécystite gangréneuse","Forme nécrotique grave.","Atteinte anatomique sévère."
"douleur de l’hypocondre droit","Douleur située sous les côtes droites.","Colique hépatique avec inhibition respiratoire, signe de la crise typique."
"défense sous‑costale droite","Contracture musculaire palpable sous le rebord costal droit.","Signe physique de cholécystite aiguë, empêche de palper la vésicule."
"signe de Murphy","Douleur à la palpation profonde de l’hypocondre droit lors de l’inspiration.","Signe clinique classique de cholécystite aiguë."
"hyperleucocytose à polynucléaires neutrophiles","Augmentation des globules blancs neutrophiles.","Signe biologique de l’inflammation."
"VSH","Vitesse de sédimentation.","Accélérée dans la cholécystite aiguë."
"CRP","Protéine C réactive.","Élevée."
"cytolyse","Libération d’enzymes hépatiques (transaminases).","Discrète dans les tests hépatiques."
"cholestase","Rétention biliaire (élévation des PAL, GGT).","Discrète possible."
"RASP","Radiographie sans préparation de l’abdomen.","Montre exceptionnellement des calculs selon leur nature (radiopaques)."
"épaississement de la paroi vésiculaire > 3mm","Signe échographique majeur.","Oriente vers une cholécystite aiguë."
"paroi dédoublée","Aspect échographique de double contour.","En cas de phlegmon vésiculaire."
"cône d’ombre postérieure","Ombre acoustique derrière un calcul à l’échographie.","Signe indirect de calcul."
"VBP","Voie biliaire principale (cholédoque).","Normale sauf en cas de calcul cholédocien associé."
"appendicite aiguë sous‑hépatique","Appendicite avec appendice en position haute sous le foie.","Diagnostic différentiel."
"pancréatite aiguë","Inflammation aiguë du pancréas.","Diagnostic différentiel."
"ulcère perforé","Perforation d’un ulcère gastrique ou duodénal.","Diagnostic différentiel."
"colique néphrétique droite","Douleur due à un calcul urétéral droit.","Diagnostic différentiel."
"hépatite alcoolique aiguë","Inflammation aiguë du foie liée à l’alcool.","Diagnostic différentiel."
"périhépatite (syndrome de Fitz‑Hugh‑Curtis)","Inflammation de la capsule hépatique, souvent due à une infection génitale.","Diagnostic différentiel."
"pneumopathie de la base droite","Infection pulmonaire du lobe inférieur droit.","Diagnostic différentiel (affection thoracique)."
"occlusion intestinale","Arrêt du transit intestinal.","Diagnostic différentiel des formes atypiques."
"lithiase cholédocienne","Calcul dans le cholédoque.","Diagnostic différentiel des formes atypiques."
"traitement dissolvant","Dissolution des calculs par acides biliaires.","Indications strictes : calcul radiotransparent (cholestérol), vésicule perméable, calcul ≤5 mm."
"acide ursodésoxycholique","Acide biliaire utilisé pour dissoudre les calculs de cholestérol.","Seul actuellement utilisé (Ursolvan, Delursan), pendant 6 mois minimum."
"lithotritie extracorporelle","Fragmentation des calculs par ondes de choc.","Indications limitées aux calculs cholestéroliques dans une vésicule fonctionnelle."
"cholécystectomie","Ablation chirurgicale de la vésicule biliaire.","Traitement idéal de la lithiase vésiculaire symptomatique, à réaliser dans les 72 heures pour la cholécystite aiguë."
"cholangiographie per‑opératoire","Opacification des voies biliaires pendant l’intervention.","Recherche un calcul résiduel dans les voies biliaires."
"cholécystostomie","Ouverture de la vésicule biliaire à la peau par une sonde.","Méthode palliative chez les patients âgés/fatigués, avec calcul laissé en place."
"cholécystendèse","Cholécystostomie avec évacuation des calculs.","Permet d’enlever les calculs par l’ouverture vésiculaire."
"C3G","Céphalosporine de troisième génération.","Type de ceftriaxone, utilisée par voie IV."
"ceftriaxone","Céphalosporine de troisième génération.","Antibiotique à bonne diffusion biliaire : 1g IV en 24h."
"ciprofloxacine","Fluoroquinolone.","500 mg toutes les 12 heures."
"Escherichia coli","Bactérie aérobie gram négatif.","Fréquente dans les complications infectieuses."
"Bacteroides fragilis","Bactérie anaérobie.","Fréquente."
"Klebsiella","Bactérie aérobie.","Fréquente."
"Enterococcus","Bactérie.","Fréquente."
"Pseudomonas species","Bactérie.","Fréquente."
